date,GBPUSD,NZDUSD,NZDCHF,EURGBP,empty,sum
2016.09.21,-353.99999999998766,-319.99999999999807,-385.000000000002,-132.0000000000099,,-1190.9999999999977
2016.09.21,-316.99999999998954,-310.9999999999946,-393.9999999999944,-91.00000000000774,,-1112.9999999999861
2016.09.21,-310.9999999999946,-446.9999999999974,-502.9999999999979,-135.00000000000733,,-1395.9999999999973
2016.09.21,-324.9999999999975,-383.99999999999545,-466.9999999999952,-140.0000000000068,,-1315.999999999995
2016.09.21,-266.999999999995,-531.0000000000036,-529.0000000000017,-169.00000000000804,,-1496.0000000000084
2016.09.21,-163.9999999999864,-609.000000000004,-490.00000000000153,-133.00000000000534,,-1395.9999999999973
2016.09.21,-194.99999999998963,-631.0000000000038,-443.99999999999994,-213.00000000000762,,-1483.000000000001
2016.09.21,-298.9999999999826,-603.9999999999934,-375.9999999999986,-273.000000000001,,-1551.9999999999754
2016.09.21,-269.9999999999925,-653.0000000000035,-426.9999999999996,-221.00000000000452,,-1571.0000000000002
2016.09.21,-129.99999999998568,-671.9999999999948,-476.9999999999941,-109.00000000000354,,-1387.9999999999782
2016.09.21,-0.9999999999843467,-722.0000000000005,-500.00000000000045,-27.00000000001035,,-1249.9999999999957
2016.09.21,-27.999999999983594,-741.0000000000027,-466.9999999999952,-62.000000000006494,,-1297.9999999999882
2016.09.21,-17.000000000000348,-732.9999999999948,-507.0000000000019,-31.000000000003247,,-1288.0000000000002
2016.09.21,-81.9999999999821,-758.9999999999985,-536.0000000000032,-47.00000000000814,,-1423.999999999992
2016.09.21,-14.999999999987246,-887.0000000000044,-559.9999999999939,-60.00000000000449,,-1521.99999999999
2016.09.21,29.999999999996696,-853.9999999999992,-531.9999999999991,-28.000000000005798,,-1384.0000000000073
2016.09.21,-116.99999999998934,-707.9999999999975,-436.00000000000307,-120.00000000000898,,-1380.999999999999
2016.09.21,-136.00000000000279,-612.9999999999969,-353.0000000000033,-112.000000000001,,-1214.000000000004
2016.09.21,-144.99999999999514,-644.9999999999956,-393.9999999999944,-118.00000000000699,,-1301.999999999992
2016.09.21,-177.99999999998929,-578.0000000000007,-378.999999999996,-121.99999999999989,,-1256.999999999986
2016.09.21,-419.9999999999982,-578.9999999999961,-342.9999999999933,-259.0000000000092,,-1600.9999999999968
2016.09.21,-304.9999999999997,-644.9999999999956,-373.00000000000114,-257.0000000000072,,-1580.0000000000036
2016.09.21,-224.99999999998633,-726.9999999999999,-414.9999999999987,-310.0000000000103,,-1676.9999999999952
2016.09.21,-226.99999999999943,-663.0000000000025,-349.99999999999477,-284.0000000000065,,-1524.0000000000032
2016.09.21,-221.99999999998886,-614.0000000000034,-356.9999999999962,-272.00000000000557,,-1464.999999999994
2016.09.21,-181.9999999999933,-663.0000000000025,-395.0000000000009,-243.00000000000432,,-1483.0000000000011
2016.09.21,-195.9999999999962,-641.9999999999982,-309.0000000000037,-119.00000000000244,,-1266.0000000000005
2016.09.21,-164.99999999999292,-724.9999999999978,-375.9999999999986,-282.99999999999994,,-1548.9999999999893
