date,AUDUSD,NZDUSD,GBPCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURAUD,EURNZD,AUDNZD,empty,sum
2017.01.25,22.999999999995246,-927.0,1509.999999999989,-907.9999999999977,701.0000000000072,498.9999999999952,-438.00000000000506,699.9999999999895,-1266.0000000000116,-1215.9999999999948,,-1322.000000000033
2017.01.25,26.999999999999247,-903.9999999999937,1427.0000000000005,-892.0000000000039,642.0000000000092,477.00000000000387,-507.9999999999973,699.9999999999895,-1234.0000000000018,-1198.9999999999945,,-1463.999999999989
2017.01.25,108.99999999999244,-844.9999999999958,1488.9999999999848,-855.0000000000058,690.0000000000017,580.0000000000125,-434.000000000001,781.9999999999939,-1174.0000000000084,-1218.9999999999923,,-877.000000000018
2017.01.25,101.99999999999099,-803.9999999999936,1521.9999999999789,-838.0000000000055,712.0000000000015,573.0000000000075,-429.99999999999704,723.9999999999914,-1130.9999999999932,-1146.0000000000025,,-716.0000000000216
2017.01.25,149.99999999999457,-789.9999999999907,1523.999999999992,-827.0,713.0000000000081,618.9999999999998,-402.9999999999978,801.9999999999916,-1112.0000000000018,-1174.9999999999927,,-498.99999999999704
2017.01.25,169.99999999999238,-748.9999999999997,1510.9999999999957,-794.0000000000058,706.0000000000066,634.9999999999909,-368.9999999999971,848.0000000000043,-1038.0000000000057,-1141.9999999999986,,-222.00000000001705
2017.01.25,191.99999999999218,-748.9999999999997,1406.9999999999804,-819.9999999999985,644.0000000000001,432.9999999999927,-482.999999999989,791.9999999999927,-1122.0000000000007,-1177.9999999999902,,-884.00000000002
2017.01.25,121.99999999999989,-850.9999999999907,1403.999999999983,-880.9999999999984,657.0000000000076,349.9999999999943,-529.0000000000017,729.0000000000018,-1312.000000000002,-1265.9999999999893,,-1576.9999999999955
2017.01.25,186.99999999999272,-846.9999999999977,1385.9999999999984,-866.0000000000001,680.0000000000028,306.0000000000116,-534.9999999999966,774.9999999999924,-1293.9999999999952,-1337.9999999999948,,-1545.9999999999864
2017.01.25,241.99999999999778,-818.9999999999919,1441.9999999999877,-782.0000000000049,739.0000000000008,682.9999999999927,-137.9999999999937,1055.9999999999902,-1167.9999999999914,-1435.9999999999927,,-181.000000000005
2017.01.25,153.99999999999858,-877.9999999999899,1459.9999999999945,-756.0000000000011,731.0000000000039,777.9999999999916,-92.00000000000318,1095.0000000000016,-1059.9999999999943,-1349.0000000000002,,83.00000000000136
2017.01.25,46.999999999997044,-922.0000000000006,1790.999999999987,-712.0000000000015,964.0000000000093,1332.9999999999984,275.000000000003,991.9999999999928,-998.9999999999943,-1261.000000000001,,1507.999999999991
2017.01.25,70.99999999999883,-919.9999999999986,1754.9999999999955,-735.0000000000078,927.0,1299.0000000000066,232.99999999999432,919.9999999999875,-1100.000000000012,-1252.999999999993,,1196.9999999999716
2017.01.25,27.999999999994696,-966.0000000000002,1682.99999999999,-778.0000000000009,889.0000000000065,1246.0000000000093,208.00000000000819,950.9999999999908,-1090.9999999999975,-1241.9999999999875,,928.0000000000134
2017.01.25,4.999999999999449,-991.9999999999928,1706.9999999999918,-780.000000000003,918.0000000000077,1260.9999999999957,283.99999999999534,889.9999999999908,-1146.0000000000025,-1258.999999999988,,887.9999999999948
2017.01.25,-24.000000000001798,-1000.9999999999964,1683.9999999999966,-807.9999999999976,904.0000000000048,1229.9999999999898,286.00000000000847,802.9999999999982,-1214.0000000000039,-1227.9999999999848,,632.0000000000136
2017.01.25,-223.00000000000654,-1254.999999999995,1752.9999999999823,-945.0000000000069,939.0000000000009,889.00000000001,51.000000000001044,665.0000000000044,-1489.000000000007,-1329.9999999999868,,-945.0000000000039
2017.01.25,-161.00000000000003,-1202.9999999999984,1779.9999999999816,-944.0000000000003,963.0000000000027,943.9999999999884,180.0000000000024,604.0000000000045,-1503.9999999999943,-1339.0000000000014,,-680.0000000000148
2017.01.25,-125.00000000000844,-1131.9999999999998,1888.0000000000007,-956.0000000000013,1036.999999999999,1033.9999999999918,46.0000000000127,587.0000000000042,-1513.9999999999932,-1283.9999999999964,,-418.99999999999045
2017.01.25,-1.0000000000065512,-970.9999999999997,1841.9999999999882,-862.0000000000072,1013.0000000000083,1132.000000000005,-14.999999999987246,714.999999999999,-1280.9999999999989,-1248.0000000000045,,323.9999999999966
2017.01.25,13.999999999991797,-941.9999999999984,1819.9999999999993,-809.0000000000042,1000.0000000000009,1281.000000000006,-143.00000000000423,743.9999999999891,-1245.9999999999916,-1227.9999999999848,,491.0000000000041
2017.01.25,131.99999999999878,-869.999999999993,1900.999999999997,-836.0000000000034,1028.0000000000066,1421.999999999997,72.0000000000054,841.9999999999872,-1201.0000000000077,-1282.0000000000055,,1207.9999999999823
2017.01.25,8.999999999992347,-989.9999999999909,2047.9999999999832,-880.000000000003,1122.0000000000007,1463.9999999999986,168.99999999999693,743.0000000000048,-1316.0000000000061,-1286.9999999999936,,1081.9999999999827
2017.01.25,-42.0000000000087,-1058.9999999999989,2041.9999999999882,-904.0000000000048,1126.0000000000048,1371.9999999999857,32.999999999994145,675.9999999999877,-1407.0000000000027,-1285.0000000000027,,551.9999999999427
2017.01.25,-56.0000000000005,-1051.9999999999973,2147.9999999999945,-911.0000000000063,1209.0000000000045,1728.0000000000086,95.00000000000064,648.0000000000041,-1408.0000000000093,-1258.999999999988,,1142.0000000000111
2017.01.25,-181.00000000000892,-1127.9999999999957,2219.9999999999995,-973.999999999997,1231.0000000000043,1781.000000000006,114.0000000000141,504.9999999999999,-1471.0,-1217.9999999999857,,879.0000000000366
2017.01.25,-143.9999999999997,-1093.999999999995,2292.9999999999895,-980.0000000000031,1297.0000000000036,1777.9999999999916,43.999999999999595,443.99999999999994,-1537.0000000000107,-1201.999999999992,,898.9999999999843
2017.01.25,-47.00000000000814,-939.9999999999964,2231.9999999999895,-887.9999999999999,1238.0000000000057,1685.0000000000023,-124.99999999999733,543.999999999989,-1344.0000000000118,-1131.9999999999998,,1222.9999999999734
2017.01.25,-60.99999999999994,-944.9999999999958,2275.999999999989,-880.000000000003,1241.0000000000032,1735.99999999999,-85.99999999998609,573.0000000000013,-1238.99999999999,-1103.9999999999939,,1511.0000000000152
2017.01.25,-41.000000000002146,-940.9999999999918,2351.9999999999986,-909.9999999999997,1290.0000000000023,1798.0000000000018,-34.99999999998504,519.0000000000028,-1333.0000000000064,-1144.999999999996,,1554.0000000000246
2017.01.25,6.999999999990347,-916.99999999999,2452.999999999994,-907.9999999999977,1372.0000000000066,1870.0000000000045,87.00000000001484,551.9999999999969,-1333.0000000000064,-1163.000000000003,,2020.0000000000107
2017.01.25,-62.000000000006494,-994.9999999999903,2441.9999999999886,-918.0000000000077,1349.0000000000002,1854.0000000000134,242.00000000000887,553.0000000000035,-1330.9999999999934,-1190.9999999999866,,1943.0000000000298
2017.01.25,-171.00000000001003,-1095.999999999997,2444.999999999986,-967.0000000000067,1345.0000000000073,1592.000000000013,229.99999999999687,516.9999999999897,-1415.999999999995,-1194.0000000000061,,1284.999999999978
2017.01.25,-200.00000000000017,-1149.9999999999955,2422.9999999999973,-1000.0000000000009,1327.0000000000005,1513.0000000000052,188.00000000001037,446.9999999999974,-1486.0000000000095,-1227.0000000000002,,835.0000000000043
2017.01.25,-188.00000000001037,-1151.9999999999975,2409.9999999999786,-1009.9999999999998,1336.0000000000039,1519.0000000000055,331.0000000000146,468.9999999999861,-1527.0000000000116,-1261.000000000001,,926.9999999999682
2017.01.25,-287.0000000000039,-1468.9999999999982,2368.999999999999,-1324.000000000003,1297.0000000000036,1438.999999999993,300.00000000001137,326.9999999999884,-2181.000000000011,-1612.9999999999977,,-1142.0000000000186
2017.01.26,-220.00000000000907,-1444.000000000001,2317.9999999999977,-1273.9999999999973,1327.0000000000005,1485.99999999999,260.0000000000158,299.99999999998914,-2159.0,-1654.0,,-1060.000000000014
2017.01.26,-261.0000000000001,-1518.9999999999925,2352.9999999999827,-1340.000000000008,1343.0000000000052,1527.9999999999916,268.0000000000016,306.00000000000625,-2320.9999999999955,-1699.0000000000061,,-1342.0000000000143
2017.01.26,-211.00000000000563,-1412.9999999999975,2367.9999999999923,-1263.9999999999984,1307.0000000000025,1618.9999999999998,292.00000000000335,436.9999999999985,-2051.0000000000027,-1583.9999999999854,,-499.99999999999363
2017.01.26,-230.000000000008,-1432.9999999999955,2388.999999999997,-1295.999999999997,1324.000000000003,1530.0000000000011,319.0000000000026,411.0000000000058,-2098.0,-1594.999999999991,,-678.9999999999818
2017.01.26,-316.0000000000052,-1469.9999999999936,2291.9999999999827,-1277.000000000006,1269.000000000009,1365.000000000009,229.00000000001253,401.00000000000693,-2034.0000000000025,-1551.9999999999977,,-1092.9999999999848
2017.01.26,-278.00000000000045,-1399.9999999999902,2310.9999999999964,-1194.0000000000061,1268.0000000000025,1401.9999999999868,198.00000000000927,395.99999999999636,-1906.999999999992,-1532.0,,-735.9999999999975
2017.01.26,-245.0000000000063,-1355.9999999999905,2311.999999999981,-1119.0000000000034,1274.0000000000084,1478.0000000000086,266.999999999995,560.0000000000049,-1747.999999999994,-1524.9999999999986,,-101.999999999995
2017.01.26,-223.00000000000654,-1371.9999999999955,2288.9999999999854,-1138.0000000000057,1258.999999999999,1461.999999999989,175.99999999999838,567.0000000000064,-1794.9999999999911,-1524.9999999999986,,-300.0000000000193
2017.01.26,-237.00000000000944,-1356.999999999997,2289.999999999992,-1151.000000000002,1258.999999999999,1510.9999999999957,178.00000000001148,485.0000000000021,-1832.0000000000114,-1476.999999999995,,-331.00000000001455
2017.01.26,-252.0000000000078,-1349.9999999999957,2422.9999999999973,-1151.9999999999975,1347.0000000000093,1776.0000000000105,293.0000000000099,452.00000000000796,-1832.0000000000114,-1438.000000000006,,267.0000000000173
2017.01.26,-241.00000000000233,-1293.9999999999952,2393.999999999985,-1083.0000000000007,1325.0000000000095,1725.999999999999,268.0000000000016,530.0000000000082,-1671.0000000000002,-1383.9999999999852,,570.00000000002
2017.01.26,-204.99999999999963,-1279.9999999999923,2440.9999999999823,-1085.9999999999982,1356.0000000000016,1740.000000000009,357.00000000000733,557.9999999999918,-1668.0000000000027,-1392.9999999999998,,819.9999999999993
2017.01.26,-209.00000000000364,-1269.9999999999934,2487.999999999979,-1073.0000000000018,1378.0000000000014,1808.9999999999975,401.00000000000693,558.9999999999984,-1646.9999999999984,-1398.9999999999948,,1036.9999999999916
2017.01.26,-178.00000000000037,-1266.0000000000005,2579.9999999999823,-1079.0000000000077,1447.0000000000093,1850.999999999999,548.9999999999995,590.0000000000016,-1662.9999999999923,-1417.0000000000016,,1413.9999999999889
2017.01.26,-192.00000000000327,-1266.0000000000005,2542.0,-1078.0000000000011,1416.0000000000061,1789.999999999992,537.9999999999941,590.0000000000016,-1636.9999999999995,-1410.0000000000002,,1292.9999999999893
2017.01.26,-216.0000000000051,-1271.9999999999955,2555.9999999999804,-1092.9999999999995,1424.000000000003,1867.999999999995,565.9999999999999,516.9999999999897,-1668.0000000000027,-1397.0000000000039,,1284.9999999999616
2017.01.26,-224.000000000002,-1276.9999999999948,2587.9999999999905,-1162.0000000000075,1436.0000000000039,1903.9999999999964,527.9999999999951,409.99999999999926,-1805.000000000012,-1412.9999999999975,,984.9999999999716
2017.01.26,-152.00000000000767,-1256.999999999997,2617.999999999987,-1168.0000000000023,1472.0000000000066,2110.99999999999,548.9999999999995,449.9999999999948,-1804.0000000000057,-1425.9999999999939,,1392.9999999999716
2017.01.26,-145.00000000000622,-1214.9999999999993,2380.9999999999886,-1097.999999999999,1397.9999999999993,1974.9999999999943,504.0000000000156,462.9999999999912,-1696.999999999993,-1417.0000000000016,,1148.9999999999902
2017.01.26,-73.00000000000084,-1194.9999999999905,2390.9999999999877,-1048.0000000000045,1410.0000000000002,1990.000000000009,459.0000000000094,516.9999999999897,-1747.0000000000095,-1459.9999999999945,,1243.999999999996
2017.01.26,-114.00000000000298,-1227.9999999999957,2446.999999999999,-1044.0000000000005,1471.0,2137.0000000000005,507.000000000013,482.999999999989,-1805.9999999999966,-1435.9999999999927,,1417.0000000000136
2017.01.26,-96.00000000000719,-1206.9999999999914,2442.999999999995,-970.0000000000042,1522.0000000000011,2278.9999999999964,736.0000000000033,531.9999999999991,-1760.000000000006,-1441.0000000000034,,2037.9999999999825
2017.01.26,-87.00000000000374,-1190.9999999999977,2467.9999999999814,-933.000000000006,1610.0000000000002,2391.999999999996,900.9999999999962,547.999999999993,-1697.9999999999995,-1425.9999999999939,,2583.9999999999654
2017.01.26,-51.000000000001044,-1151.9999999999975,2147.9999999999945,-885.0000000000025,1484.0000000000075,2314.9999999999977,624.0000000000023,529.0000000000017,-1760.000000000006,-1461.9999999999854,,1790.0000000000114
2017.01.26,65.99999999999939,-1023.9999999999916,2107.9999999999986,-836.9999999999989,1389.0000000000068,2540.999999999997,415.99999999999415,587.0000000000042,-1611.9999999999911,-1415.999999999995,,2218.000000000024
2017.01.26,34.99999999999615,-983.0000000000006,2059.999999999995,-875.999999999999,1355.0000000000061,2377.999999999986,375.9999999999986,489.99999999999045,-1631.0000000000048,-1375.9999999999995,,1827.9999999999686
2017.01.26,4.999999999999449,-1009.9999999999998,2149.9999999999854,-857.0000000000077,1394.0000000000064,2497.9999999999905,516.0000000000053,492.0000000000035,-1600.0000000000014,-1295.9999999999861,,2291.9999999999964
2017.01.26,5.999999999994898,-975.9999999999991,1838.9999999999907,-772.000000000006,1222.000000000001,2312.000000000012,297.0000000000139,550.000000000006,-1452.9999999999932,-1245.9999999999916,,1779.0000000000289
2017.01.26,29.999999999996696,-924.9999999999981,1612.9999999999977,-668.9999999999974,1109.0000000000043,2205.0000000000127,93.99999999999409,651.0000000000016,-1307.999999999998,-1211.999999999991,,1588.0000000000227
2017.01.26,86.99999999999264,-820.999999999994,1625.999999999994,-558.9999999999984,1103.0000000000095,2116.0000000000136,114.0000000000141,689.9999999999907,-1201.999999999992,-1171.9999999999952,,1982.0000000000348
2017.01.26,179.99999999999127,-775.9999999999989,1686.999999999994,-663.0000000000025,1219.9999999999989,2105.9999999999945,34.000000000000696,428.9999999999905,-1502.0000000000034,-1200.0000000000011,,1514.9999999999643
2017.01.26,7.9999999999968985,-925.9999999999935,1742.9999999999834,-735.0000000000078,1287.0000000000048,2057.9999999999927,70.0000000000145,258.99999999998704,-1669.0000000000093,-1197.0000000000036,,897.9999999999654
2017.01.26,68.99999999999685,-846.9999999999977,1740.9999999999925,-697.9999999999986,1399.0000000000057,2137.0000000000005,-114.99999999999844,153.00000000000313,-1771.0000000000114,-1180.0000000000032,,887.9999999999891
2017.01.26,75.9999999999983,-871.999999999995,1771.999999999996,-712.0000000000015,1416.0000000000061,1995.0000000000045,-270.99999999999903,170.00000000000347,-1808.0000000000095,-1248.999999999989,,517.0000000000141
2017.01.26,26.999999999999247,-903.9999999999937,1811.9999999999914,-728.0000000000064,1439.0000000000014,2115.000000000009,-136.99999999998712,119.99999999998678,-1815.9999999999955,-1238.0000000000057,,689.9999999999993
2017.01.26,129.9999999999968,-807.9999999999976,1884.9999999999811,-697.9999999999986,1492.0000000000045,2407.9999999999873,-92.00000000000318,178.99999999999582,-1741.999999999999,-1195.999999999997,,1557.9999999999702
2017.01.26,200.99999999999562,-736.9999999999987,2062.9999999999927,-755.0000000000057,1570.0000000000048,2579.0000000000077,12.999999999996348,123.00000000000644,-1801.0000000000082,-1174.9999999999927,,2080.999999999998
2017.01.26,220.99999999999343,-714.999999999999,2116.999999999991,-773.0000000000015,1569.0000000000093,2621.000000000009,42.0000000000087,153.9999999999875,-1771.999999999996,-1173.9999999999861,,2290.0000000000164
2017.01.26,168.99999999999693,-766.9999999999955,2030.9999999999827,-716.0000000000056,1566.0000000000007,2673.000000000002,66.99999999999484,181.9999999999933,-1733.0000000000068,-1163.000000000003,,2308.999999999959
2017.01.26,144.99999999999514,-756.9999999999966,1926.9999999999898,-694.0000000000057,1468.0000000000027,2560.0000000000023,-11.00000000000545,198.99999999999363,-1703.9999999999943,-1158.9999999999989,,1973.999999999982
2017.01.26,56.99999999999594,-854.9999999999947,1967.999999999992,-701.0000000000072,1480.0000000000036,2441.0000000000027,4.000000000004,217.0000000000005,-1659.9999999999948,-1177.000000000006,,1773.9999999999968
2017.01.26,48.99999999999905,-908.9999999999932,2060.9999999999795,-744.0000000000002,1532.0,2520.00000000001,158.99999999999804,234.00000000000088,-1717.9999999999973,-1211.0000000000066,,1972.9999999999907
2017.01.26,58.99999999999794,-893.9999999999948,2051.9999999999873,-751.9999999999972,1529.0000000000025,2508.9999999999864,167.00000000000603,208.99999999999253,-1741.999999999999,-1217.0000000000014,,1919.9999999999804
