date,CHFJPY,empty,sum
2020.11.18,-606.9999999999993,,-606.9999999999993
2020.11.18,-525.0000000000057,,-525.0000000000057
2020.11.18,-541.000000000011,,-541.000000000011
2020.11.18,-602.0000000000039,,-602.0000000000039
2020.11.18,-602.0000000000039,,-602.0000000000039
2020.11.18,-605.000000000004,,-605.000000000004
2020.11.18,-612.000000000009,,-612.000000000009
2020.11.18,-683.0000000000069,,-683.0000000000069
2020.11.18,-676.0000000000019,,-676.0000000000019
2020.11.18,-707.0000000000078,,-707.0000000000078
2020.11.19,-829.0000000000077,,-829.0000000000077
2020.11.19,-829.0000000000077,,-829.0000000000077
2020.11.19,-734.9999999999994,,-734.9999999999994
2020.11.19,-704.0000000000077,,-704.0000000000077
2020.11.19,-710.9999999999985,,-710.9999999999985
2020.11.19,-773.0000000000103,,-773.0000000000103
2020.11.19,-800.0000000000114,,-800.0000000000114
2020.11.19,-769.0000000000055,,-769.0000000000055
2020.11.19,-713.9999999999986,,-713.9999999999986
2020.11.19,-788.0000000000109,,-788.0000000000109
2020.11.19,-794.0000000000111,,-794.0000000000111
2020.11.19,-817.0000000000073,,-817.0000000000073
2020.11.19,-820.999999999998,,-820.999999999998
2020.11.19,-786.0000000000014,,-786.0000000000014
2020.11.19,-743.9999999999998,,-743.9999999999998
2020.11.19,-733.0000000000041,,-733.0000000000041
2020.11.19,-727.0000000000039,,-727.0000000000039
2020.11.19,-627.0000000000095,,-627.0000000000095
2020.11.19,-600.9999999999991,,-600.9999999999991
2020.11.19,-683.0000000000069,,-683.0000000000069
2020.11.19,-682.0000000000022,,-682.0000000000022
2020.11.19,-844.0000000000083,,-844.0000000000083
2020.11.19,-823.9999999999981,,-823.9999999999981
2020.11.19,-808.0000000000069,,-808.0000000000069
2020.11.19,-756.0000000000002,,-756.0000000000002
2020.11.19,-618.9999999999998,,-618.9999999999998
2020.11.19,-644.0000000000055,,-644.0000000000055
2020.11.19,-650.0000000000057,,-650.0000000000057
2020.11.19,-628.0000000000001,,-628.0000000000001
2020.11.19,-603.0000000000086,,-603.0000000000086
2020.11.19,-644.0000000000055,,-644.0000000000055
2020.11.19,-629.0000000000049,,-629.0000000000049
2020.11.19,-739.0000000000043,,-739.0000000000043
2020.11.19,-773.0000000000103,,-773.0000000000103
2020.11.19,-780.0000000000011,,-780.0000000000011
2020.11.19,-832.9999999999984,,-832.9999999999984
2020.11.19,-727.0000000000039,,-727.0000000000039
2020.11.19,-737.000000000009,,-737.000000000009
2020.11.19,-764.00000000001,,-764.00000000001
2020.11.19,-810.0000000000023,,-810.0000000000023
2020.11.19,-804.000000000002,,-804.000000000002
2020.11.19,-777.000000000001,,-777.000000000001
2020.11.19,-746.9999999999999,,-746.9999999999999
2020.11.19,-674.0000000000066,,-674.0000000000066
2020.11.19,-641.0000000000053,,-641.0000000000053
2020.11.19,-668.0000000000064,,-668.0000000000064
2020.11.19,-646.0000000000008,,-646.0000000000008
2020.11.19,-745.0000000000045,,-745.0000000000045
2020.11.20,-847.999999999999,,-847.999999999999
2020.11.20,-786.0000000000014,,-786.0000000000014
2020.11.20,-728.0000000000086,,-728.0000000000086
2020.11.20,-679.000000000002,,-679.000000000002
2020.11.20,-683.0000000000069,,-683.0000000000069
2020.11.20,-590.0000000000034,,-590.0000000000034
2020.11.20,-597.999999999999,,-597.999999999999
2020.11.20,-569.0000000000026,,-569.0000000000026
2020.11.20,-572.0000000000027,,-572.0000000000027
2020.11.20,-572.0000000000027,,-572.0000000000027
2020.11.20,-582.9999999999984,,-582.9999999999984
2020.11.20,-558.0000000000069,,-558.0000000000069
2020.11.20,-552.9999999999973,,-552.9999999999973
2020.11.20,-546.0000000000065,,-546.0000000000065
2020.11.20,-521.0000000000008,,-521.0000000000008
2020.11.20,-529.0000000000106,,-529.0000000000106
2020.11.20,-570.0000000000074,,-570.0000000000074
2020.11.20,-566.0000000000025,,-566.0000000000025
2020.11.20,-603.9999999999992,,-603.9999999999992
2020.11.20,-597.0000000000084,,-597.0000000000084
2020.11.20,-511.0000000000099,,-511.0000000000099
2020.11.20,-599.0000000000038,,-599.0000000000038
2020.11.20,-695.999999999998,,-695.999999999998
2020.11.20,-686.9999999999976,,-686.9999999999976
2020.11.20,-768.0000000000007,,-768.0000000000007
2020.11.20,-804.000000000002,,-804.000000000002
2020.11.20,-823.0000000000075,,-823.0000000000075
2020.11.20,-805.9999999999974,,-805.9999999999974
2020.11.20,-768.0000000000007,,-768.0000000000007
2020.11.20,-737.000000000009,,-737.000000000009
2020.11.20,-695.999999999998,,-695.999999999998
2020.11.20,-663.0000000000109,,-663.0000000000109
2020.11.20,-638.0000000000052,,-638.0000000000052
2020.11.20,-649.0000000000009,,-649.0000000000009
2020.11.20,-712.0000000000033,,-712.0000000000033
2020.11.20,-782.0000000000107,,-782.0000000000107
2020.11.20,-716.9999999999987,,-716.9999999999987
2020.11.20,-751.0000000000048,,-751.0000000000048
2020.11.20,-762.0000000000005,,-762.0000000000005
2020.11.20,-740.0000000000091,,-740.0000000000091
2020.11.20,-757.000000000005,,-757.000000000005
2020.11.20,-724.0000000000038,,-724.0000000000038
2020.11.20,-722.999999999999,,-722.999999999999
2020.11.20,-719.0000000000083,,-719.0000000000083
2020.11.20,-713.0000000000081,,-713.0000000000081
2020.11.20,-698.9999999999981,,-698.9999999999981
2020.11.20,-701.9999999999982,,-701.9999999999982
2020.11.20,-671.0000000000065,,-671.0000000000065
