date,EURCHF,empty,sum
2017.10.27,249.00000000001032,,249.00000000001032
2017.10.27,252.99999999999213,,252.99999999999213
2017.10.27,268.0000000000016,,268.0000000000016
2017.10.27,275.000000000003,,275.000000000003
2017.10.27,309.0000000000037,,309.0000000000037
2017.10.27,314.99999999999864,,314.99999999999864
2017.10.27,309.0000000000037,,309.0000000000037
2017.10.27,270.99999999999903,,270.99999999999903
2017.10.27,208.00000000000819,,208.00000000000819
2017.10.27,235.99999999999176,,235.99999999999176
2017.10.27,205.99999999999508,,205.99999999999508
2017.10.27,279.99999999999136,,279.99999999999136
2017.10.27,327.00000000001063,,327.00000000001063
2017.10.27,344.99999999999534,,344.99999999999534
2017.10.27,361.0000000000113,,361.0000000000113
2017.10.27,446.0000000000131,,446.0000000000131
2017.10.27,398.9999999999938,,398.9999999999938
2017.10.27,431.0000000000036,,431.0000000000036
2017.10.27,343.00000000000443,,343.00000000000443
2017.10.27,329.00000000000153,,329.00000000000153
2017.10.27,229.99999999999687,,229.99999999999687
2017.10.27,21.00000000000435,,21.00000000000435
2017.10.27,39.999999999995595,,39.999999999995595
2017.10.27,-204.99999999998852,,-204.99999999998852
2017.10.27,-212.99999999999653,,-212.99999999999653
2017.10.27,-287.9999999999994,,-287.9999999999994
2017.10.27,-214.00000000000307,,-214.00000000000307
2017.10.27,-211.99999999998997,,-211.99999999998997
2017.10.27,-116.99999999998934,,-116.99999999998934
2017.10.27,-121.99999999999989,,-121.99999999999989
2017.10.27,-141.99999999999767,,-141.99999999999767
2017.10.27,-119.99999999998678,,-119.99999999998678
2017.10.27,-96.00000000000719,,-96.00000000000719
2017.10.27,-137.9999999999937,,-137.9999999999937
2017.10.27,-146.00000000000168,,-146.00000000000168
2017.10.27,-201.00000000000674,,-201.00000000000674
