date,USDCHF,GBPUSD,USDJPY,NZDUSD,EURCHF,CHFJPY,CADCHF,GBPJPY,GBPCAD,CADJPY,AUDJPY,NZDCAD,empty,sum
2018.07.23,-170.00000000000347,123.00000000000644,54.99999999999261,39.00000000000014,108.99999999998133,37.00000000000614,-53.999999999998494,-161.00000000000136,154.99999999999403,-114.99999999999488,-350.9999999999991,99.00000000000463,,-234.00000000001197
2018.07.23,-104.99999999999955,113.00000000000753,24.00000000000091,12.999999999996348,98.99999999998244,58.9999999999975,-42.999999999993044,-155.00000000000114,197.00000000000273,-167.0000000000016,-373.9999999999952,123.00000000000644,,-215.99999999999665
2018.07.23,-239.0000000000003,120.99999999999334,15.000000000000568,17.999999999995797,78.99999999998464,-16.999999999995907,-36.0000000000027,-158.00000000001546,290.00000000001245,-197.00000000000273,-390.99999999999113,124.00000000000189,,-391.0000000000196
2018.07.23,-202.0000000000022,163.00000000000205,54.000000000002046,63.99999999999739,131.99999999999878,-4.9999999999954525,-5.999999999994898,-294.00000000001114,187.00000000000384,-206.99999999999363,-394.999999999996,157.00000000000713,,-351.99999999998204
2018.07.23,-143.00000000000423,156.00000000000057,33.00000000000125,57.99999999999139,165.9999999999995,5.000000000009663,12.000000000000899,-173.00000000000182,358.9999999999982,-217.9999999999893,-394.999999999996,170.99999999999892,,31.00000000000898
2018.07.23,-159.00000000000912,192.99999999999872,34.99999999999659,78.00000000000028,176.99999999998272,40.00000000000625,23.00000000000635,-195.0000000000216,329.00000000000153,-211.9999999999891,-388.9999999999958,161.00000000000003,,80.99999999997695
2018.07.23,-120.00000000000898,141.00000000001333,19.99999999999602,65.99999999999939,148.99999999999915,26.00000000001046,-5.999999999994898,-187.00000000001182,290.00000000001245,-201.99999999999818,-370.9999999999951,130.0000000000079,,-63.99999999997027
2018.07.23,-126.0000000000039,165.9999999999995,-46.00000000000648,52.99999999999194,156.00000000000057,-15.999999999991132,-3.999999999992898,-285.000000000025,297.0000000000139,-234.99999999999943,-397.99999999999613,140.0000000000068,,-298.0000000000023
2018.07.23,-129.00000000000134,175.00000000001404,-30.000000000001137,58.99999999999794,170.99999999998784,-40.99999999999682,16.0000000000049,-298.0000000000018,286.00000000000847,-266.9999999999959,-412.9999999999967,160.00000000000458,,-310.999999999976
2018.07.24,-150.00000000000568,182.99999999999983,-81.00000000000307,46.999999999997044,141.99999999999767,-232.99999999998988,4.000000000004,-343.00000000001774,251.00000000000122,-310.99999999999284,-495.00000000000455,170.00000000000347,,-816.0000000000105
