date,AUDUSD,GBPCHF,EURCHF,EURJPY,AUDJPY,empty,sum
2018.05.23,134.99999999999625,1677.9999999999795,1055.000000000006,1560.0000000000023,565.9999999999883,,4993.999999999972
2018.05.23,81.9999999999932,1782.999999999979,1156.0000000000014,1748.9999999999952,700.9999999999934,,5470.999999999963
2018.05.23,168.99999999999693,1829.9999999999982,1147.9999999999934,1731.9999999999993,593.9999999999941,,5472.999999999982
2018.05.23,187.9999999999993,1816.9999999999798,1140.0000000000077,1701.9999999999982,503.0000000000001,,5349.999999999985
2018.05.23,93.99999999999409,1839.9999999999973,1286.0000000000093,1903.9999999999964,572.9999999999933,,5696.999999999991
2018.05.23,83.9999999999952,2184.9999999999927,1357.9999999999925,1987.0000000000232,678.9999999999878,,6292.999999999992
2018.05.23,65.99999999999939,1996.999999999982,1174.9999999999927,1737.9999999999995,475.9999999999991,,5451.999999999973
2018.05.23,129.9999999999968,1973.9999999999868,1164.9999999999939,1723.0000000000132,452.99999999998875,,5444.99999999998
2018.05.23,108.99999999999244,1883.9999999999968,1195.999999999997,1564.0000000000214,298.0000000000018,,5051.000000000009
2018.05.23,185.99999999999727,1610.0000000000002,1063.9999999999982,1459.0000000000032,177.99999999999727,,4496.999999999995
2018.05.23,161.00000000000003,1418.9999999999925,964.0000000000093,1439.9999999999977,228.9999999999992,,4212.999999999999
2018.05.23,185.00000000000182,1484.9999999999807,987.0000000000045,1516.0000000000196,316.99999999999307,,4490.0
2018.05.23,182.99999999999983,1305.999999999985,906.0000000000068,1717.000000000013,331.99999999999363,,4443.999999999998
2018.05.23,132.99999999999423,1311.9999999999798,903.9999999999937,1659.9999999999966,328.9999999999935,,4337.999999999958
2018.05.23,143.9999999999997,1207.9999999999868,795.0000000000124,1544.0000000000111,232.99999999998988,,3924.0
2018.05.23,161.00000000000003,1187.999999999989,790.0000000000018,1492.0000000000186,212.99999999999386,,3844.0000000000036
2018.05.23,121.99999999999989,1316.9999999999905,882.000000000005,1574.0000000000123,250.99999999999056,,4145.999999999998
2018.05.23,120.99999999999334,1213.9999999999818,828.0000000000065,1638.0000000000052,220.99999999998943,,4021.999999999977
2018.05.23,126.99999999999933,1171.9999999999952,787.0000000000043,1590.0000000000034,80.99999999998886,,3756.999999999992
2018.05.23,370.9999999999991,1175.9999999999993,767.9999999999909,1588.9999999999986,69.99999999999318,,3973.999999999981
2018.05.23,395.0000000000009,1130.9999999999932,774.000000000008,1629.9999999999955,67.99999999999784,,3997.999999999995
2018.05.23,409.99999999999926,1149.0,814.0000000000036,1558.0000000000211,66.99999999999307,,3998.000000000017
2018.05.23,385.99999999999744,1240.999999999981,853.9999999999992,1582.000000000022,73.99999999999807,,4136.999999999998
2018.05.23,365.99999999999966,1232.9999999999952,873.0000000000126,1703.000000000003,140.99999999999113,,4316.000000000002
2018.05.24,361.0000000000002,1266.999999999996,868.000000000002,1710.000000000008,146.99999999999136,,4352.999999999998
2018.05.24,408.9999999999927,1275.9999999999882,896.000000000008,1781.000000000006,193.9999999999884,,4555.999999999983
2018.05.24,420.9999999999936,1346.999999999987,943.000000000005,1754.000000000019,167.0000000000016,,4632.000000000006
