date,USDCAD,GBPCHF,EURGBP,GBPJPY,EURAUD,CADJPY,empty,sum
2017.04.18,-180.0000000000024,611.000000000006,-71.99999999999429,881.9999999999766,920.0000000000097,243.99999999999977,,2404.9999999999955
2017.04.18,-219.00000000001364,673.9999999999968,-21.999999999999797,915.9999999999968,929.000000000002,108.00000000000409,,2385.9999999999864
2017.04.18,-341.00000000001353,597.0000000000031,-34.000000000000696,756.9999999999766,1019.9999999999986,-48.99999999999238,,1949.9999999999718
2017.04.18,-425.0000000000087,687.9999999999998,31.000000000003247,802.9999999999973,1157.9999999999923,-97.99999999999898,,2156.9999999999845
2017.04.18,-437.0000000000207,595.9999999999966,-41.9999999999976,805.9999999999832,1218.000000000008,-92.99999999998931,,2047.9999999999802
2017.04.18,-426.00000000001523,-45.000000000006146,-497.99999999999847,71.9999999999743,1154.0000000000105,-75.9999999999934,,180.99999999997158
2017.04.18,-439.0000000000116,-79.99999999999119,-507.9999999999973,-73.0000000000075,1307.999999999998,-228.9999999999992,,-21.000000000008754
2017.04.18,-585.0000000000133,234.00000000000088,-314.99999999999864,199.99999999998863,1261.000000000001,-286.00000000000136,,508.99999999997715
2017.04.18,-539.0000000000006,546.000000000002,-86.99999999999264,509.9999999999909,1229.9999999999977,-263.9999999999958,,1396.0000000000018
2017.04.18,-483.0000000000112,1141.0000000000143,319.99999999999807,1459.9999999999795,1354.999999999995,-143.00000000000068,,3649.9999999999754
2017.04.18,-429.00000000001273,1119.0000000000034,282.0000000000045,1584.9999999999795,1456.0000000000127,-138.9999999999958,,3873.9999999999914
2017.04.18,-583.0000000000002,1036.0000000000148,214.99999999999852,1512.9999999999768,1442.00000000001,-281.9999999999965,,3341.0000000000036
2017.04.18,-642.0000000000092,1090.9999999999975,285.00000000000193,1591.9999999999845,1584.0000000000077,-277.9999999999916,,3631.999999999991
2017.04.18,-592.0000000000148,1496.0000000000084,499.000000000005,2012.9999999999768,1676.9999999999952,-310.99999999999284,,4781.999999999978
2017.04.18,-563.0000000000024,1648.000000000005,651.0000000000016,2171.9999999999973,1622.0000000000123,-311.9999999999976,,5218.000000000017
2017.04.18,-642.0000000000092,1758.9999999999995,719.000000000003,2315.999999999974,1588.999999999996,-354.99999999998977,,5385.999999999974
2017.04.18,-722.0000000000005,1737.999999999995,707.9999999999975,2297.9999999999736,1797.000000000004,-384.9999999999909,,5433.999999999978
2017.04.18,-710.0000000000106,1743.0000000000057,707.9999999999975,2326.999999999998,1736.000000000004,-409.9999999999966,,5393.999999999998
2017.04.18,-850.0000000000174,1666.0000000000118,680.9999999999983,2144.999999999982,1744.9999999999966,-623.9999999999952,,4762.999999999975
2017.04.18,-752.0000000000193,1751.0000000000136,741.0000000000027,2097.9999999999845,1678.0000000000018,-634.0000000000003,,4881.999999999984
2017.04.18,-894.000000000017,1709.000000000005,734.0000000000014,2198.9999999999836,1723.000000000008,-658.9999999999918,,4811.999999999989
2017.04.18,-894.000000000017,1695.000000000002,718.0000000000075,2200.9999999999936,1811.000000000007,-684.9999999999881,,4846.0000000000055
2017.04.18,-856.0000000000123,1859.999999999995,811.0000000000061,2427.9999999999973,1893.0000000000114,-609.9999999999994,,5525.999999999999
2017.04.18,-729.0000000000018,2238.000000000007,1029.9999999999975,2885.9999999999955,1888.0000000000007,-558.9999999999975,,6754.000000000002
2017.04.18,-728.0000000000175,2316.000000000007,1063.0000000000027,3062.999999999988,1957.0000000000086,-583.999999999989,,7087.0
2017.04.18,-719.000000000003,2269.999999999994,1039.0000000000011,2949.9999999999886,1991.9999999999939,-666.9999999999874,,6864.999999999987
2017.04.18,-868.000000000002,2265.000000000006,1016.0000000000058,3037.9999999999827,2010.0000000000007,-622.9999999999905,,6838.000000000004
2017.04.18,-768.0000000000131,2289.0000000000077,1036.0000000000036,3045.9999999999923,1988.000000000012,-573.9999999999981,,7017.000000000005
2017.04.18,-755.0000000000168,2276.0000000000114,1029.000000000002,2955.999999999989,1923.9999999999923,-611.9999999999948,,6817.999999999984
2017.04.19,-724.0000000000135,2218.0000000000086,1043.000000000005,2888.999999999982,1888.0000000000007,-617.999999999995,,6695.999999999987
2017.04.19,-712.0000000000015,2300.9999999999973,1061.000000000001,2994.0,1937.000000000011,-607.9999999999899,,6973.000000000017
2017.04.19,-703.0000000000092,2292.000000000005,1055.000000000006,2996.9999999999854,1913.000000000009,-611.9999999999948,,6942.000000000002
2017.04.19,-745.0000000000178,2317.0000000000136,1068.0000000000023,2997.9999999999905,1940.0000000000084,-612.9999999999995,,6964.999999999998
2017.04.19,-739.0000000000008,2296.000000000009,1036.999999999999,2988.999999999976,2022.999999999997,-626.9999999999953,,6978.999999999985
2017.04.19,-730.0000000000084,2364.0000000000105,1078.0000000000011,3108.9999999999804,1940.0000000000084,-581.9999999999936,,7178.999999999998
2017.04.19,-747.0000000000088,2357.9999999999936,1074.0000000000082,3170.9999999999923,1886.00000000001,-512.999999999991,,7229.000000000005
