date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPAUD,EURJPY,EURCAD,CADJPY,AUDNZD,empty,sum
2018.11.06,76.99999999999375,-642.9999999999936,-310.9999999999946,-458.9999999999872,289.0000000000059,-403.0000000000089,-749.999999999984,-193.99999999999417,-418.0000000000073,-483.0000000000001,-182.99999999999983,-58.000000000002494,-611.9999999999948,768.9999999999975,3.9999999999906777,-96.99999999999153,,-3471.9999999999704
2018.11.06,102.99999999998644,-668.0000000000019,-364.9999999999931,-545.9999999999799,270.99999999999903,-386.0000000000086,-798.9999999999942,-239.99999999999577,-399.0000000000049,-484.00000000000665,-156.99999999999602,55.99999999998939,-693.9999999999884,812.999999999997,10.99999999999568,-114.99999999999844,,-3599.0000000000005
2018.11.06,83.9999999999952,-690.9999999999972,-385.99999999999744,-553.9999999999878,258.0000000000027,-386.0000000000086,-816.9999999999789,-256.0000000000007,-383.0,-468.9999999999972,-200.00000000000017,137.9999999999937,-735.0000000000136,914.9999999999991,3.9999999999906777,-113.99999999999189,,-3591.999999999992
2018.11.06,83.9999999999952,-642.9999999999936,-285.00000000000193,-544.9999999999955,239.0000000000003,-348.9999999999993,-813.9999999999814,-247.99999999999267,-351.0000000000013,-434.000000000001,-242.99999999999324,201.99999999999108,-705.0000000000125,873.999999999997,1.9999999999953388,-102.00000000000209,,-3317.999999999996
2018.11.06,95.00000000000064,-740.0000000000073,-278.9999999999848,-534.9999999999966,245.0000000000063,-343.9999999999999,-873.999999999997,-237.99999999999378,-341.0000000000024,-417.0000000000007,-266.999999999995,290.9999999999968,-712.9999999999939,835.000000000008,-39.00000000000148,-87.99999999999919,,-3408.9999999999586
2018.11.06,41.000000000002146,-757.999999999992,-316.0000000000052,-481.99999999998244,241.99999999999778,-367.0000000000062,-843.9999999999781,-258.0000000000027,-324.00000000000205,-404.99999999999983,-265.99999999999955,357.99999999999164,-687.0000000000118,838.0000000000055,-21.000000000000796,-122.99999999998423,,-3371.999999999968
2018.11.06,38.99999999998904,-761.0000000000117,-303.9999999999932,-533.99999999999,236.00000000000287,-372.0000000000057,-820.9999999999828,-273.000000000001,-304.9999999999997,-407.0000000000018,-266.999999999995,375.9999999999986,-622.0000000000141,890.9999999999974,56.99999999998795,-127.99999999999478,,-3195.000000000014
2018.11.06,51.99999999998539,-707.0000000000132,-297.9999999999983,-532.9999999999835,241.00000000000233,-358.9999999999982,-776.9999999999833,-278.9999999999959,-335.0000000000075,-397.0000000000029,-246.00000000000176,289.0000000000059,-686.000000000007,870.9999999999995,-18.000000000000682,-98.99999999998244,,-3280.9999999999804
2018.11.06,22.999999999995246,-744.0000000000114,-330.9999999999924,-445.99999999999085,289.0000000000059,-379.0000000000071,-781.9999999999939,-227.99999999999488,-365.0000000000042,-404.0000000000044,-239.99999999999577,211.99999999998997,-725.9999999999991,821.000000000005,-72.00000000000273,-71.99999999998319,,-3443.9999999999845
2018.11.06,21.00000000000435,-751.9999999999972,-326.9999999999884,-402.9999999999978,328.0000000000061,-392.00000000000347,-786.9999999999822,-224.9999999999974,-361.0000000000002,-409.99999999999926,-246.99999999999721,211.99999999998997,-725.9999999999991,802.0000000000139,-71.00000000001216,-65.99999999998829,,-3403.9999999999486
