date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,AUDCAD,empty,sum
2015.08.17,46.999999999997044,-605.9999999999955,-397.99999999998727,112.99999999999955,-219.99999999999798,-156.99999999999602,373.00000000000114,-233.00000000000543,-197.99999999999818,548.9999999999995,63.00000000000195,479.99999999998977,963.0000000000027,805.9999999999956,-408.9999999999918,-715.9999999999833,-727.0000000000109,1493.9999999999952,-257.99999999999557,-101.00000000000664,,865.0000000000142
2015.08.17,79.00000000000685,-634.9999999999856,-408.9999999999927,147.00000000000557,-284.9999999999797,-136.99999999999824,361.9999999999957,-273.000000000001,-206.00000000000617,509.9999999999993,78.99999999999574,447.9999999999791,792.0000000000371,644.0000000000001,-390.0000000000148,-787.0000000000043,-677.0000000000165,1323.0000000000075,-250.0,-84.0000000000063,,251.00000000002154
2015.08.17,104.99999999999955,-673.9999999999968,-390.0000000000015,184.0000000000117,-57.99999999998029,-81.9999999999932,377.0000000000051,-146.00000000000168,-167.00000000000603,501.99999999999136,85.00000000000173,453.00000000000296,787.0000000000043,644.0000000000001,-342.00000000001296,-532.9999999999835,-553.0000000000035,1299.0000000000057,-227.99999999999443,-128.00000000000588,,1135.0000000000427
2015.08.17,104.99999999999955,-675.9999999999877,-401.99999999999125,184.0000000000117,-19.999999999997797,-68.99999999999685,407.0000000000018,-158.99999999999804,-173.00000000000094,475.99999999999864,110.99999999999443,496.9999999999857,783.0000000000225,639.0000000000118,-320.99999999999795,-529.0000000000017,-555.0000000000166,1212.9999999999975,-209.00000000000318,-113.00000000000753,,1189.0000000000243
2015.08.17,85.99999999999719,-661.0000000000005,-343.00000000000443,141.00000000000534,-52.99999999999194,-46.999999999997044,455.0000000000054,-133.00000000000534,-114.00000000000298,443.99999999999994,127.99999999999478,536.0000000000014,795.0000000000124,642.9999999999936,-308.9999999999975,-493.99999999999443,-439.0000000000116,1164.9999999999939,-158.00000000000125,-82.99999999999974,,1558.999999999997
2015.08.17,89.00000000000574,-689.0000000000063,-377.9999999999894,167.0000000000016,-49.99999999999449,-42.999999999993044,312.00000000000114,-214.99999999999852,-192.00000000000327,451.9999999999969,119.99999999999788,568.9999999999884,907.0000000000356,682.9999999999892,-322.00000000000273,-523.9999999999911,-479.0000000000072,1188.9999999999957,-171.99999999999704,-56.0000000000005,,1368.0000000000284
2015.08.17,214.99999999999852,-703.9999999999935,-417.0000000000007,143.00000000000068,-105.99999999998388,-27.999999999994696,231.0000000000034,-286.00000000000847,-185.99999999999727,574.9999999999922,54.999999999993946,581.9999999999936,934.9999999999969,587.9999999999885,-549.0000000000066,-625.9999999999932,-502.00000000000244,1347.9999999999936,-156.99999999999648,-29.000000000001247,,1081.999999999983
2015.08.18,234.99999999999633,-733.9999999999902,-414.00000000000324,140.00000000000057,-92.99999999998754,-17.000000000000348,147.00000000000824,-302.0000000000023,-236.99999999999832,551.9999999999969,78.99999999999574,628.9999999999907,987.0000000000267,648.9999999999885,-438.99999999999295,-644.9999999999844,-506.0000000000064,1326.000000000005,-114.00000000000432,4.999999999999449,,1248.0000000000382
2015.08.18,239.0000000000003,-672.9999999999902,-378.999999999996,162.00000000000614,-65.99999999998829,-14.999999999998348,147.99999999999258,-290.00000000000136,-245.0000000000063,565.9999999999999,124.00000000000189,586.9999999999891,977.0000000000057,634.9999999999856,-347.0000000000084,-573.9999999999857,-453.99999999999886,1268.9999999999868,-132.99999999999557,-2.999999999997449,,1528.0000000000016
2015.08.18,229.00000000000142,-685.9999999999866,-387.000000000004,193.00000000001205,-52.99999999999194,-34.99999999999615,246.99999999999721,-260.00000000000466,-228.00000000000597,573.0000000000013,131.00000000000333,593.9999999999941,934.9999999999969,625.999999999971,-342.00000000001296,-553.0000000000035,-487.99999999999955,1293.9999999999952,-156.0000000000059,-36.999999999998145,,1596.9999999999632
