date,EURUSD,USDCAD,CHFJPY,EURJPY,EURNZD,NZDCAD,empty,sum
2019.04.30,-491.0000000000192,49.00000000001015,10.000000000005116,-572.0000000000027,-557.9999999999918,-224.000000000002,,-1786.0000000000007
2019.04.30,-493.0000000000101,78.00000000000028,-27.999999999991587,-552.0000000000067,-597.0000000000031,-206.00000000000617,,-1798.0000000000175
2019.04.30,-509.00000000000387,40.0000000000178,-31.999999999996476,-534.000000000006,-590.0000000000016,-216.0000000000051,,-1840.9999999999952
2019.04.30,-487.0000000000152,42.0000000000087,-80.99999999998886,-521.0000000000008,-587.9999999999885,-209.9999999999991,,-1844.9999999999836
2019.04.30,-417.0000000000007,145.00000000001734,-172.9999999999876,-426.00000000000193,-642.9999999999936,-217.99999999999596,,-1731.9999999999625
2019.04.30,-439.0000000000116,161.00000000001114,-156.99999999999648,-364.0000000000043,-644.0000000000001,-224.000000000002,,-1667.0000000000034
2019.04.30,-557.0000000000075,107.99999999999699,-163.99999999998727,-433.9999999999975,-644.0000000000001,-268.99999999999704,,-1959.9999999999925
2019.04.30,-493.0000000000101,93.00000000000975,-184.99999999998806,-314.00000000000716,-568.9999999999973,-251.99999999999667,,-1719.9999999999893
2019.04.30,-605.0000000000111,-17.999999999984695,-135.99999999999568,-433.9999999999975,-597.0000000000031,-273.000000000001,,-2062.999999999993
2019.04.30,-686.0000000000089,-44.99999999998394,-56.99999999998795,-578.000000000003,-617.0000000000009,-282.99999999999994,,-2265.9999999999845
2019.04.30,-756.0000000000011,-115.99999999998278,-63.99999999999295,-701.0000000000076,-659.999999999994,-282.0000000000045,,-2578.999999999983
2019.04.30,-767.0000000000066,-153.00000000000313,-154.99999999998693,-640.0000000000006,-683.9999999999957,-258.0000000000027,,-2656.9999999999955
2019.04.30,-733.0000000000059,-119.00000000000244,-254.99999999999545,-561.9999999999976,-666.9999999999953,-258.9999999999981,,-2594.999999999995
2019.04.30,-745.0000000000178,-150.99999999999002,-199.99999999998863,-600.0000000000085,-729.0000000000018,-229.00000000000142,,-2654.000000000008
2019.04.30,-759.0000000000208,-163.00000000000205,-326.9999999999982,-567.9999999999978,-709.9999999999884,-245.0000000000063,,-2772.0000000000136
2019.04.30,-806.0000000000178,-211.99999999998997,-265.99999999999113,-603.9999999999992,-680.9999999999983,-248.00000000000378,,-2817.0
2019.04.30,-854.0000000000214,-299.99999999998914,-253.99999999999068,-686.000000000007,-821.9999999999894,-229.99999999999687,,-3145.9999999999945
2019.04.30,-886.000000000009,-232.99999999999432,-260.9999999999957,-763.0000000000052,-924.9999999999981,-287.0000000000039,,-3355.0000000000064
2019.04.30,-816.0000000000167,-116.99999999998934,-190.9999999999883,-763.0000000000052,-896.9999999999923,-224.9999999999974,,-3008.999999999989
2019.04.30,-896.000000000008,-73.99999999999629,-253.99999999999068,-774.0000000000009,-926.999999999989,-378.999999999996,,-3303.999999999981
2019.04.30,-866.0000000000113,5.000000000010552,-228.9999999999992,-698.0000000000075,-992.9999999999994,-343.9999999999999,,-3125.000000000007
2019.04.30,-842.0000000000094,-159.99999999998238,-222.99999999999898,-790.0000000000063,-1012.9999999999973,-236.99999999999832,,-3264.9999999999927
2019.04.30,-686.0000000000089,-175.99999999999838,-259.9999999999909,-579.0000000000077,-824.0000000000025,-209.00000000000364,,-2734.000000000012
2019.04.30,-671.0000000000216,-299.99999999998914,-240.99999999999966,-573.0000000000075,-751.9999999999972,-84.0000000000063,,-2621.0000000000214
2019.04.30,-719.000000000003,-437.99999999998283,-233.99999999999466,-609.9999999999994,-639.9999999999961,-56.99999999999594,,-2697.9999999999723
2019.04.30,-780.000000000003,-453.99999999999886,-169.9999999999875,-650.0000000000057,-695.9999999999856,-56.99999999999594,,-2806.9999999999764
2019.04.30,-786.00000000002,-547.999999999993,-152.9999999999916,-633.0000000000098,-642.9999999999936,-43.00000000000415,,-2806.0000000000123
2019.04.30,-863.0000000000138,-736.9999999999877,-149.99999999999147,-734.9999999999994,-653.999999999999,4.999999999999449,,-3133.999999999992
2019.04.30,-814.0000000000036,-671.9999999999837,-160.99999999998715,-698.0000000000075,-675.0000000000034,39.999999999995595,,-2979.99999999999
2019.04.30,-824.0000000000025,-687.9999999999998,-144.99999999999602,-716.9999999999987,-726.0000000000044,53.00000000000304,,-3046.999999999998
2019.04.30,-833.000000000017,-645.999999999991,-159.9999999999966,-722.0000000000084,-727.9999999999953,41.000000000002146,,-3048.0000000000064
2019.04.30,-806.0000000000178,-624.0000000000023,-125.0,-707.9999999999984,-634.9999999999856,21.999999999999797,,-2876.0000000000036
2019.04.30,-781.0000000000094,-642.9999999999936,-108.99999999999466,-706.0000000000031,-634.0000000000013,21.00000000000435,,-2851.9999999999977
2019.04.30,-782.000000000016,-671.9999999999837,-108.99999999999466,-772.0000000000056,-679.9999999999917,41.9999999999976,,-2972.999999999994
2019.05.01,-776.0000000000211,-670.9999999999993,-192.99999999999784,-734.0000000000089,-751.9999999999972,110.99999999999443,,-3015.00000000003
2019.05.01,-769.0000000000197,-638.9999999999895,-131.00000000000023,-728.9999999999992,-775.9999999999989,109.99999999999899,,-2934.000000000008
2019.05.01,-763.0000000000026,-632.9999999999947,-117.999999999995,-740.9999999999997,-741.9999999999982,102.99999999999754,,-2893.9999999999923
2019.05.01,-765.0000000000157,-612.9999999999969,-100.99999999999909,-731.9999999999993,-1797.000000000004,85.00000000000173,,-3923.000000000013
2019.05.01,-743.0000000000048,-664.9999999999823,-108.99999999999466,-731.9999999999993,-1468.999999999987,451.0000000000014,,-3266.999999999967
2019.05.01,-767.0000000000066,-661.0000000000005,-131.9999999999908,-704.0000000000077,-1375.9999999999995,427.99999999999505,,-3212.00000000001
2019.05.01,-783.0000000000003,-681.9999999999826,-119.99999999999034,-731.0000000000088,-1387.000000000005,432.9999999999945,,-3269.9999999999923
2019.05.01,-789.0000000000175,-716.9999999999899,-69.99999999999318,-731.0000000000088,-1414.000000000004,454.9999999999943,,-3266.000000000019
