date,GBPUSD,USDCAD,AUDUSD,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDCAD,empty,sum
2017.04.25,15.00000000000945,-1330.0000000000089,-325.99999999999295,334.99999999999375,-571.9999999999948,-213.00000000000762,653.999999999999,-316.0000000000052,-611.9999999999948,1577.9999999999905,1683.9999999999966,1158.0000000000146,-2668.0000000000036,-397.00000000000557,138.9999999999958,363.0000000000022,,-508.0000000000112
2017.04.25,-22.999999999995246,-1336.9999999999882,-366.9999999999951,368.9999999999998,-532.9999999999945,-204.99999999999963,629.9999999999973,-317.0000000000006,-831.0000000000173,1536.9999999999884,1629.0000000000139,1168.0000000000134,-2700.9999999999977,-325.00000000000284,6.999999999990791,400.00000000000034,,-898.9999999999874
2017.04.25,17.000000000000348,-1218.000000000008,-335.99999999999187,435.99999999999284,-480.99999999999807,-185.00000000000182,607.9999999999974,-309.0000000000037,-820.999999999998,1427.9999999999848,1561.0000000000123,1164.0000000000095,-2736.000000000005,-207.00000000000784,-14.000000000010004,440.00000000000705,,-653.0000000000202
2017.04.25,26.999999999999247,-1242.999999999994,-365.99999999999966,414.0000000000015,-478.0000000000006,-187.00000000000384,641.9999999999982,-299.00000000000483,-820.999999999998,1510.9999999999957,1536.000000000004,1148.0000000000157,-2723.0000000000086,-219.99999999999886,18.999999999991246,489.0000000000061,,-550.999999999997
2017.04.25,9.999999999998899,-1170.0000000000043,-365.99999999999966,405.00000000000114,-397.99999999999835,-176.0000000000095,639.0000000000007,-278.00000000000045,-812.0000000000118,1438.9999999999902,1458.0000000000036,1146.0000000000025,-2699.000000000007,-148.00000000001035,34.99999999999659,580.0000000000027,,-335.00000000004513
2017.04.25,76.0000000000094,-1120.9999999999943,-356.9999999999962,447.00000000000273,-400.9999999999958,-188.00000000001037,636.9999999999986,-270.99999999999903,-831.0000000000173,1455.9999999999907,1507.9999999999982,1200.0000000000011,-2676.000000000012,-115.0000000000091,45.99999999999227,548.0000000000041,,-42.000000000036835
2017.04.25,42.0000000000087,-1171.9999999999952,-355.99999999998965,355.000000000004,-424.9999999999976,-193.00000000000983,600.0000000000006,-256.0000000000007,-873.9999999999952,1493.9999999999952,1453.9999999999998,1072.0000000000064,-2598.0000000000114,-177.0000000000067,40.99999999999682,502.00000000000244,,-490.99999999999255
2017.04.26,100.0000000000112,-1177.000000000006,-376.99999999999403,218.9999999999941,-526.0000000000042,-285.00000000000193,592.9999999999991,-214.00000000000307,-854.0000000000134,1548.9999999999782,1405.9999999999961,1073.0000000000127,-2538.000000000018,-183.00000000000693,72.99999999999329,473.99999999999665,,-667.0000000000666
2017.04.26,89.00000000000574,-1197.0000000000036,-379.9999999999915,340.0000000000034,-468.00000000000176,-232.00000000000998,592.0000000000036,-200.99999999999562,-811.000000000007,1577.9999999999905,1496.0000000000084,1114.000000000015,-2531.0000000000164,-195.99999999999795,98.99999999998954,465.9999999999998,,-242.0000000000084
2017.04.26,86.99999999999264,-1207.0000000000025,-358.9999999999982,362.99999999999955,-458.00000000000284,-190.00000000000128,572.0000000000058,-210.99999999999451,-816.0000000000025,1630.9999999999825,1536.000000000004,1056.0000000000125,-2544.9999999999973,-218.00000000000352,33.00000000000125,397.99999999999835,,-328.00000000000574
