date,USDCAD,EURCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,CADJPY,AUDJPY,NZDJPY,empty,sum
2016.02.17,27.999999999983594,-428.9999999999905,394.999999999996,-464.9999999999932,472.00000000000574,1102.0000000000039,-2777.0000000000296,277.9999999999916,-604.9999999999898,-609.9999999999994,13.999999999995794,,-2597.000000000026
2016.02.17,139.00000000000023,-436.9999999999985,475.9999999999991,-404.99999999999983,522.0000000000002,1307.9999999999927,-2643.0000000000396,361.99999999999477,-457.9999999999984,-433.9999999999975,165.99999999999682,,-1404.00000000005
2016.02.17,161.99999999999548,-462.9999999999912,448.0000000000075,-307.0000000000017,558.000000000003,1500.0,-2421.0000000000064,352.99999999999443,-346.9999999999942,-270.00000000001023,280.00000000000114,,-507.00000000000205
2016.02.17,183.99999999998417,-455.99999999998977,465.0000000000034,-288.9999999999948,662.000000000007,1599.9999999999943,-2452.000000000032,317.99999999999784,-316.0000000000025,-231.00000000000875,266.9999999999959,,-248.0000000000448
2016.02.17,201.99999999999108,-447.99999999998175,439.9999999999977,-346.9999999999973,655.0000000000056,1550.0000000000114,-2371.000000000034,323.99999999999807,-316.99999999999307,-219.99999999999886,199.99999999998863,,-332.0000000000125
2016.02.17,236.99999999999832,-443.99999999999994,328.00000000000296,-413.99999999999216,643.0000000000047,1382.000000000005,-2363.0000000000264,201.99999999999818,-365.99999999999966,-300.00000000001137,40.99999999999682,,-1054.0000000000236
2016.02.17,261.9999999999845,-483.99999999999557,359.99999999999943,-417.0000000000007,600.0000000000006,1344.9999999999989,-2342.000000000022,246.9999999999999,-336.9999999999891,-287.00000000000614,49.99999999999716,,-1003.0000000000329
2016.02.17,315.99999999998295,-485.99999999998647,493.9999999999998,-422.00000000000017,678.0000000000008,1622.9999999999905,-2663.9999999999995,325.9999999999934,-223.99999999998954,-197.00000000000273,146.99999999999136,,-409.0000000000198
2016.02.17,374.999999999992,-509.99999999998823,563.0000000000024,-424.9999999999976,778.0000000000009,1897.9999999999961,-2791.0000000000323,375.99999999999056,-173.99999999999238,-153.0000000000058,193.9999999999884,,130.99999999995396
2016.02.17,232.99999999999432,-507.9999999999973,649.0000000000009,-496.99999999999187,839.0000000000009,2268.000000000001,-3029.0000000000373,521.0000000000008,-86.99999999998909,-84.00000000000318,250.99999999999056,,555.9999999999695
2016.02.17,140.99999999999113,-502.00000000000244,444.0000000000026,-495.9999999999964,760.0000000000051,1871.0000000000093,-3106.0000000000086,320.99999999999795,-265.00000000000057,-278.0000000000058,59.99999999998806,,-1050.00000000002
2016.02.17,126.99999999998823,-525.999999999982,460.9999999999985,-558.9999999999984,733.0000000000059,1667.0000000000016,-2919.0000000000273,262.999999999991,-423.0000000000018,-382.000000000005,-30.000000000001137,,-1588.0000000000302
2016.02.17,63.99999999999739,-534.9999999999966,466.99999999999875,-669.9999999999928,502.00000000000244,1352.0000000000039,-2887.0000000000396,239.99999999999488,-521.9999999999914,-438.0000000000024,-85.00000000000796,,-2512.0000000000337
2016.02.17,-68.00000000000139,-617.0000000000009,564.0000000000072,-888.9999999999953,331.0000000000035,935.0000000000023,-3004.000000000007,324.99999999998863,-686.9999999999976,-666.000000000011,-269.00000000000546,,-4045.000000000017
2016.02.17,-272.00000000000557,-627.9999999999841,516.9999999999959,-951.0000000000018,202.0000000000022,506.0000000000002,-3110.000000000035,225.9999999999991,-948.9999999999981,-1047.0000000000114,-454.00000000000773,,-5960.0000000000455
2016.02.17,-273.0000000000121,-617.9999999999852,496.9999999999999,-992.9999999999994,193.00000000000983,496.0000000000093,-3180.000000000005,179.00000000000205,-950.0000000000028,-1066.0000000000025,-520.0000000000102,,-6234.999999999996
2016.02.17,-124.00000000001299,-654.9999999999834,584.0000000000032,-895.0000000000014,331.0000000000035,850.9999999999991,-3437.0000000000014,298.0000000000018,-759.0000000000003,-885.0000000000051,-318.00000000001205,,-5009.000000000009
2016.02.17,-222.00000000001108,-675.9999999999877,503.0000000000001,-834.0000000000014,398.00000000000944,837.9999999999939,-3347.000000000033,158.00000000000125,-795.9999999999923,-846.0000000000036,-269.00000000000546,,-5093.00000000003
2016.02.17,-121.99999999999989,-679.9999999999917,519.999999999996,-795.0000000000013,443.99999999999994,882.000000000005,-3074.0000000000214,155.00000000000114,-750.0,-802.9999999999973,-240.0000000000091,,-4463.000000000018
2016.02.17,-368.00000000001273,-706.999999999991,492.999999999995,-871.999999999995,440.00000000000705,865.9999999999854,-3265.000000000029,109.99999999999943,-944.0000000000026,-939.0000000000072,-368.9999999999998,,-5555.00000000005
2016.02.17,-435.0000000000076,-683.9999999999957,423.0000000000018,-854.9999999999947,359.0000000000093,676.9999999999925,-3229.000000000015,39.00000000000148,-1004.9999999999955,-971.0000000000036,-374.00000000000944,,-6055.000000000016
2016.02.17,-407.0000000000018,-747.9999999999931,560.0000000000023,-864.9999999999935,354.0000000000099,843.9999999999941,-3223.0000000000205,235.99999999999,-1018.0000000000007,-859.0000000000089,-262.00000000000045,,-5388.000000000024
2016.02.17,-645.0000000000067,-756.9999999999854,611.0000000000042,-892.9999999999993,379.0000000000071,823.0000000000075,-3524.000000000038,214.9999999999892,-1209.9999999999936,-905.0000000000011,-243.99999999999977,,-6150.000000000016
2016.02.17,-604.0000000000045,-725.9999999999823,620.0000000000045,-873.0000000000016,506.0000000000064,1147.9999999999961,-3729.0000000000045,219.99999999999886,-1156.9999999999964,-894.0000000000055,-261.0000000000099,,-5749.999999999999
2016.02.17,-1121.0000000000164,-769.9999999999818,575.0000000000028,-1112.9999999999973,370.9999999999991,644.0000000000055,-3802.0000000000164,93.99999999999409,-1620.999999999995,-1261.00000000001,-612.000000000009,,-8616.000000000024
2016.02.17,-1611.0000000000068,-873.999999999997,495.9999999999951,-1403.999999999994,304.9999999999997,496.0000000000093,-4323.00000000001,-7.000000000005002,-1768.9999999999914,-1475.0000000000086,-847.999999999999,,-11014.000000000007
2016.02.17,-1722.0000000000014,-887.9999999999999,656.9999999999965,-1419.999999999999,247.00000000000833,383.99999999998613,-4197.000000000028,48.99999999999238,-1808.9999999999975,-1528.000000000006,-882.000000000005,,-11109.000000000055
2016.02.17,-1789.0000000000184,-886.9999999999934,594.0000000000083,-1435.9999999999927,274.00000000000756,359.00000000000887,-4236.000000000017,-20.000000000010232,-1902.9999999999916,-1558.9999999999975,-930.0000000000068,,-11533.000000000004
2016.02.17,-1805.000000000012,-872.9999999999905,668.9999999999969,-1303.999999999994,353.0000000000033,782.999999999987,-4469.000000000012,150.99999999999625,-1774.9999999999914,-1399.000000000001,-716.0000000000082,,-10385.000000000025
2016.02.17,-1673.9999999999977,-861.999999999985,638.0000000000052,-1351.9999999999977,354.0000000000099,659.9999999999966,-4448.00000000003,68.9999999999884,-1768.0000000000007,-1498.0000000000045,-819.0000000000026,,-10700.000000000016
2016.02.17,-1622.0000000000123,-898.9999999999832,620.9999999999951,-1345.9999999999916,440.00000000000705,757.000000000005,-4706.00000000001,9.000000000000341,-1715.999999999994,-1487.000000000009,-808.0000000000069,,-10757.0
2016.02.17,-1520.0000000000102,-876.9999999999944,612.9999999999995,-1323.9999999999918,487.0000000000041,879.9999999999955,-4610.0000000000255,67.99999999999784,-1671.999999999997,-1462.0000000000032,-806.0000000000116,,-10223.000000000036
2016.02.17,-1607.000000000003,-814.999999999988,703.000000000003,-1366.0000000000005,468.00000000000176,1134.999999999991,-4815.000000000014,234.99999999999943,-1643.0000000000007,-1417.0000000000016,-784.000000000006,,-9906.000000000018
2016.02.17,-1466.0000000000118,-712.0000000000015,856.9999999999993,-1388.999999999996,459.0000000000094,1336.999999999989,-4790.000000000027,479.99999999998977,-1533.0000000000014,-1296.0000000000064,-734.0000000000089,,-8787.000000000064
2016.02.17,-1331.9999999999998,-787.9999999999887,968.0000000000035,-1401.999999999992,508.00000000000847,1563.999999999993,-4922.000000000026,549.9999999999972,-1238.99999999999,-1239.0000000000043,-649.0000000000009,,-7981.0
2016.02.17,-1427.0000000000005,-783.0000000000003,969.9999999999989,-1414.9999999999995,463.0000000000023,1500.0,-4925.000000000024,537.9999999999967,-1326.9999999999982,-1296.0000000000064,-671.0000000000065,,-8373.000000000038
2016.02.17,-1551.0000000000134,-722.0000000000005,900.0000000000057,-1342.999999999994,395.0000000000009,1278.9999999999964,-4875.000000000029,525.9999999999962,-1521.9999999999914,-1326.9999999999982,-623.0000000000047,,-8863.000000000033
2016.02.17,-1788.0000000000118,-719.000000000003,834.0000000000032,-1420.9999999999945,385.000000000002,1127.0000000000095,-4997.000000000029,415.9999999999968,-1727.9999999999945,-1465.0000000000034,-767.0000000000101,,-10123.000000000036
2016.02.18,-1825.00000000001,-739.0000000000008,829.9999999999983,-1374.999999999993,102.00000000000209,1091.0000000000082,-5058.000000000029,399.9999999999915,-1762.999999999991,-1451.0000000000077,-740.0000000000091,,-10528.000000000038
2016.02.18,-1808.0000000000095,-749.999999999984,811.9999999999976,-1381.9999999999943,381.0000000000091,1108.000000000004,-4760.000000000009,379.99999999999545,-1760.9999999999957,-1387.0000000000005,-762.0000000000005,,-9928.999999999985
