date,EURJPY,AUDJPY,NZDCAD,empty,sum
2019.11.06,-10.99999999999568,-385.9999999999957,-670.000000000004,,-1066.9999999999955
2019.11.06,11.00000000000989,-402.000000000001,-629.0000000000018,,-1019.999999999993
2019.11.06,-18.999999999991246,-403.0000000000058,-619.9999999999983,,-1041.9999999999955
2019.11.06,-24.00000000000091,-412.00000000000614,-602.0000000000025,,-1038.0000000000095
2019.11.06,-42.00000000000159,-400.0000000000057,-614.9999999999989,,-1057.0000000000061
2019.11.06,-40.99999999999682,-438.0000000000024,-605.0,,-1083.999999999999
2019.11.06,-18.000000000000682,-429.00000000000205,-626.9999999999998,,-1074.0000000000025
2019.11.06,-28.999999999996362,-424.99999999999716,-639.9999999999961,,-1093.9999999999895
2019.11.06,-131.00000000000023,-371.9999999999999,-709.9999999999995,,-1212.9999999999995
2019.11.06,-140.99999999999113,-293.00000000000637,-731.9999999999993,,-1165.9999999999968
2019.11.06,-78.99999999999352,-290.00000000000625,-717.9999999999964,,-1086.9999999999961
2019.11.06,-61.99999999999761,-376.99999999999534,-698.9999999999941,,-1137.999999999987
2019.11.06,27.000000000001023,-475.0000000000085,-668.0000000000019,,-1116.0000000000095
2019.11.06,39.00000000000148,-460.00000000000796,-556.0000000000009,,-977.0000000000074
2019.11.06,39.00000000000148,-394.999999999996,-534.0000000000011,,-889.9999999999957
2019.11.06,42.00000000000159,-414.0000000000015,-532.9999999999945,,-904.9999999999944
2019.11.06,76.99999999999818,-420.0000000000017,-526.9999999999997,,-870.0000000000032
2019.11.06,76.00000000000762,-411.00000000000136,-558.000000000003,,-892.9999999999967
2019.11.06,7.000000000005002,-388.00000000000523,-578.9999999999961,,-959.9999999999964
2019.11.06,-10.99999999999568,-394.00000000000546,-597.0000000000031,,-1002.0000000000042
2019.11.06,13.00000000000523,-435.0000000000023,-602.999999999998,,-1024.999999999995
2019.11.06,60.000000000002274,-420.0000000000017,-524.9999999999977,,-884.9999999999972
2019.11.06,23.000000000010346,-403.99999999999636,-458.00000000000284,,-838.9999999999889
2019.11.06,13.00000000000523,-381.0000000000002,-459.99999999999375,,-827.9999999999887
2019.11.06,-24.00000000000091,-338.0000000000081,-510.99999999999477,,-873.0000000000038
2019.11.06,-0.999999999990564,-337.0000000000033,-515.9999999999942,,-853.9999999999881
2019.11.06,-87.99999999999386,-337.0000000000033,-490.999999999997,,-915.9999999999941
2019.11.06,-60.000000000002274,-341.99999999999875,-459.99999999999375,,-861.9999999999948
2019.11.06,-263.9999999999958,-390.00000000000057,-553.999999999999,,-1207.9999999999955
2019.11.06,-251.99999999999534,-138.9999999999958,-556.0000000000009,,-946.999999999992
2019.11.06,-286.9999999999919,-87.0000000000033,-600.0000000000006,,-973.9999999999958
2019.11.06,-305.9999999999974,-93.00000000000352,-558.000000000003,,-957.0000000000039
2019.11.06,-265.00000000000057,-103.9999999999992,-590.999999999997,,-959.9999999999968
2019.11.06,-251.99999999999534,-112.00000000000898,-558.9999999999984,,-923.0000000000027
2019.11.06,-229.99999999998977,-134.00000000000034,-570.0000000000039,,-933.999999999994
2019.11.06,-217.9999999999893,-153.0000000000058,-583.9999999999957,,-954.9999999999908
2019.11.06,-200.00000000000284,-162.00000000000614,-580.9999999999982,,-943.0000000000072
2019.11.06,-201.99999999999818,-189.99999999999773,-578.0000000000007,,-969.9999999999966
2019.11.06,-197.9999999999933,-224.00000000000375,-553.0000000000035,,-975.0000000000006
2019.11.07,-227.99999999999443,-179.00000000000205,-619.9999999999983,,-1026.9999999999948
2019.11.07,-200.00000000000284,-189.00000000000716,-575.9999999999987,,-965.0000000000088
2019.11.07,-197.9999999999933,-156.0000000000059,-575.9999999999987,,-929.999999999998
2019.11.07,-218.9999999999941,-141.00000000000534,-573.0000000000013,,-933.0000000000007
2019.11.07,-280.9999999999917,-88.00000000000807,-624.0000000000023,,-993.000000000002
2019.11.07,-292.99999999999216,-147.00000000000557,-663.999999999998,,-1103.9999999999957
2019.11.07,-316.0000000000025,-82.99999999999841,-658.9999999999985,,-1057.9999999999995
2019.11.07,-426.9999999999925,-27.000000000001023,-717.000000000001,,-1170.9999999999945
2019.11.07,-448.99999999999807,55.999999999997385,-717.9999999999964,,-1110.999999999997
2019.11.07,-569.9999999999932,69.99999999999318,-739.9999999999962,,-1239.9999999999964
2019.11.07,-640.0000000000006,146.99999999999136,-737.9999999999942,,-1231.0000000000034
2019.11.07,-625.0,200.9999999999934,-736.9999999999987,,-1161.0000000000055
2019.11.07,-606.9999999999993,164.99999999999204,-741.9999999999982,,-1184.0000000000055
2019.11.07,-589.9999999999892,158.00000000000125,-744.9999999999957,,-1176.9999999999836
2019.11.07,-578.9999999999935,170.99999999999227,-741.0000000000027,,-1149.000000000004
2019.11.07,-557.9999999999927,87.0000000000033,-727.9999999999953,,-1198.9999999999848
2019.11.07,-518.0000000000007,84.00000000000318,-717.000000000001,,-1150.9999999999986
2019.11.07,-537.9999999999967,79.9999999999983,-700.0000000000006,,-1157.999999999999
2019.11.07,-554.000000000002,-284.9999999999966,-707.000000000002,,-1546.0000000000007
2019.11.07,-170.0000000000017,-403.0000000000058,-685.9999999999977,,-1259.0000000000052
2019.11.07,-177.99999999999727,-326.0000000000076,-680.0000000000028,,-1184.0000000000077
2019.11.07,-114.99999999999488,-373.00000000000466,-627.9999999999952,,-1115.9999999999948
2019.11.07,-61.99999999999761,-466.99999999999875,-587.9999999999997,,-1116.999999999996
2019.11.07,-45.99999999999227,-521.0000000000008,-512.0000000000014,,-1078.9999999999945
2019.11.07,31.00000000000591,-606.0000000000088,-502.00000000000244,,-1077.0000000000052
2019.11.07,150.00000000000568,-623.9999999999952,-556.0000000000009,,-1029.9999999999905
2019.11.07,157.0000000000107,-615.9999999999997,-561.9999999999958,,-1020.9999999999848
2019.11.07,106.99999999999932,-519.999999999996,-605.0,,-1017.9999999999967
2019.11.07,49.99999999999716,-498.9999999999952,-636.0000000000032,,-1085.0000000000014
2019.11.07,24.00000000000091,-481.00000000000875,-634.9999999999967,,-1092.0000000000045
2019.11.07,54.000000000002046,-500.0,-634.0000000000013,,-1079.999999999999
2019.11.07,27.000000000001023,-478.00000000000864,-615.9999999999943,,-1067.0000000000018
2019.11.07,15.000000000000568,-503.0000000000001,-598.999999999994,,-1086.9999999999936
2019.11.07,-52.99999999999727,-521.0000000000008,-609.000000000004,,-1183.000000000002
2019.11.07,-132.99999999999557,-549.0000000000066,-668.0000000000019,,-1350.000000000004
2019.11.07,-118.99999999999977,-543.0000000000064,-892.9999999999993,,-1555.0000000000055
2019.11.07,-113.99999999999011,-469.99999999999886,-858.9999999999986,,-1442.9999999999877
2019.11.07,-128.99999999999068,-629.0000000000049,-868.9999999999975,,-1626.9999999999932
2019.11.07,40.99999999999682,-771.0000000000008,-844.0000000000003,,-1574.0000000000043
2019.11.07,40.99999999999682,-844.0000000000083,-761.0000000000006,,-1564.000000000012
2019.11.07,25.000000000005684,-778.9999999999964,-734.9999999999968,,-1488.9999999999875
2019.11.07,57.00000000000216,-790.0000000000063,-658.0000000000031,,-1391.0000000000073
2019.11.07,94.99999999999886,-819.0000000000026,-641.0000000000027,,-1365.0000000000064
2019.11.07,-36.000000000001364,-802.9999999999973,-614.9999999999989,,-1453.9999999999975
2019.11.07,-155.00000000000114,-615.9999999999997,-597.0000000000031,,-1368.0000000000039
