date,GBPUSD,USDCAD,AUDUSD,NZDUSD,NZDJPY,empty,sum
2019.01.22,400.00000000000034,-648.0000000000041,-421.0000000000047,-408.00000000000836,-621.9999999999999,,-1699.0000000000168
2019.01.22,341.00000000001353,-685.0000000000023,-422.00000000000017,-400.00000000000034,-631.9999999999908,,-1797.99999999998
2019.01.22,205.00000000001074,-723.0000000000069,-416.00000000000523,-412.00000000000125,-650.9999999999962,,-1996.999999999999
2019.01.22,185.00000000001293,-717.000000000012,-412.00000000000125,-417.0000000000007,-632.9999999999956,,-1993.9999999999964
2019.01.22,181.00000000000892,-668.0000000000019,-343.00000000000443,-313.00000000000773,-518.0000000000007,,-1661.000000000006
2019.01.22,211.00000000000563,-690.9999999999972,-392.9999999999989,-318.00000000000716,-524.0000000000009,,-1714.9999999999986
2019.01.22,358.9999999999982,-882.000000000005,-359.0000000000093,-308.00000000000824,-540.9999999999968,,-1731.0000000000211
2019.01.22,401.00000000000693,-936.0000000000035,-358.0000000000028,-308.00000000000824,-527.9999999999916,,-1728.999999999999
2019.01.22,439.0000000000116,-926.0000000000045,-365.99999999999966,-313.00000000000773,-563.0000000000024,,-1729.0000000000027
2019.01.22,509.00000000000387,-927.0000000000111,-386.0000000000086,-309.0000000000037,-608.9999999999947,,-1722.000000000014
2019.01.22,669.0000000000085,-863.0000000000138,-382.00000000000455,-304.00000000000426,-536.0000000000014,,-1416.0000000000155
2019.01.22,809.0000000000152,-787.0000000000043,-309.99999999999915,-238.0000000000049,-457.9999999999984,,-983.9999999999916
2019.01.22,768.0000000000131,-778.000000000012,-323.0000000000066,-231.0000000000034,-475.9999999999991,,-1040.0000000000082
2019.01.22,798.9999999999942,-736.0000000000033,-317.0000000000006,-220.00000000000907,-484.99999999999943,,-959.0000000000182
2019.01.22,893.9999999999948,-774.000000000008,-285.00000000000193,-228.00000000000597,-506.9999999999908,,-900.0000000000118
2019.01.22,866.9999999999956,-943.000000000005,-441.0000000000025,-309.0000000000037,-713.9999999999986,,-1540.0000000000143
2019.01.22,880.9999999999984,-875.0000000000035,-409.0000000000038,-271.0000000000101,-650.9999999999962,,-1325.0000000000155
2019.01.22,927.9999999999955,-835.000000000008,-408.00000000000836,-258.0000000000027,-614.9999999999949,,-1188.0000000000184
2019.01.22,848.0000000000043,-903.0000000000093,-474.00000000000773,-290.00000000000136,-631.9999999999908,,-1451.000000000005
2019.01.22,844.0000000000003,-921.0000000000163,-484.00000000000665,-295.0000000000008,-628.9999999999907,,-1485.000000000014
2019.01.22,798.9999999999942,-974.0000000000082,-481.0000000000092,-293.0000000000099,-608.9999999999947,,-1558.0000000000277
2019.01.22,794.0000000000058,-944.0000000000115,-472.00000000000574,-289.0000000000059,-527.9999999999916,,-1439.0000000000089
2019.01.22,808.0000000000088,-970.0000000000042,-465.9999999999998,-306.00000000000625,-575.0000000000028,,-1509.0000000000043
2019.01.23,771.9999999999949,-948.0000000000155,-440.00000000000705,-50.0000000000056,-301.00000000000193,,-967.0000000000351
2019.01.23,798.0000000000098,-946.0000000000024,-453.0000000000034,9.999999999998899,-240.99999999999966,,-831.9999999999968
2019.01.23,829.9999999999974,-980.0000000000031,-431.99999999999903,-48.000000000003595,-289.99999999999204,,-920.0000000000005
2019.01.23,795.9999999999967,-985.0000000000136,-465.9999999999998,-70.0000000000034,-310.99999999999284,,-1036.000000000013
2019.01.23,804.0000000000047,-972.0000000000173,-443.0000000000045,-3.0000000000085514,-226.99999999998965,,-841.0000000000152
2019.01.23,784.0000000000069,-887.9999999999999,-426.00000000000415,151.9999999999966,-9.000000000000341,,-387.0000000000008
2019.01.23,795.0000000000124,-880.0000000000141,-447.0000000000085,111.99999999998988,-49.99999999999716,,-470.0000000000175
2019.01.23,768.9999999999975,-768.0000000000131,-338.00000000000495,225.99999999999287,148.00000000001035,,36.99999999998269
2019.01.23,771.0000000000106,-755.0000000000168,-362.00000000000676,117.99999999999588,82.00000000000784,,-146.0000000000093
2019.01.23,792.0000000000149,-738.0000000000164,-334.00000000000097,147.99999999999258,132.000000000005,,-4.860112312599085e-12
2019.01.23,859.0000000000098,-738.0000000000164,-323.0000000000066,189.99999999999017,153.0000000000058,,140.99999999998278
2019.01.23,761.999999999996,-689.0000000000063,-301.0000000000068,179.99999999999127,183.9999999999975,,135.99999999997172
2019.01.23,757.0000000000076,-699.0000000000052,-298.0000000000094,167.9999999999904,185.00000000000227,,112.99999999998568
2019.01.23,765.0000000000157,-687.9999999999998,-284.0000000000065,257.9999999999916,245.00000000000455,,296.00000000000557
2019.01.23,737.9999999999942,-692.0000000000038,-292.9999999999988,248.99999999999923,243.99999999999977,,245.99999999999065
2019.01.23,720.9999999999939,-687.9999999999998,-291.0000000000079,290.9999999999968,246.00000000000932,,278.9999999999923
2019.01.23,693.0000000000102,-693.0000000000102,-295.0000000000008,298.9999999999937,281.9999999999965,,285.99999999998937
2019.01.23,801.0000000000073,-663.0000000000135,-287.9999999999994,344.99999999999534,346.00000000000364,,540.9999999999934
2019.01.23,876.0000000000101,-675.0000000000034,-307.0000000000017,310.9999999999946,308.00000000000693,,513.0000000000066
2019.01.23,845.0000000000068,-684.000000000018,-324.00000000000205,326.9999999999995,302.99999999999727,,466.9999999999836
2019.01.23,731.9999999999993,-716.0000000000056,-338.00000000000495,310.9999999999946,237.99999999999955,,226.99999999998295
2019.01.23,870.9999999999995,-705.0000000000001,-337.0000000000095,317.0000000000006,264.00000000001,,410.00000000000057
2019.01.23,1042.0000000000095,-668.0000000000019,-302.0000000000023,322.00000000000006,287.00000000000614,,681.0000000000116
2019.01.23,1096.0000000000082,-652.0000000000082,-302.0000000000023,333.9999999999899,316.0000000000025,,791.9999999999901
2019.01.23,963.0000000000027,-628.0000000000064,-263.0000000000021,383.0,399.0000000000009,,853.9999999999952
2019.01.23,1002.9999999999983,-605.0000000000111,-270.99999999999903,391.9999999999924,386.0000000000099,,904.9999999999903
2019.01.23,1168.0000000000134,-604.0000000000045,-282.0000000000045,404.99999999999983,384.00000000000034,,1071.0000000000045
2019.01.23,1470.0000000000157,-617.0000000000009,-292.00000000000335,418.9999999999916,424.0000000000066,,1404.0000000000095
2019.01.23,1507.9999999999982,-591.0000000000082,-301.0000000000068,389.99999999999034,405.00000000000114,,1410.9999999999745
2019.01.23,1536.000000000004,-592.9999999999991,-309.0000000000037,386.9999999999929,376.0000000000048,,1396.999999999999
2019.01.23,1574.0000000000086,-575.9999999999987,-352.00000000000784,337.99999999999386,382.000000000005,,1366.000000000001
2019.01.23,1419.999999999999,-866.0000000000113,-387.000000000004,315.9999999999941,368.0000000000092,,850.9999999999872
2019.01.23,1533.0000000000066,-894.000000000017,-407.0000000000018,298.9999999999937,430.9999999999974,,961.9999999999787
2019.01.23,1663.0000000000146,-985.999999999998,-382.00000000000455,312.9999999999966,481.9999999999993,,1090.000000000008
2019.01.23,1777.0000000000064,-1006.000000000018,-364.00000000000875,291.99999999999227,359.99999999999943,,1058.9999999999714
2019.01.23,1854.0,-1107.0000000000136,-385.000000000002,282.99999999999994,325.00000000000284,,969.9999999999872
2019.01.23,1869.0000000000095,-1055.000000000006,-362.00000000000676,331.999999999999,273.00000000001035,,1057.0000000000064
2019.01.23,1929.000000000003,-1070.0000000000155,-345.0000000000064,373.99999999999653,213.00000000000807,,1100.999999999986
2019.01.23,1900.0000000000127,-1050.0000000000175,-322.00000000000006,381.99999999999346,228.00000000000864,,1137.9999999999973
2019.01.23,1903.0000000000102,-954.0000000000103,-259.0000000000092,401.99999999999125,258.0000000000098,,1349.9999999999916
2019.01.23,1876.000000000011,-955.0000000000169,-258.0000000000027,398.9999999999938,246.00000000000932,,1307.9999999999945
2019.01.23,1900.0000000000127,-901.0000000000184,-246.00000000000176,400.00000000000034,307.00000000000216,,1459.999999999995
2019.01.23,1929.000000000003,-941.9999999999984,-247.00000000000833,401.99999999999125,317.0000000000073,,1458.9999999999948
2019.01.23,1900.999999999997,-941.0000000000141,-287.9999999999994,383.99999999999545,296.99999999999704,,1352.9999999999761
2019.01.23,1879.0000000000084,-880.9999999999984,-247.00000000000833,392.9999999999989,319.0000000000026,,1463.0000000000032
2019.01.23,1920.999999999995,-882.000000000005,-253.0000000000032,381.99999999999346,311.00000000000705,,1478.9999999999873
2019.01.23,1923.000000000008,-882.000000000005,-231.99999999999886,389.99999999999034,326.0000000000076,,1525.0000000000023
2019.01.23,1927.9999999999964,-890.000000000013,-243.00000000000432,379.9999999999915,319.0000000000026,,1493.9999999999732
2019.01.24,1949.0000000000007,-870.0000000000152,-276.00000000000955,334.9999999999964,207.9999999999984,,1345.9999999999707
2019.01.24,1964.9999999999945,-869.0000000000086,-272.00000000000557,342.9999999999933,260.0000000000051,,1426.9999999999786
2019.01.24,2000.0000000000018,-867.0000000000177,-252.0000000000078,359.99999999999363,287.00000000000614,,1527.9999999999761
2019.01.24,2049.000000000012,-836.9999999999989,-212.00000000000108,407.99999999999727,307.00000000000216,,1715.0000000000114
2019.01.24,2063.999999999999,-821.000000000005,-231.99999999999886,427.99999999999505,308.00000000000693,,1746.9999999999973
2019.01.24,2054.0000000000005,-818.0000000000076,-235.00000000000742,426.9999999999996,350.0000000000085,,1777.9999999999936
2019.01.24,2085.0000000000036,-743.0000000000048,-43.999999999999595,451.9999999999969,346.00000000000364,,2096.0
2019.01.24,2066.0000000000123,-764.0000000000091,-87.00000000000374,478.0000000000006,356.00000000000875,,2049.000000000009
2019.01.24,2002.9999999999993,-860.0000000000163,-316.0000000000052,369.99999999999255,237.99999999999955,,1434.99999999997
2019.01.24,1991.0000000000093,-904.0000000000159,-416.00000000000523,322.9999999999955,198.99999999999807,,1192.9999999999818
2019.01.24,2012.0000000000139,-853.9999999999992,-398.00000000000944,332.99999999999443,228.00000000000864,,1321.0000000000082
2019.01.24,2002.9999999999993,-861.0000000000007,-435.0000000000076,336.9999999999984,216.99999999999875,,1260.9999999999882
2019.01.24,1995.9999999999977,-919.0000000000032,-564.000000000009,275.99999999999847,161.00000000000136,,949.9999999999854
2019.01.24,1970.000000000005,-930.0000000000086,-582.0000000000048,242.99999999999324,144.00000000000546,,844.9999999999902
2019.01.24,1973.0000000000025,-907.9999999999977,-583.0000000000002,225.99999999999287,141.00000000000534,,849.0000000000027
2019.01.24,1981.9999999999948,-897.9999999999987,-609.000000000004,234.00000000000088,165.00000000000625,,873.9999999999991
2019.01.24,2002.0000000000148,-887.9999999999999,-609.000000000004,256.0000000000007,236.0000000000042,,997.0000000000159
2019.01.24,1914.0000000000157,-948.0000000000155,-691.0000000000083,207.99999999999707,215.0000000000034,,697.9999999999924
2019.01.24,1846.0000000000143,-1038.0000000000057,-685.0000000000023,214.99999999999852,201.00000000000762,,539.0000000000125
2019.01.24,1673.9999999999977,-1035.0000000000082,-687.0000000000043,234.99999999999633,236.0000000000042,,422.9999999999858
2019.01.24,1551.0000000000134,-1083.0000000000118,-704.0000000000047,212.99999999999653,174.0000000000066,,151.00000000000006
2019.01.24,1659.9999999999948,-1050.0000000000175,-707.000000000002,207.99999999999707,182.00000000000216,,292.9999999999744
2019.01.24,1641.0000000000036,-991.0000000000085,-704.0000000000047,174.99999999999181,162.00000000000614,,282.9999999999884
2019.01.24,1673.0000000000134,-968.0000000000133,-712.0000000000015,186.99999999999272,201.00000000000762,,380.999999999999
2019.01.24,1610.0000000000002,-944.0000000000115,-717.000000000001,195.9999999999962,230.00000000000398,,374.9999999999879
2019.01.24,1614.0000000000043,-967.0000000000067,-756.0000000000011,137.9999999999937,194.00000000000261,,222.99999999999278
2019.01.24,1473.0000000000132,-999.0000000000166,-752.0000000000082,128.99999999999022,174.0000000000066,,24.99999999998522
2019.01.24,1449.9999999999957,-1038.0000000000057,-691.0000000000083,175.99999999999838,218.00000000000352,,114.9999999999836
2019.01.24,1442.9999999999943,-1002.9999999999983,-667.0000000000065,217.0000000000005,248.00000000000466,,237.9999999999947
