date,AUDUSD,EURCHF,CHFJPY,NZDCHF,EURJPY,empty,sum
2017.08.08,-154.99999999999403,405.9999999999952,79.9999999999983,324.00000000000205,-289.0000000000157,,365.9999999999859
2017.08.08,-152.99999999999204,380.00000000000256,84.99999999999375,343.00000000000443,-259.00000000001455,,395.9999999999941
2017.08.08,-141.99999999999767,344.99999999999534,72.99999999999329,341.99999999999784,-270.00000000001023,,347.9999999999786
2017.08.08,-148.99999999999915,377.9999999999894,88.99999999999864,322.00000000000006,-251.00000000000477,,388.9999999999842
2017.08.08,-168.00000000000148,384.9999999999909,123.99999999999523,295.99999999999625,-215.0000000000034,,421.9999999999775
2017.08.08,-146.00000000000168,376.9999999999829,109.99999999999943,297.9999999999983,-225.00000000002274,,413.99999999995623
2017.08.08,-205.99999999999508,359.99999999998255,99.99999999999432,334.9999999999964,-227.00000000000387,,361.9999999999743
2017.08.08,-274.9999999999919,275.9999999999874,146.0000000000008,321.0000000000046,-138.00000000000523,,329.9999999999956
2017.08.08,-259.9999999999936,268.0000000000016,224.00000000000375,319.99999999999807,37.99999999998249,,589.9999999999923
2017.08.08,-242.99999999999324,273.9999999999965,213.99999999999864,329.00000000000153,6.000000000000227,,580.0000000000036
2017.08.08,-256.99999999999613,235.99999999999176,183.00000000000693,375.0000000000031,-72.00000000000273,,465.00000000000296
2017.08.08,-102.99999999999754,346.9999999999862,219.99999999999886,392.00000000000347,-85.00000000000796,,770.999999999983
2017.08.08,-113.99999999999189,368.9999999999971,269.00000000000546,421.0000000000047,-24.00000000000091,,921.0000000000146
2017.08.08,-59.99999999999339,39.999999999995595,283.00000000000125,375.0000000000031,-70.0000000000216,,567.999999999985
2017.08.08,91.00000000000774,32.999999999994145,186.9999999999976,426.00000000000415,195.99999999999795,,933.0000000000016
2017.08.08,78.00000000000028,48.99999999998794,218.9999999999941,373.00000000000114,243.99999999999977,,962.9999999999832
2017.08.08,65.99999999999939,-4.000000000004,262.00000000000045,356.9999999999962,288.99999999998727,,969.9999999999793
2017.08.08,-4.999999999999449,-100.0000000000112,346.00000000000364,363.99999999999767,510.9999999999957,,1115.9999999999864
2017.08.08,-2.999999999997449,-18.0000000000069,399.0000000000009,409.99999999999926,481.9999999999993,,1269.9999999999952
2017.08.08,-2.999999999997449,55.99999999998939,417.0000000000016,471.99999999999466,459.99999999997954,,1401.9999999999677
2017.08.08,-15.999999999993797,158.99999999999804,525.9999999999962,449.9999999999948,471.99999999998,,1590.9999999999752
2017.08.08,-14.999999999998348,143.99999999998857,469.99999999999886,439.0000000000005,424.99999999998295,,1462.9999999999725
2017.08.08,-2.999999999997449,97.9999999999981,495.00000000000455,470.9999999999992,480.99999999999454,,1541.999999999999
2017.08.08,2.999999999997449,53.999999999998494,439.9999999999977,482.00000000000466,502.9999999999859,,1481.9999999999843
2017.08.08,-10.999999999994348,-59.000000000009045,462.0000000000033,493.99999999999443,606.9999999999993,,1492.9999999999936
2017.08.08,9.999999999998899,-57.00000000001815,456.00000000000307,558.000000000003,633.9999999999861,,1600.999999999973
2017.08.08,56.0000000000005,-31.000000000003247,463.99999999999864,495.9999999999964,637.9999999999768,,1622.999999999969
2017.08.09,19.00000000000235,-84.0000000000174,450.9999999999934,509.9999999999993,628.9999999999907,,1524.9999999999684
2017.08.09,19.999999999997797,-140.0000000000068,414.0000000000015,566.9999999999953,639.9999999999864,,1500.999999999974
2017.08.09,19.00000000000235,-150.00000000000568,421.99999999999704,568.9999999999973,713.9999999999986,,1573.9999999999895
2017.08.09,19.999999999997797,-111.00000000001664,546.0000000000065,597.0000000000031,820.999999999998,,1872.9999999999886
2017.08.09,8.000000000008,-101.00000000001774,504.0000000000049,575.0000000000033,734.9999999999852,,1720.9999999999836
2017.08.09,40.00000000000669,-116.00000000000499,566.0000000000025,575.9999999999987,828.9999999999793,,1894.9999999999823
2017.08.09,158.99999999999804,-253.99999999999866,522.9999999999961,648.9999999999995,875.9999999999764,,1952.9999999999714
2017.08.09,292.9999999999988,-353.0000000000033,549.0000000000066,724.9999999999978,970.9999999999752,,2184.9999999999754
2017.08.09,379.0000000000071,-358.9999999999982,621.9999999999999,797.9999999999987,1163.9999999999873,,2603.999999999995
2017.08.09,404.99999999999983,-446.9999999999974,629.0000000000049,832.9999999999949,1215.9999999999798,,2635.999999999982
2017.08.09,422.00000000000017,-676.0000000000099,602.0000000000039,895.0000000000014,1429.9999999999784,,2672.9999999999736
2017.08.09,419.9999999999982,-672.0000000000059,447.9999999999933,912.9999999999972,1361.9999999999948,,2470.9999999999773
2017.08.09,407.0000000000018,-728.0000000000175,403.99999999999636,924.9999999999981,1365.9999999999854,,2373.999999999964
2017.08.09,407.99999999999727,-1167.0000000000068,61.99999999999761,988.0,1355.9999999999945,,1646.9999999999827
2017.08.09,414.9999999999987,-1184.0000000000073,3.0000000000001137,1168.9999999999977,1335.9999999999843,,1738.9999999999736
2017.08.09,411.0000000000058,-1005.0000000000115,37.9999999999967,1139.0000000000011,1262.0000000000005,,1844.9999999999927
2017.08.09,353.99999999999875,-977.0000000000057,64.00000000000716,1112.9999999999973,1222.9999999999848,,1776.9999999999823
2017.08.09,304.00000000000426,-895.0000000000014,82.99999999999841,1010.9999999999952,1092.9999999999893,,1595.999999999986
2017.08.09,243.99999999999977,-933.000000000006,34.99999999999659,985.999999999998,993.9999999999998,,1325.9999999999882
2017.08.09,274.00000000000756,-771.0000000000106,126.99999999999534,968.9999999999976,1062.9999999999882,,1661.9999999999782
2017.08.09,234.00000000000088,-735.000000000019,143.00000000000068,965.0000000000048,979.9999999999898,,1586.9999999999773
2017.08.09,316.0000000000052,-1354.0000000000107,-237.99999999999955,1059.9999999999943,1072.0000000000027,,855.999999999992
2017.08.09,319.0000000000026,-1766.000000000001,-349.9999999999943,1280.0000000000034,1359.9999999999852,,842.9999999999961
2017.08.09,330.0000000000081,-1591.000000000009,-216.99999999999875,1305.0000000000007,1561.9999999999834,,1388.9999999999845
2017.08.09,241.99999999999778,-1427.0000000000005,-141.00000000000534,1302.0000000000032,1415.9999999999968,,1391.9999999999918
2017.08.09,201.00000000000674,-1341.0000000000143,-259.00000000000034,1297.999999999999,1239.9999999999807,,1138.999999999972
2017.08.09,204.99999999999963,-1324.000000000014,-231.99999999999932,1302.9999999999986,1298.9999999999782,,1250.999999999963
2017.08.09,147.00000000000824,-1331.9999999999998,-227.99999999999443,1331.0000000000043,1311.9999999999834,,1230.0000000000018
2017.08.09,207.00000000000162,-1360.0000000000057,-159.00000000000603,1258.0000000000036,1385.9999999999957,,1331.9999999999893
2017.08.09,187.9999999999993,-1485.000000000003,-234.99999999999943,1249.9999999999955,1402.9999999999916,,1120.9999999999839
2017.08.09,213.00000000000762,-1673.0000000000134,-292.0000000000016,1341.9999999999986,1512.9999999999768,,1102.999999999968
2017.08.09,238.0000000000049,-1580.0000000000036,-331.99999999999363,1346.0000000000027,1455.9999999999889,,1127.9999999999993
2017.08.09,279.00000000000705,-1887.0000000000164,-355.000000000004,1324.9999999999984,1447.0000000000027,,808.999999999988
2017.08.09,299.00000000000483,-1772.000000000018,-409.9999999999966,1268.0000000000025,1383.9999999999861,,768.9999999999789
