date,USDCAD,GBPJPY,EURJPY,AUDCAD,NZDCAD,empty,sum
2019.06.12,-510.00000000001046,-103.00000000000864,88.99999999999864,-419.9999999999982,-851.9999999999972,,-1796.000000000016
2019.06.12,-512.0000000000014,-73.0000000000075,113.99999999999011,-417.99999999999613,-839.9999999999964,,-1729.0000000000114
2019.06.12,-523.0000000000068,-70.0000000000216,93.99999999999409,-458.00000000000284,-872.9999999999905,,-1830.0000000000277
2019.06.12,-543.0000000000045,-104.00000000001342,85.99999999999852,-444.9999999999954,-856.9999999999967,,-1863.0000000000114
2019.06.12,-578.9999999999961,-207.9999999999984,-8.000000000009777,-402.00000000000233,-787.9999999999998,,-1985.0000000000064
2019.06.12,-564.000000000009,-201.99999999999818,-53.00000000001148,-414.00000000000324,-738.9999999999897,,-1972.0000000000114
2019.06.12,-519.0000000000028,-234.00000000000887,-72.00000000000273,-402.00000000000233,-724.9999999999978,,-1952.0000000000146
2019.06.12,-470.9999999999992,-127.00000000000955,-44.00000000001114,-397.99999999999835,-712.9999999999969,,-1753.000000000015
2019.06.12,-595.0000000000122,-135.99999999999568,-102.00000000000387,-395.99999999999636,-685.9999999999977,,-1915.000000000006
2019.06.12,-615.00000000001,-126.00000000000477,-138.00000000000523,-332.99999999999443,-659.999999999994,,-1872.0000000000086
2019.06.12,-626.0000000000155,-169.00000000001114,-198.0000000000075,-375.0000000000031,-694.9999999999901,,-2063.0000000000273
2019.06.12,-643.0000000000158,-157.0000000000107,-207.00000000000784,-331.0000000000035,-667.9999999999908,,-2006.0000000000286
2019.06.12,-624.0000000000023,-111.00000000001842,-163.0000000000109,-351.0000000000013,-691.9999999999926,,-1941.0000000000255
2019.06.12,-598.0000000000097,-37.00000000000614,-196.00000000001216,-365.99999999999966,-752.9999999999926,,-1950.0000000000205
2019.06.12,-567.0000000000064,-141.9999999999959,-182.00000000000216,-365.99999999999966,-734.9999999999968,,-1992.000000000001
2019.06.12,-619.000000000014,-88.00000000002228,-198.0000000000075,-363.99999999999767,-722.9999999999959,,-1992.0000000000373
2019.06.12,-602.999999999998,26.999999999986812,-146.0000000000008,-402.9999999999978,-732.9999999999948,,-1858.0000000000045
2019.06.12,-561.0000000000115,40.99999999999682,-176.00000000000193,-426.00000000000415,-741.9999999999982,,-1864.0000000000189
2019.06.12,-534.0000000000123,50.99999999998772,-124.00000000000944,-468.00000000000176,-794.9999999999901,,-1870.000000000026
2019.06.12,-550.000000000006,92.99999999998931,-128.0000000000001,-475.0000000000032,-761.999999999996,,-1822.000000000016
2019.06.12,-483.0000000000112,-4.000000000019099,-143.00000000000068,-490.00000000000153,-720.9999999999939,,-1841.0000000000264
2019.06.12,-459.0000000000094,-120.00000000000455,-110.00000000001364,-527.9999999999951,-744.0000000000002,,-1961.000000000023
2019.06.12,-443.99999999999994,-52.99999999999727,-58.000000000006935,-504.00000000000443,-737.9999999999942,,-1797.0000000000027
2019.06.12,-628.0000000000064,-461.00000000001273,-191.0000000000025,-478.0000000000006,-717.9999999999964,,-2476.0000000000186
