date,nextweek_NZDCHF,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD
2020.11.08,18,24,9,-12,36,8,-1,18,30,24,15,18,24,24,-12,36,10,8,36,3,-8,-30,36,36,36,6,20,-16
2020.11.01,24,-12,15,20,-12,-20,25,25,4,8,36,10,20,18,4,36,-6,-20,36,1,-20,-9,24,30,36,12,9,16
2020.10.25,18,24,-16,-30,-12,30,-20,-9,9,-6,-24,-3,-2,4,-12,-24,20,12,-36,-3,-4,-16,-36,-24,-24,-1,10,-18
2020.10.18,4,-16,24,20,-18,-12,6,8,-1,3,36,-9,-3,1,1,36,16,15,30,16,9,4,-6,12,12,2,3,-9
2020.10.11,1,9,-12,-20,-36,12,-24,-9,-6,-8,-30,-1,-20,-1,1,-36,-9,20,-36,-15,25,-3,-30,-36,-30,-20,-2,-24
2020.10.04,-1,-24,8,20,36,-20,6,2,-5,-2,36,4,-4,-8,6,30,-9,-1,36,-3,-1,24,36,18,12,-6,-15,12
2020.09.27,-8,-15,30,24,-12,-9,24,24,6,-2,24,-4,18,6,-6,30,20,-12,24,12,-25,-8,18,36,30,24,18,15
2020.09.20,6,25,-20,-25,18,20,-25,-30,3,4,-30,6,-16,-12,-2,-24,1,30,-30,-9,36,30,-24,-36,-36,-25,-30,-6
2020.09.13,-12,4,24,1,-36,4,3,24,30,2,-30,2,6,24,-24,-6,30,30,-24,2,-2,-30,-24,-18,12,8,24,-24
2020.09.06,24,-6,-36,1,-18,24,-3,-15,-36,-6,6,-16,-4,-12,36,-36,-30,-36,-18,30,2,24,-36,-24,-30,24,6,12
2020.08.30,-12,12,-6,-6,30,-4,-9,-2,9,15,-2,24,2,15,-2,24,-12,12,30,-12,16,-9,24,-6,36,-20,-2,-12
2020.08.23,15,-12,25,16,-6,-12,30,30,16,1,36,-2,20,20,-12,36,25,-16,36,6,-20,-24,24,36,36,30,30,-1
2020.08.16,20,2,4,-3,-30,-9,-1,-1,6,-1,-24,12,5,3,-6,-18,-3,4,-18,-8,-9,-3,-18,-18,-18,-2,-2,-1
2020.08.09,3,-2,4,6,30,-24,1,-9,-1,3,24,18,-1,-12,2,30,-20,6,24,-18,6,15,36,30,-6,-18,-30,24
2020.08.02,-12,-1,-2,2,12,-3,6,-2,-2,4,12,6,10,-2,10,-5,-9,-12,18,-2,-9,16,24,18,-6,4,-9,16
2020.07.26,-2,-12,30,24,-36,-3,18,6,25,15,12,-4,3,-2,-12,24,36,20,24,30,9,25,2,18,-18,18,-1,20
2020.07.19,-2,-25,25,30,-18,-16,24,24,-1,4,36,-3,-1,-2,2,36,12,3,36,8,4,8,24,36,36,18,3,10
2020.07.12,-2,-1,-9,24,18,1,9,-2,-9,24,12,-1,8,-2,24,-12,-12,-15,36,30,16,30,24,30,-3,18,-3,20
2020.07.05,-2,-8,24,18,-18,4,5,18,8,3,-6,-12,-1,2,-6,30,30,15,18,20,4,-3,-12,-6,24,18,20,-6
2020.06.28,2,-2,12,6,36,-12,16,20,12,-1,36,12,12,24,-3,36,4,2,36,-8,-8,-15,36,30,36,6,24,-6
2020.06.21,24,-6,-1,10,6,3,18,18,-2,5,36,-6,12,6,6,36,24,-16,36,16,-18,-9,-6,36,36,24,24,3
2020.06.14,6,-3,-5,-3,-12,-6,-1,-2,-8,-6,-6,6,3,-1,6,-12,-10,-15,-6,-6,-6,2,-6,-6,-6,-1,-2,9
2020.06.07,-1,-16,-8,-2,-36,15,-8,-6,-20,-16,-30,-20,-16,-16,9,-30,9,9,-30,16,15,8,-36,-24,-24,-1,12,-9
2020.05.31,-16,2,36,30,24,-30,30,30,36,30,36,30,30,30,-24,36,4,-25,30,-16,-36,-36,36,36,36,30,20,-2
2020.05.24,30,-12,30,25,6,-25,20,24,18,24,36,18,18,18,9,36,-6,-12,36,3,-3,1,36,36,36,2,2,2
2020.05.17,18,-2,24,24,36,-24,24,24,15,24,30,18,24,20,4,36,-2,-25,30,4,-12,-20,36,36,30,20,20,-16
2020.05.10,20,1,-20,-1,36,20,-16,-30,-25,-3,36,-16,-16,-30,30,-18,-20,-4,36,25,25,36,-12,-12,-24,-6,-30,30
2020.05.03,-30,20,-18,-24,-18,-8,12,8,9,-8,-30,20,20,12,-9,-36,-20,-24,-36,-30,-24,-18,6,12,6,12,1,15
2020.04.26,12,-8,24,24,-30,1,18,18,-1,12,6,-3,-2,-1,3,18,10,4,12,10,4,4,-6,-4,24,18,16,-1
2020.04.19,-1,15,-24,-6,24,24,2,-2,-15,2,-12,1,6,2,18,-18,-8,-15,-12,6,-4,3,-24,6,12,16,4,12
2020.04.12,2,2,12,-9,-30,12,2,-9,15,-15,-30,-4,4,-2,-24,-18,30,9,-36,-1,-8,6,-36,-18,-30,18,1,20
2020.04.05,-2,-12,20,12,24,-20,30,25,20,4,36,9,25,16,-9,36,-9,-24,36,-16,-30,-24,30,30,30,25,16,30
2020.03.29,16,25,-12,-25,12,30,-12,-20,12,-9,-24,6,-1,-4,-12,-12,3,15,-30,-15,1,4,-30,-12,-18,-4,-8,8
2020.03.22,-4,-24,18,24,-18,-18,18,24,12,15,12,-9,12,12,-10,18,24,4,18,30,-12,-12,-6,18,18,15,20,-2
2020.03.15,12,30,-36,-30,18,36,-36,-36,-30,-4,-36,-4,-25,-20,25,-36,-18,16,-36,-3,36,30,-36,-36,-36,-25,-15,-12
2020.03.08,-20,10,-24,-10,12,20,-24,-15,-30,-1,6,2,-20,-16,36,-24,-18,9,6,-4,30,24,6,-30,-24,-24,-15,-15
2020.03.01,-16,-25,20,30,-18,-6,30,24,-12,-2,24,-15,-1,-1,6,-6,12,-24,30,18,-12,-9,-12,36,36,30,25,4
2020.02.23,-1,-20,-12,25,-30,24,-16,-9,-25,6,-24,-30,-20,-20,25,-30,8,6,-18,36,30,30,-30,-24,-30,-1,-1,-2
2020.02.16,-20,-4,-15,1,36,-4,-20,-24,-16,-2,30,-1,-20,-24,12,18,-16,15,24,-5,25,30,30,12,6,-24,-24,4
2020.02.09,-24,9,25,-16,18,-9,18,6,30,-12,-6,15,24,12,-25,36,16,8,-24,-20,-30,-20,24,36,24,12,3,10
2020.02.02,12,24,-30,-24,30,18,-1,-6,-16,8,-6,12,24,8,15,-18,-25,-36,30,-12,-30,-9,18,36,24,12,-3,24
2020.01.26,8,-6,8,6,-18,18,-24,-20,3,-2,12,-12,-30,-25,-2,6,15,30,6,20,36,30,-24,-30,-30,-20,-16,2
2020.01.19,-25,6,12,-9,-30,16,-9,-2,20,-2,-24,-4,-4,2,-16,-6,25,20,-24,4,3,-8,-24,-24,-24,-1,9,-6
2020.01.12,2,-12,-2,-2,36,4,-2,-4,-16,-9,36,-12,-9,-12,-1,24,-2,2,36,-1,6,12,30,36,12,-2,-6,4
2020.01.05,-12,4,-1,-6,24,12,-12,-6,8,-2,30,-3,-8,-3,-3,30,12,16,24,2,8,-1,24,6,12,-4,1,-8
2019.12.29,-3,-4,5,-1,-30,-15,-2,-6,-2,-12,-18,4,-9,-12,1,-12,-4,16,-36,-16,9,6,-18,-36,-30,-16,-12,3
2019.12.22,-12,-18,8,24,15,-9,20,24,-3,1,24,-4,6,9,6,12,6,-9,30,9,-9,-16,18,24,30,12,20,-6
2019.12.15,9,-3,-24,-6,18,-4,1,1,-24,-9,36,2,1,-4,20,-18,-24,-18,-6,-8,-4,-4,30,12,6,1,-4,2
2019.12.08,-4,-12,20,18,24,-12,9,6,12,3,36,1,2,-2,-8,36,8,10,36,-1,-1,4,24,24,24,2,-2,3
2019.12.01,-2,-20,30,8,-24,-3,18,24,8,-15,30,-18,1,12,-12,18,30,8,-6,6,-20,-30,-18,18,30,24,30,-24
2019.11.24,12,3,9,1,36,-4,-6,3,12,4,36,4,-8,6,-12,36,6,20,36,-2,12,-6,36,36,36,-9,-1,-12
2019.11.17,6,20,-8,-2,-12,9,-4,3,5,18,-18,2,4,15,6,-12,-2,-3,-12,18,12,-3,-18,-18,-12,2,9,-9
2019.11.10,15,-18,24,4,-36,-1,-10,24,4,-18,24,-18,-24,6,-18,24,24,30,-24,6,24,-16,-36,-36,24,-15,24,-30
2019.11.03,6,24,-20,-24,36,16,-12,-12,3,-1,-6,18,8,-2,-3,-6,-16,-9,-12,-16,-16,6,30,18,-12,-2,-12,12
2019.10.27,-2,-12,24,24,-12,20,20,12,6,-1,30,-16,10,6,-3,36,30,-6,24,30,-12,-6,-18,30,24,30,20,3
2019.10.20,6,24,-12,-16,18,-15,-2,-2,4,12,-18,24,18,12,2,-12,-20,-16,-12,-30,-12,-8,24,-6,-6,-12,-8,2
2019.10.13,12,-12,18,12,12,-9,6,3,15,-1,30,-6,-3,-8,-8,18,18,24,24,12,15,18,18,12,6,2,2,3
2019.10.06,-8,6,18,9,36,-16,4,6,18,12,36,16,6,9,-10,30,15,18,36,-6,-1,2,36,30,36,-4,-4,1
2019.09.29,9,18,6,2,-18,12,1,2,20,24,-36,-1,4,9,1,-12,16,15,-30,12,6,3,-24,-18,-24,3,8,-4
2019.09.22,9,-3,-20,-15,6,-4,-1,12,-20,-20,12,1,-3,10,9,-24,-20,-20,-30,-12,-16,-25,12,6,18,-2,12,-12
2019.09.15,10,3,-4,-12,-12,-3,-20,-16,-1,-2,-30,6,-16,-16,-4,-12,-6,15,-30,-24,15,20,-6,-36,-36,-30,-30,4
2019.09.08,-16,8,20,3,36,12,12,-4,30,9,30,-2,18,-1,-12,36,24,15,30,15,-6,10,36,36,36,24,3,16
2019.09.01,-1,-3,8,4,24,-12,12,16,8,1,30,6,16,20,-3,12,1,-16,18,-8,-30,-20,24,30,30,9,12,-1
2019.08.25,20,30,-12,-25,18,1,-1,-12,20,10,-12,20,12,4,-6,18,-12,-8,-6,-20,-10,-3,18,12,12,2,-16,20
2019.08.18,4,-1,8,6,-18,10,-4,-6,12,12,-12,-1,-2,-6,-6,12,15,15,-6,24,16,25,-12,-18,-24,-2,-4,4
2019.08.11,-6,6,16,-12,18,15,-2,-12,20,-4,18,1,2,-3,-16,24,30,20,-6,-3,-8,-3,12,18,12,9,-1,9
2019.08.04,-3,-24,-8,24,-18,4,-3,-9,-20,-4,18,-24,-24,-24,30,-18,-4,-4,18,24,30,36,-18,-24,-18,-2,-8,4
2019.07.28,-24,-12,-30,-6,-18,4,-20,-20,-36,-16,-12,-16,-30,-25,24,-36,-30,-12,-24,2,30,30,-24,-30,-30,-16,-16,-1
2019.07.21,-25,16,-12,-20,30,16,-20,-16,6,2,-12,2,-12,-9,1,-4,4,20,6,2,20,20,6,-18,-18,-8,-8,3
2019.07.14,-9,-1,-8,-9,-12,8,8,18,-9,-9,12,-2,6,18,6,-18,-3,-16,-18,-6,-20,-30,-12,18,36,18,24,-18
