date,USDCAD,EURCHF,GBPJPY,EURJPY,EURNZD,NZDCAD,AUDNZD,empty,sum
2019.08.13,-419.0000000000138,-188.9999999999947,37.9999999999967,-97.99999999999898,913.9999999999926,-80.00000000000229,-72.0000000000054,,93.99999999997414
2019.08.13,-424.00000000000216,-202.9999999999976,91.99999999999875,-63.00000000000239,719.000000000003,-18.0000000000069,-92.00000000000318,,10.999999999989456
2019.08.13,-465.0000000000043,-222.00000000001108,87.0000000000033,-79.00000000000773,757.999999999992,-17.000000000000348,-68.00000000000139,,-6.000000000029594
2019.08.13,-462.0000000000068,-222.00000000001108,55.999999999997385,-112.99999999999955,624.0000000000023,-6.0000000000060005,-88.99999999998354,,-212.0000000000074
2019.08.13,-451.0000000000014,-229.00000000001253,78.00000000000296,-91.99999999999875,585.9999999999976,24.000000000001798,-112.000000000001,,-196.00000000001137
2019.08.13,-442.00000000000904,-212.99999999999653,69.00000000000261,-103.9999999999992,461.0000000000003,65.99999999999939,-112.99999999998533,,-275.99999999998784
2019.08.13,-479.0000000000072,-170.00000000000347,134.00000000000034,-125.0,402.0000000000135,43.999999999999595,-78.99999999998464,,-272.9999999999819
2019.08.13,-503.000000000009,-170.00000000000347,125.0,-191.0000000000025,385.99999999999744,17.999999999995797,-36.999999999998145,,-372.0000000000199
2019.08.13,-509.00000000000387,-146.00000000000168,82.00000000000784,-201.00000000000762,414.00000000000324,-2.999999999997449,-38.99999999998904,,-401.9999999999886
2019.08.13,-502.00000000000244,-113.00000000000753,102.00000000000387,-174.0000000000066,461.0000000000003,34.000000000000696,-25.999999999992696,,-218.00000000000446
2019.08.13,-497.99999999999847,-103.99999999999298,85.99999999999852,-194.00000000000261,452.00000000000796,12.000000000000899,-18.999999999991246,,-264.99999999997794
2019.08.13,-487.99999999999955,-103.99999999999298,84.00000000000318,-209.00000000000318,442.9999999999934,13.999999999991797,-4.999999999988347,,-264.9999999999956
2019.08.13,-483.0000000000112,-158.99999999999804,37.9999999999967,-218.00000000000352,466.00000000001086,49.99999999999449,2.0000000000131024,,-303.9999999999976
