date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,CHFJPY,CADCHF,NZDCHF,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.05.26,-319.99999999999807,-100.0000000000112,-710.0000000000106,1.999999999990898,-595.0000000000011,-1509.0000000000048,-680.9999999999974,34.000000000000696,-1263.9999999999984,-56.000000000011596,-689.9999999999977,822.9999999999959,-1636.9999999999995,-39.99999999999204,-611.0000000000042,-1612.000000000009,,-8966.000000000047
2021.05.26,-290.9999999999968,-154.0000000000097,-693.9999999999947,80.99999999999774,-592.0000000000036,-1475.000000000004,-658.9999999999918,63.99999999999739,-1266.999999999996,-181.0000000000116,-698.9999999999839,859.9999999999941,-1570.0000000000048,3.0000000000001137,-623.0000000000047,-1587.0000000000032,,-8784.000000000016
2021.05.26,-270.99999999999903,-243.99999999999977,-670.9999999999993,45.99999999999049,-572.0000000000058,-1429.0000000000025,-694.9999999999932,35.999999999991594,-1234.9999999999973,-336.9999999999891,-777.9999999999916,878.9999999999853,-1486.0000000000095,-81.00000000000307,-667.0000000000016,-1599.0000000000036,,-9104.00000000003
2021.05.26,-351.0000000000013,-333.0000000000055,-693.9999999999947,17.999999999984695,-572.0000000000058,-1471.0,-783.9999999999918,22.999999999995246,-1241.0000000000032,-409.9999999999966,-787.0000000000061,846.9999999999977,-1556.0000000000018,-105.99999999999454,-674.0000000000066,-1620.0000000000045,,-9711.000000000035
2021.05.26,-333.0000000000055,-300.99999999999574,-675.0000000000034,39.999999999995595,-590.0000000000016,-1517.0000000000016,-762.999999999991,57.99999999999139,-1282.0000000000055,-387.00000000000045,-743.9999999999998,808.9999999999931,-1754.9999999999955,-55.999999999997385,-667.0000000000016,-1670.0000000000018,,-9833.00000000002
2021.05.26,-317.9999999999961,-331.0000000000146,-619.9999999999983,58.000000000002494,-582.0000000000048,-1507.0000000000027,-722.999999999999,64.99999999999284,-1270.0000000000045,-405.00000000000114,-680.9999999999832,812.999999999997,-1751.999999999998,-45.000000000001705,-650.0000000000057,-1655.0000000000011,,-9603.000000000018
2021.05.26,-326.9999999999995,-344.99999999999534,-619.9999999999983,55.99999999998939,-575.0000000000033,-1517.0000000000016,-706.9999999999936,73.99999999999629,-1300.9999999999966,-394.00000000000546,-645.9999999999866,805.9999999999956,-1764.00000000001,-22.999999999996135,-625.0,-1648.0000000000105,,-9556.000000000016
2021.05.26,-226.00000000000398,-239.99999999999577,-575.0000000000144,136.00000000000279,-536.0000000000032,-1495.0000000000018,-610.99999999999,57.99999999999139,-1329.0000000000025,-307.9999999999927,-635.9999999999957,863.9999999999981,-1801.0000000000082,15.000000000000568,-602.0000000000039,-1645.0000000000102,,-8931.00000000003
2021.05.26,-182.00000000000438,-262.00000000000665,-516.0000000000053,210.99999999998343,-495.9999999999964,-1460.0000000000057,-554.9999999999926,52.99999999999194,-1356.0000000000016,-330.99999999998886,-588.9999999999986,824.0000000000025,-1807.000000000003,58.000000000006935,-563.0000000000024,-1621.0000000000093,,-8592.000000000031
2021.05.26,-156.99999999999602,-168.0000000000126,-520.9999999999936,249.99999999999466,-497.000000000003,-1522.0000000000011,-507.99999999999557,64.99999999999284,-1431.0000000000045,-237.99999999999955,-569.9999999999932,931.9999999999995,-1934.9999999999977,91.99999999999875,-559.0000000000117,-1664.0000000000014,,-8431.000000000024
2021.05.26,-121.99999999999989,-80.00000000001339,-483.0000000000112,441.0000000000025,-368.9999999999971,-1381.00000000001,-583.999999999989,114.99999999999844,-1305.9999999999961,-206.99999999999363,-676.9999999999925,1058.0000000000034,-1702.0000000000034,159.00000000000603,-449.0000000000123,-1549.0000000000066,,-7136.000000000014
2021.05.26,-234.99999999999633,7.999999999985796,-571.9999999999948,384.9999999999909,-294.00000000000534,-1345.0000000000073,-689.9999999999977,175.99999999999838,-1234.9999999999973,-132.000000000005,-700.9999999999934,1119.0000000000034,-1524.0000000000143,138.00000000000523,-417.0000000000016,-1545.0000000000018,,-6864.000000000032
2021.05.26,-272.00000000000557,-161.99999999999548,-615.00000000001,272.99999999998994,-344.99999999999534,-1367.000000000007,-685.0000000000023,145.9999999999906,-1202.000000000003,-246.00000000000932,-685.0000000000023,1053.9999999999993,-1436.000000000015,105.00000000000398,-402.000000000001,-1518.0000000000007,,-7357.000000000064
2021.05.26,-292.9999999999988,-178.99999999999582,-622.9999999999958,180.0000000000024,-385.000000000002,-1376.0000000000105,-718.9999999999941,134.99999999999625,-1173.9999999999973,-253.99999999999068,-700.9999999999934,967.9999999999911,-1442.00000000001,42.00000000000159,-428.0000000000115,-1520.0000000000102,,-7769.000000000019
2021.05.26,-150.00000000000568,90.99999999999665,-438.00000000000506,393.99999999998323,-202.9999999999976,-1288.0000000000002,-680.9999999999974,121.99999999999989,-1222.000000000001,-129.99999999999545,-635.9999999999957,964.9999999999936,-1546.000000000003,99.99999999999432,-350.9999999999991,-1524.000000000001,,-6497.000000000033
2021.05.26,-39.999999999995595,116.99999999998934,-324.9999999999975,395.99999999999636,-195.00000000000074,-1314.000000000004,-597.999999999999,69.9999999999923,-1285.9999999999982,-222.0000000000084,-605.9999999999945,839.9999999999964,-1726.0000000000052,45.000000000001705,-390.00000000000057,-1592.000000000013,,-6826.000000000041
2021.05.26,-56.99999999999594,102.99999999998644,-279.00000000000705,402.9999999999978,-219.00000000000253,-1308.000000000009,-605.9999999999945,80.99999999999774,-1271.9999999999955,-224.99999999999432,-563.999999999993,773.9999999999858,-1775.9999999999998,55.00000000000682,-405.00000000000114,-1585.000000000008,,-6880.0000000000255
2021.05.26,-41.9999999999976,156.99999999998494,-259.0000000000092,425.99999999999307,-207.99999999999707,-1294.0000000000064,-569.9999999999932,91.99999999999208,-1271.9999999999955,-132.000000000005,-512.0000000000005,814.999999999988,-1771.0000000000114,79.9999999999983,-390.00000000000057,-1566.0000000000025,,-6446.000000000064
2021.05.26,-55.000000000005045,174.99999999999181,-245.0000000000063,417.99999999998505,-226.00000000000398,-1300.0000000000011,-591.9999999999987,79.99999999999119,-1275.9999999999993,-129.99999999999545,-503.9999999999907,739.9999999999851,-1794.0000000000066,55.00000000000682,-410.0000000000108,-1568.000000000012,,-6632.00000000007
2021.05.26,2.000000000002,160.99999999998892,-153.00000000000313,414.9999999999876,-192.99999999999872,-1258.0000000000036,-567.9999999999978,23.999999999990695,-1280.9999999999989,-210.00000000000796,-463.99999999999864,676.9999999999943,-1829.0000000000139,25.99999999999625,-414.0000000000015,-1563.0000000000023,,-6628.000000000067
2021.05.26,51.000000000001044,168.99999999999693,-110.00000000001009,478.0000000000006,-182.99999999999983,-1242.0000000000098,-528.9999999999964,48.99999999999905,-1288.9999999999957,-229.00000000001342,-448.0000000000075,709.9999999999884,-1836.9999999999998,54.000000000002046,-422.00000000001125,-1563.0000000000023,,-6341.000000000058
2021.05.26,-14.000000000002899,150.00000000000568,-156.00000000000057,478.999999999985,-228.00000000000597,-1302.0000000000032,-586.9999999999891,73.99999999999629,-1300.9999999999966,-224.99999999999432,-467.9999999999893,760.9999999999894,-1899.0000000000061,72.00000000000273,-458.0000000000126,-1611.000000000004,,-6713.0000000000255
2021.05.26,-39.00000000000014,129.00000000000134,-185.99999999999727,468.9999999999861,-239.0000000000003,-1301.0000000000077,-611.9999999999948,104.99999999999955,-1278.9999999999968,-231.99999999999932,-493.9999999999998,783.9999999999848,-1912.0000000000025,67.00000000000728,-453.00000000000296,-1603.0000000000086,,-6796.000000000031
2021.05.26,-41.000000000002146,141.99999999999767,-184.00000000000637,480.99999999999807,-216.0000000000051,-1331.0000000000043,-643.9999999999912,113.99999999999189,-1299.0000000000057,-253.99999999999068,-521.9999999999914,790.9999999999861,-1953.0000000000048,58.9999999999975,-449.0000000000123,-1650.0000000000057,,-6956.000000000049
2021.05.26,-61.999999999995396,170.99999999998784,-195.9999999999962,516.9999999999897,-197.99999999999818,-1310.0,-658.9999999999918,154.99999999999403,-1278.9999999999968,-222.0000000000084,-520.0000000000102,824.0000000000025,-1922.0000000000016,84.00000000000318,-430.0000000000068,-1631.0000000000002,,-6678.000000000029
2021.05.26,-53.999999999998494,187.99999999998818,-165.00000000001512,558.9999999999984,-185.00000000000182,-1272.0000000000064,-655.9999999999917,141.99999999999767,-1244.9999999999961,-193.00000000001205,-484.9999999999852,893.9999999999948,-1812.0000000000136,134.00000000000034,-409.000000000006,-1583.0000000000127,,-6142.000000000061
2021.05.27,-112.99999999999643,215.99999999999397,-151.9999999999966,490.999999999997,-180.99999999999784,-1238.0000000000057,-561.9999999999976,144.99999999999514,-1222.000000000001,-134.00000000001455,-466.0000000000082,734.9999999999968,-1956.0000000000023,135.00000000000512,-408.00000000000125,-1534.000000000006,,-6244.000000000038
2021.05.27,-46.999999999997044,204.00000000000418,-171.00000000001003,506.9999999999908,-185.00000000000182,-1207.0000000000025,-554.000000000002,121.99999999999989,-1234.0000000000018,-151.00000000001046,-472.99999999998477,775.9999999999989,-1890.9999999999982,137.00000000000045,-407.0000000000107,-1510.000000000005,,-6084.000000000031
2021.05.27,-34.99999999999615,160.00000000000458,-192.99999999999872,548.9999999999995,-202.9999999999976,-1216.000000000006,-594.9999999999989,156.00000000000057,-1219.0000000000034,-228.00000000000864,-512.0000000000005,878.9999999999853,-1758.9999999999995,123.99999999999523,-433.00000000000693,-1524.000000000001,,-6049.000000000033
2021.05.27,-17.000000000000348,194.0000000000053,-191.00000000000784,560.9999999999893,-192.00000000000327,-1187.0000000000048,-583.999999999989,156.99999999999602,-1200.9999999999966,-182.99999999999272,-502.00000000000955,920.9999999999941,-1601.000000000008,137.00000000000045,-416.000000000011,-1490.000000000009,,-5594.000000000047
2021.05.27,-6.0000000000060005,208.99999999999253,-168.0000000000126,613.9999999999812,-165.9999999999995,-1186.0000000000093,-600.9999999999991,181.9999999999933,-1197.999999999999,-188.99999999999295,-516.9999999999959,956.0000000000013,-1636.0000000000152,162.00000000000614,-395.00000000001023,-1493.000000000009,,-5432.000000000075
2021.05.27,-2.999999999997449,218.99999999999142,-161.00000000001114,613.9999999999812,-163.99999999999747,-1189.0000000000068,-605.9999999999945,185.99999999999727,-1200.9999999999966,-197.00000000000273,-514.9999999999864,963.999999999987,-1624.0000000000032,162.00000000000614,-407.0000000000107,-1495.0000000000045,,-5417.000000000049
