date,USDCAD,NZDUSD,GBPCHF,AUDCHF,EURGBP,EURJPY,EURNZD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.10.14,268.9999999999859,258.0000000000027,-668.0000000000019,-107.99999999999699,-561.0000000000003,-46.999999999997044,956.0000000000013,-80.99999999999774,195.00000000000074,414.00000000000324,,626.9999999999998
2019.10.14,281.99999999998226,269.00000000000813,-558.9999999999984,-107.99999999999699,-475.0000000000032,-33.00000000000125,963.0000000000027,-65.00000000000395,206.00000000000617,411.0000000000058,,891.0000000000013
2019.10.14,283.99999999999534,257.0000000000072,-523.0000000000068,-110.99999999999443,-480.99999999999807,-37.9999999999967,964.0000000000093,-70.0000000000034,177.00000000000495,402.0000000000135,,861.0000000000308
2019.10.14,285.99999999998624,295.0000000000008,-557.9999999999918,-100.99999999999554,-543.0000000000045,-30.000000000001137,1025.0000000000093,-51.000000000001044,218.00000000000708,407.0000000000018,,948.0000000000111
2019.10.14,323.99999999999096,303.0000000000088,-619.9999999999983,-80.00000000000229,-592.0000000000036,-21.000000000000796,1018.0000000000077,-60.00000000000449,218.00000000000708,416.00000000001637,,906.0000000000215
2019.10.14,322.9999999999844,304.9999999999997,-628.9999999999907,-65.99999999999939,-595.0000000000011,-19.99999999999602,1001.0000000000074,-85.99999999999719,231.0000000000034,436.9999999999985,,901.000000000009
2019.10.14,313.99999999999204,280.00000000000244,-588.0000000000107,-104.99999999999955,-562.0000000000069,-31.999999999996476,904.0000000000159,-107.00000000000153,181.00000000000892,414.00000000000324,,699.0000000000075
2019.10.15,166.99999999998383,294.00000000000534,-259.0000000000092,-154.99999999999403,-238.0000000000049,-67.99999999999784,825.0000000000091,-58.99999999999794,207.00000000000162,371.00000000001023,,1085.0000000000061
2019.10.15,232.99999999999432,261.0000000000001,-15.999999999993797,-132.99999999999423,-80.00000000000229,-27.999999999991587,828.0000000000065,-53.999999999998494,218.00000000000708,391.000000000008,,1620.0000000000357
2019.10.15,267.99999999997937,241.00000000000233,-56.000000000011596,-83.9999999999952,-172.00000000000549,-43.99999999999693,824.0000000000025,-85.99999999999719,172.00000000000549,398.00000000000944,,1460.9999999999927
2019.10.15,278.00000000000045,218.00000000000708,-167.00000000000603,-65.99999999999939,-246.99999999999721,-27.000000000001023,779.0000000000185,-88.99999999999464,143.9999999999997,361.0000000000113,,1184.0000000000387
2019.10.15,283.99999999999534,229.00000000000142,-146.00000000000168,-56.99999999999594,-250.00000000000577,-33.00000000000125,833.000000000017,-73.99999999999629,152.00000000000767,344.00000000001097,,1282.0000000000316
2019.10.15,246.99999999999721,215.00000000000963,-96.99999999999153,-63.00000000000195,-223.00000000000654,-102.99999999999443,778.000000000012,-73.00000000000084,145.00000000000622,322.00000000000006,,1148.00000000003
2019.10.15,247.99999999998158,232.00000000000998,-131.99999999999878,-129.9999999999968,-219.00000000000253,-22.999999999996135,819.9999999999985,-7.0000000000014495,181.00000000000892,323.0000000000066,,1293.00000000001
2019.10.15,231.99999999998778,230.000000000008,-174.99999999999181,-178.99999999999582,-234.00000000000088,-30.000000000001137,821.000000000005,-7.0000000000014495,182.99999999999983,306.00000000000625,,1147.000000000016
2019.10.15,210.99999999998343,135.00000000000733,-163.00000000000205,-95.99999999999609,-219.99999999999798,-37.9999999999967,575.9999999999987,-155.00000000000514,75.00000000000284,321.0000000000157,,646.0000000000101
2019.10.15,209.9999999999991,123.00000000000644,-140.0000000000068,-19.999999999997797,-218.00000000000708,-126.99999999999534,592.9999999999991,-165.9999999999995,59.000000000009045,369.0000000000193,,683.0000000000265
2019.10.15,218.99999999999142,132.0000000000099,-121.99999999999989,-14.999999999998348,-206.00000000000617,-36.99999999999193,600.0000000000006,-139.00000000000023,70.0000000000034,334.00000000001205,,836.0000000000208
2019.10.15,266.999999999995,170.00000000000347,-171.99999999999437,-92.00000000000318,-224.000000000002,20.000000000010232,675.0000000000034,-116.00000000000499,92.00000000000318,309.0000000000037,,929.0000000000143
2019.10.15,299.99999999998914,178.00000000000037,-163.00000000000205,-153.00000000000313,-214.00000000000307,7.000000000005002,716.0000000000056,-87.00000000000374,82.00000000000429,280.9999999999979,,946.9999999999902
2019.10.15,300.99999999999574,206.00000000000617,-161.99999999999548,-139.00000000000023,-219.99999999999798,-9.999999999990905,813.0000000000192,-65.99999999999939,110.00000000001009,299.00000000000483,,1132.000000000052
2019.10.15,262.999999999991,226.99999999999943,-157.00000000000713,-141.99999999999767,-223.00000000000654,-51.9999999999925,868.000000000002,-58.000000000002494,148.0000000000037,334.00000000001205,,1208.0000000000018
2019.10.15,274.9999999999808,251.00000000000122,-106.99999999999044,-141.00000000000225,-169.00000000000804,-15.999999999991132,939.0000000000009,-31.999999999998696,185.00000000000182,369.0000000000193,,1554.0000000000134
2019.10.15,280.9999999999979,267.00000000000614,-32.999999999994145,-153.99999999999858,-104.00000000000409,9.000000000000341,958.0000000000144,-21.999999999999797,209.9999999999991,373.00000000000114,,1785.0000000000225
2019.10.15,265.99999999998846,282.99999999999994,-32.0000000000098,-158.99999999999804,-133.00000000000534,-19.99999999999602,1021.0000000000052,-10.999999999994348,223.00000000000654,400.00000000000034,,1837.9999999999973
2019.10.15,256.99999999999613,243.99999999999977,-205.00000000001074,-144.99999999999514,-261.0000000000001,-45.000000000001705,971.0000000000107,-70.99999999999883,163.00000000000205,383.0,,1291.000000000002
2019.10.15,229.99999999999687,282.99999999999994,299.00000000000483,-158.0000000000026,-24.999999999997247,-213.99999999999864,1147.000000000009,-34.99999999999615,239.0000000000003,429.00000000001273,,2195.000000000029
2019.10.15,245.99999999999068,289.0000000000059,292.00000000000335,-75.9999999999983,0.0,-149.0000000000009,943.000000000005,-22.999999999995246,257.0000000000072,431.0000000000036,,2210.0000000000214
2019.10.15,245.99999999999068,358.0000000000028,503.000000000009,-41.9999999999976,85.99999999999719,21.000000000000796,1094.0000000000173,-19.999999999997797,337.0000000000095,500.00000000001154,,3083.000000000043
2019.10.15,204.99999999998852,390.0000000000015,455.0000000000054,-78.00000000000028,54.999999999993946,-54.000000000002046,1280.0000000000146,92.99999999999864,406.00000000000637,506.0000000000064,,3258.000000000013
