date,EURUSD,GBPCHF,EURCHF,GBPCAD,AUDCAD,empty,sum
2019.07.16,411.0000000000058,722.0000000000005,-44.0000000000218,1517.999999999997,-260.00000000000466,,2346.9999999999773
2019.07.16,481.0000000000203,649.0000000000107,-75.00000000000284,1519.0000000000036,-248.99999999999923,,2325.0000000000327
2019.07.16,443.0000000000156,665.0000000000044,-75.00000000000284,1252.999999999993,-278.00000000000045,,2008.0000000000095
2019.07.16,479.0000000000072,641.0000000000027,-17.000000000000348,1187.999999999989,-297.9999999999983,,1993.0000000000005
2019.07.16,455.0000000000054,635.0000000000077,-35.00000000000725,1173.0000000000018,-368.00000000000165,,1860.0000000000061
2019.07.16,543.0000000000045,639.0000000000118,-51.000000000001044,1095.0000000000016,-392.9999999999989,,1833.000000000018
2019.07.16,541.0000000000136,675.0000000000034,-5.000000000010552,1076.9999999999945,-380.00000000000256,,1907.9999999999984
2019.07.16,565.9999999999999,713.0000000000081,24.999999999986144,1149.0,-355.0000000000053,,2097.9999999999886
2019.07.16,565.0000000000155,709.0000000000041,23.999999999979593,1177.9999999999902,-317.0000000000006,,2158.9999999999886
2019.07.16,531.0000000000148,807.0000000000022,77.99999999997809,1106.000000000007,-363.0000000000022,,2158.9999999999995
2019.07.16,547.0000000000086,784.0000000000069,81.9999999999821,1045.000000000007,-378.00000000000057,,2080.000000000004
2019.07.16,547.0000000000086,795.0000000000124,81.9999999999821,967.0000000000067,-392.9999999999989,,1998.0000000000107
2019.07.17,535.0000000000188,781.0000000000094,87.99999999999919,974.9999999999925,-387.000000000004,,1992.000000000016
2019.07.17,530.0000000000082,768.0000000000131,62.99999999999084,994.000000000006,-389.000000000006,,1966.0000000000123
2019.07.17,528.0000000000174,760.0000000000051,47.99999999998139,983.0000000000006,-404.0000000000044,,1915.0000000000002
2019.07.17,533.0000000000057,773.0000000000015,54.99999999998284,992.9999999999994,-392.00000000000347,,1961.9999999999861
2019.07.17,540.0000000000072,758.0000000000142,55.99999999998939,954.9999999999948,-419.9999999999982,,1889.0000000000073
2019.07.17,525.0000000000199,764.9999999999934,46.999999999997044,944.9999999999958,-456.00000000000085,,1826.000000000005
2019.07.17,533.0000000000057,747.9999999999931,33.99999999997849,981.999999999994,-473.0000000000012,,1823.9999999999698
2019.07.17,538.0000000000163,746.0000000000023,33.99999999997849,936.9999999999878,-504.9999999999999,,1749.999999999985
2019.07.17,504.0000000000156,778.000000000012,49.99999999999449,943.9999999999893,-497.000000000003,,1779.0000000000089
2019.07.17,517.0000000000119,791.9999999999927,94.99999999997843,985.999999999998,-461.0000000000003,,1928.9999999999807
2019.07.17,513.0000000000078,795.9999999999967,90.99999999999665,1004.0000000000049,-446.9999999999974,,1957.0000000000086
2019.07.17,528.0000000000174,787.0000000000043,85.99999999998609,1032.999999999995,-341.99999999999784,,2092.000000000005
2019.07.17,506.0000000000064,797.0000000000033,101.99999999997988,1019.9999999999986,-273.9999999999965,,2150.999999999992
2019.07.17,512.0000000000014,804.0000000000047,110.99999999999443,1018.9999999999922,-290.9999999999968,,2154.999999999996
2019.07.17,502.00000000000244,791.9999999999927,87.99999999999919,1051.0000000000018,-316.0000000000052,,2116.9999999999914
2019.07.17,497.0000000000141,768.9999999999975,94.99999999997843,1024.999999999987,-317.0000000000006,,2068.999999999977
2019.07.17,481.0000000000203,768.9999999999975,83.9999999999952,1079.0000000000077,-277.000000000005,,2136.000000000016
2019.07.17,491.0000000000192,758.0000000000142,66.99999999999484,1085.999999999987,-270.99999999999903,,2131.0000000000164
2019.07.17,496.00000000000756,756.0000000000011,61.99999999998429,1112.9999999999861,-256.99999999999613,,2169.9999999999827
2019.07.17,557.0000000000075,822.0000000000116,39.999999999995595,1227.0000000000002,-248.00000000000378,,2398.0000000000114
2019.07.17,531.0000000000148,853.9999999999992,28.999999999990145,1320.9999999999943,-251.00000000000122,,2483.9999999999973
2019.07.17,526.0000000000042,751.0000000000127,9.999999999998899,1295.0000000000018,-263.99999999999756,,2318.0000000000196
2019.07.17,508.00000000001955,639.9999999999961,-54.0000000000207,1190.9999999999866,-209.00000000000364,,2075.999999999978
2019.07.17,520.0000000000093,639.0000000000118,-136.00000000000279,1367.9999999999914,-173.9999999999964,,2217.0000000000136
2019.07.17,498.00000000002063,619.000000000014,-165.00000000001512,1339.0000000000014,-170.99999999999892,,2120.000000000022
2019.07.17,455.0000000000054,604.0000000000045,-192.00000000001438,1388.999999999996,-168.99999999999693,,2086.999999999995
2019.07.17,470.00000000001484,587.0000000000042,-251.00000000000122,1469.9999999999936,-177.00000000000495,,2099.0000000000064
2019.07.17,463.0000000000134,536.0000000000032,-278.00000000000045,1329.9999999999868,-207.00000000000162,,1844.0000000000011
2019.07.17,434.000000000001,534.0000000000123,-253.00000000001432,1286.9999999999936,-204.99999999999963,,1796.9999999999932
2019.07.17,447.0000000000196,565.9999999999999,-215.00000000000963,1253.9999999999995,-173.9999999999964,,1878.0000000000132
2019.07.17,470.9999999999992,547.0000000000086,-143.00000000000423,1133.0000000000061,-170.99999999999892,,1837.000000000011
2019.07.17,470.00000000001484,583.0000000000002,-111.00000000001664,1042.9999999999939,-228.00000000000597,,1756.9999999999864
2019.07.17,475.0000000000032,590.0000000000016,-124.00000000001299,1211.0000000000066,-116.00000000000499,,2035.9999999999932
2019.07.17,445.0000000000065,503.99999999999335,-163.00000000000205,1004.0000000000049,-114.99999999999844,,1675.0000000000043
2019.07.17,440.00000000001813,490.0000000000126,-169.00000000001913,923.0000000000072,-184.00000000000637,,1500.0000000000123
2019.07.17,386.00000000001967,507.9999999999973,-75.00000000000284,851.0000000000017,-189.00000000000583,,1481.00000000001
2019.07.17,347.0000000000084,558.0000000000141,-88.0000000000214,1038.99999999999,-153.00000000000313,,1702.999999999988
2019.07.17,326.0000000000041,608.0000000000085,-45.000000000006146,1153.000000000004,-212.00000000000108,,1830.0000000000093
2019.07.17,318.00000000001825,476.0000000000098,-33.00000000001635,1024.0000000000027,-212.99999999999653,,1572.0000000000177
2019.07.17,357.00000000000733,417.0000000000007,-41.000000000002146,1004.0000000000049,-219.99999999999798,,1517.0000000000127
2019.07.17,397.0000000000029,429.99999999999704,-46.0000000000127,1005.9999999999958,-239.0000000000003,,1547.999999999983
2019.07.17,378.00000000001165,514.9999999999987,-10.000000000021103,1028.9999999999911,-226.99999999999943,,1684.999999999981
2019.07.17,344.00000000001097,583.0000000000002,-7.0000000000014495,1032.999999999995,-224.000000000002,,1729.0000000000025
2019.07.17,376.00000000002075,588.9999999999951,-1.0000000000065512,1051.0000000000018,-185.00000000000182,,1830.0000000000093
2019.07.17,417.0000000000007,608.9999999999928,34.99999999998504,1130.9999999999932,-146.00000000000168,,2045.9999999999702
2019.07.17,397.0000000000029,670.9999999999993,34.99999999998504,1112.9999999999861,-129.9999999999968,,2085.999999999977
2019.07.17,404.0000000000044,632.0000000000103,15.999999999993797,1085.0000000000027,-139.00000000000023,,1998.0000000000111
2019.07.17,403.00000000002,612.9999999999969,-14.000000000002899,1058.9999999999877,-146.00000000000168,,1915.0000000000002
2019.07.18,368.00000000001273,588.9999999999951,-6.000000000017103,1079.0000000000077,-119.00000000000244,,1910.9999999999961
2019.07.18,375.0000000000142,676.9999999999943,18.999999999991246,1133.0000000000061,-133.00000000000534,,2071.000000000001
2019.07.18,356.00000000000074,649.999999999995,4.999999999988347,1093.999999999995,-143.9999999999997,,1960.9999999999793
2019.07.18,368.00000000001273,646.9999999999976,-8.000000000008,1090.9999999999975,-129.9999999999968,,1968.0000000000032
2019.07.18,367.0000000000062,642.9999999999936,-4.000000000004,1093.999999999995,-175.99999999999838,,1923.9999999999925
2019.07.18,368.00000000001273,676.9999999999943,5.999999999994898,1066.9999999999957,-175.00000000000293,,1942.9999999999948
2019.07.18,370.00000000000364,668.0000000000019,10.999999999983245,1048.9999999999889,-156.00000000000057,,1941.9999999999768
2019.07.18,268.0000000000016,737.0000000000099,42.999999999993044,1041.000000000003,-187.9999999999993,,1901.000000000008
2019.07.18,247.00000000001944,836.9999999999989,77.99999999997809,1062.9999999999918,-178.00000000000037,,2046.9999999999877
2019.07.18,272.00000000000557,804.0000000000047,66.99999999999484,1048.0000000000045,-326.0000000000041,,1865.0000000000055
2019.07.18,296.0000000000074,836.9999999999989,126.99999999998823,1034.999999999986,-290.9999999999968,,2003.9999999999836
2019.07.18,262.00000000000665,781.9999999999939,74.99999999998064,1049.9999999999955,-341.99999999999784,,1826.9999999999786
2019.07.18,239.00000000001143,805.0000000000113,65.99999999998829,1056.9999999999968,-385.000000000002,,1782.0000000000057
2019.07.18,242.00000000000887,822.0000000000116,69.9999999999923,1112.0000000000018,-363.99999999999767,,1882.0000000000168
2019.07.18,253.99999999999866,812.0000000000127,62.99999999999084,1075.9999999999882,-372.0000000000057,,1832.9999999999848
2019.07.18,257.0000000000183,828.0000000000065,70.99999999999883,1028.9999999999911,-368.00000000000165,,1817.000000000013
2019.07.18,274.00000000001864,827.0,89.99999999999008,1028.0000000000066,-419.00000000000273,,1800.0000000000127
2019.07.18,245.0000000000063,822.9999999999959,81.9999999999821,997.0000000000034,-458.00000000000284,,1688.999999999985
