date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.02.23,13.999999999991797,-678.0000000000008,507.9999999999973,354.99999999998977,-119.00000000000244,-534.9999999999966,-439.99999999999596,-390.0000000000015,200.00000000000284,-106.00000000000608,-341.99999999999784,43.999999999999595,-197.00000000000273,-834.0000000000014,-228.00000000000597,-171.99999999999704,577.9999999999897,-144.0000000000108,133.00000000000978,-138.00000000000523,-606.0000000000065,-497.99999999999847,,-3595.0000000000496
2021.02.23,51.99999999999649,-744.9999999999957,556.9999999999853,368.9999999999998,-258.0000000000027,-658.0000000000031,-475.0000000000032,-406.00000000001745,180.99999999999739,-153.99999999999858,-356.9999999999962,34.000000000000696,-235.00000000001364,-725.0000000000201,-414.00000000000324,-218.00000000000352,488.9999999999839,-195.00000000001182,63.00000000000239,-191.0000000000025,-644.0000000000001,-431.99999999999903,,-4362.000000000105
2021.02.23,81.9999999999932,-730.0000000000084,583.9999999999845,402.9999999999916,-257.0000000000183,-641.0000000000027,-419.00000000000273,-392.9999999999989,177.0000000000067,-145.00000000000622,-295.99999999999625,34.99999999999615,-212.99999999999386,-643.0000000000158,-388.9999999999949,-207.9999999999984,489.99999999999045,-259.0000000000092,67.99999999999784,-128.0000000000001,-619.9999999999983,-334.00000000000097,,-3836.0000000000846
2021.02.23,59.99999999999339,-740.0000000000073,557.9999999999918,367.999999999995,-259.0000000000092,-590.999999999997,-390.0000000000015,-392.00000000001455,168.00000000000637,-151.00000000000114,-276.9999999999939,34.99999999999615,-239.00000000000432,-631.0000000000038,-263.99999999999756,-195.99999999999795,469.99999999999267,-370.00000000000364,57.00000000000216,-87.0000000000033,-553.999999999999,-289.0000000000059,,-3714.0000000000623
2021.02.23,44.99999999999504,-679.0000000000074,515.9999999999832,341.99999999999875,-206.00000000001728,-480.99999999999807,-329.999999999997,-365.99999999999966,162.00000000000614,-139.00000000000023,-241.99999999999778,41.9999999999976,-221.00000000000364,-649.0000000000107,-120.99999999999334,-188.0000000000024,462.9999999999912,-390.0000000000015,64.99999999999773,-70.99999999999795,-477.0000000000052,-264.0000000000087,,-3189.00000000007
2021.02.23,19.999999999997797,-642.0000000000092,522.9999999999845,340.999999999994,-161.00000000001114,-460.00000000000483,-329.999999999997,-397.0000000000029,177.0000000000067,-136.99999999999824,-257.9999999999916,46.00000000000159,-216.00000000000819,-649.0000000000107,-92.00000000000318,-192.00000000000728,488.9999999999839,-324.9999999999975,79.00000000000773,-72.00000000000273,-470.9999999999992,-282.99999999999994,,-3010.0000000000673
2021.02.23,24.999999999997247,-660.0000000000161,529.999999999986,322.9999999999933,-174.00000000000747,-485.99999999999756,-336.9999999999984,-398.00000000000944,177.0000000000067,-153.99999999999858,-280.9999999999979,36.0000000000027,-265.99999999999113,-638.0000000000052,-116.00000000000499,-218.9999999999941,481.99999999998244,-297.0000000000139,52.00000000000671,-108.00000000000409,-480.99999999999807,-284.0000000000065,,-3274.000000000068
2021.02.23,31.999999999998696,-734.0000000000124,542.9999999999824,324.99999999998863,-249.00000000001032,-541.9999999999981,-375.0000000000031,-408.00000000000836,167.0000000000016,-182.99999999999983,-298.9999999999937,12.999999999996348,-307.9999999999927,-635.0000000000077,-168.99999999999693,-236.0000000000042,437.99999999998283,-256.00000000001177,25.000000000005684,-132.99999999999557,-507.0000000000019,-282.0000000000045,,-3773.0000000000846
2021.02.23,24.000000000001798,-751.0000000000127,575.9999999999987,341.99999999999875,-257.0000000000183,-539.0000000000006,-378.999999999996,-438.00000000000506,186.9999999999976,-202.0000000000022,-301.9999999999912,12.999999999996348,-324.0000000000123,-631.0000000000038,-141.99999999999767,-236.0000000000042,434.9999999999854,-365.99999999999966,16.000000000005343,-123.00000000000466,-484.00000000000665,-265.99999999999955,,-3847.0000000000705
2021.02.23,19.999999999997797,-748.9999999999997,560.9999999999893,320.99999999999795,-248.00000000000378,-529.9999999999972,-315.9999999999941,-435.0000000000076,171.00000000000648,-201.00000000000674,-257.9999999999916,4.999999999999449,-354.0000000000134,-645.0000000000067,-117.99999999999588,-250.0,426.9999999999996,-377.0000000000051,4.0000000000048885,-81.00000000000307,-478.9999999999961,-194.0000000000053,,-3726.000000000031
2021.02.23,-14.000000000002899,-731.9999999999993,495.99999999998533,257.99999999999557,-236.00000000001398,-519.9999999999983,-300.0000000000003,-419.0000000000138,121.99999999999989,-189.00000000000583,-244.99999999999523,10.999999999994348,-364.0000000000043,-637.0000000000209,-178.99999999999582,-287.00000000000614,423.99999999997993,-449.0000000000105,-16.999999999995907,-94.99999999999886,-477.0000000000052,-204.00000000000418,,-4053.0000000001164
2021.02.23,3.999999999992898,-594.0000000000057,522.9999999999845,272.99999999999613,-179.00000000001802,-485.99999999999756,-283.99999999999534,-435.0000000000076,131.00000000000023,-177.00000000000495,-245.99999999999068,71.99999999999429,-268.0000000000007,-547.0000000000086,-256.00000000001177,-305.9999999999974,459.99999999999375,-441.0000000000025,5.000000000009663,-87.0000000000033,-495.000000000001,-214.99999999999852,,-3548.0000000000723
2021.02.23,-12.000000000000899,-643.0000000000158,549.9999999999839,182.99999999999272,-197.00000000000273,-490.00000000000153,-283.99999999999534,-456.00000000001194,43.00000000000637,-173.00000000000094,-222.99999999999542,81.9999999999932,-384.00000000001455,-600.0000000000006,-232.99999999999432,-416.9999999999874,507.9999999999973,-567.0000000000064,-55.999999999997385,-117.999999999995,-480.99999999999807,-201.00000000000674,,-4169.000000000052
2021.02.23,-31.000000000003247,-771.0000000000106,564.9999999999933,192.99999999999784,-233.00000000001654,-546.000000000002,-368.9999999999971,-497.99999999999847,40.00000000000625,-209.00000000000364,-300.0000000000003,-17.000000000000348,-515.9999999999911,-760.0000000000051,-129.00000000000134,-420.0000000000017,509.99999999998823,-480.00000000001376,-49.99999999999716,-185.99999999999284,-512.0000000000014,-275.99999999999847,,-4995.000000000049
2021.02.23,-295.0000000000008,-890.9999999999974,457.9999999999807,189.99999999999773,-226.00000000001506,-487.99999999999955,-336.00000000000296,-729.0000000000018,105.00000000000398,-335.0000000000075,-432.9999999999945,-99.00000000000463,-605.9999999999945,-964.0000000000093,42.999999999993044,-385.0000000000051,453.99999999999886,-433.0000000000167,-63.99999999999295,-156.99999999999648,-512.9999999999968,-291.0000000000079,,-5995.00000000007
2021.02.23,-323.0000000000066,-787.0000000000043,408.9999999999927,119.99999999999034,-58.000000000002494,-456.00000000000085,-339.99999999999585,-766.0,387.00000000000045,-348.9999999999993,-517.9999999999962,-100.00000000000009,-610.0000000000136,-988.0000000000111,36.999999999998145,-341.99999999999875,513.9999999999923,-405.0000000000109,3.0000000000001137,-224.00000000000375,-536.9999999999986,-368.00000000000165,,-5701.000000000071
2021.02.23,-418.0000000000073,-788.9999999999952,362.99999999998,58.9999999999975,-62.000000000006494,-455.0000000000054,-347.9999999999928,-819.9999999999985,414.0000000000015,-401.00000000000693,-570.9999999999993,-114.00000000000298,-602.0000000000039,-959.0000000000209,86.0000000000083,-391.9999999999959,477.99999999997846,-153.00000000000313,-36.000000000001364,-271.0000000000008,-539.0000000000006,-397.0000000000029,,-5927.000000000079
2021.02.23,-519.0000000000028,-846.9999999999977,320.9999999999935,64.99999999999773,-29.00000000001235,-370.00000000000364,-368.00000000000165,-896.000000000008,415.00000000000625,-480.0000000000027,-661.9999999999959,-206.00000000000617,-753.0000000000143,-1155.000000000017,96.99999999999153,-390.00000000000057,453.99999999999886,-157.00000000000713,-33.00000000000125,-307.00000000000216,-470.9999999999992,-431.99999999999903,,-6723.000000000083
2021.02.23,-460.00000000000483,-822.0000000000116,329.99999999998585,84.99999999999375,7.999999999985796,-321.0000000000046,-353.0000000000033,-838.0000000000055,423.0000000000018,-428.00000000000614,-622.9999999999958,-190.00000000000128,-742.999999999995,-1127.0000000000114,401.99999999999125,-320.99999999999795,495.99999999998533,-153.00000000000313,-1.9999999999953388,-263.9999999999958,-426.00000000000415,-431.0000000000036,,-5758.0000000000955
2021.02.23,-480.0000000000027,-815.0000000000101,304.9999999999997,111.99999999999477,40.99999999997994,-300.99999999999574,-358.9999999999982,-833.000000000017,503.0000000000001,-429.0000000000016,-651.999999999997,-191.00000000000784,-709.0000000000032,-1176.0000000000214,431.0000000000036,-292.0000000000016,503.99999999999335,-201.00000000000674,34.000000000006025,-275.99999999999625,-446.9999999999974,-468.00000000000176,,-5699.00000000008
2021.02.23,-514.0000000000033,-761.999999999996,303.9999999999932,63.00000000000239,60.99999999999994,-297.9999999999983,-351.0000000000013,-852.0000000000083,478.00000000000864,-426.00000000000415,-649.999999999995,-182.00000000000438,-712.9999999999939,-1170.0000000000043,400.00000000000034,-343.0000000000035,516.9999999999897,-80.99999999999774,7.000000000005002,-299.99999999999716,-445.0000000000065,-470.00000000000375,,-5727.00000000002
2021.02.23,-470.9999999999992,-870.0000000000152,343.99999999998875,74.99999999998863,0.9999999999843467,-358.0000000000028,-425.99999999999307,-838.0000000000055,513.0000000000052,-414.9999999999987,-702.9999999999981,-197.99999999999818,-766.9999999999959,-1194.0000000000061,350.00000000000585,-335.9999999999985,499.9999999999893,20.999999999982144,-6.999999999990791,-355.000000000004,-497.99999999999847,-548.0000000000041,,-6180.0000000000655
2021.02.23,-431.0000000000036,-862.0000000000072,381.99999999999346,120.99999999999511,-28.000000000005798,-395.0000000000009,-483.0000000000001,-831.000000000004,519.0000000000055,-414.00000000000324,-718.9999999999918,-168.00000000000148,-717.9999999999893,-1171.000000000011,258.99999999998704,-317.99999999999784,479.99999999999153,131.99999999999878,8.000000000009777,-391.00000000000534,-517.9999999999962,-602.0000000000025,,-6148.000000000039
2021.02.23,-522.0000000000002,-811.0000000000061,222.99999999999542,22.999999999996135,-30.0000000000189,-392.00000000000347,-458.9999999999983,-825.0000000000091,500.0,-477.0000000000052,-737.9999999999942,-197.00000000000273,-731.9999999999993,-1030.0000000000198,232.99999999999432,-322.00000000000273,342.9999999999822,158.99999999999804,-52.99999999999727,-388.9999999999958,-489.0000000000061,-548.0000000000041,,-6533.000000000096
2021.02.23,-553.999999999999,-722.0000000000005,271.99999999998334,-23.000000000010346,-28.000000000005798,-343.00000000000443,-410.9999999999947,-886.000000000009,474.00000000000375,-508.00000000000847,-742.9999999999936,-179.00000000000693,-734.0000000000089,-989.0000000000176,160.99999999998892,-391.9999999999959,357.99999999999164,130.99999999999224,-106.99999999999932,-417.0000000000016,-462.0000000000068,-511.0000000000059,,-6613.000000000107
2021.02.23,-514.0000000000033,-687.0000000000153,269.9999999999925,-53.00000000001148,-16.000000000016,-319.99999999999807,-397.0000000000029,-844.0000000000003,406.0000000000059,-468.00000000000176,-706.999999999991,-111.00000000000554,-769.0000000000055,-941.0000000000141,153.9999999999875,-452.0000000000124,402.9999999999978,32.999999999994145,-108.99999999999466,-415.9999999999968,-445.0000000000065,-484.00000000000665,,-6467.000000000104
