date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,empty,sum
2019.02.19,-397.0000000000029,-1703.00000000001,-539.0000000000006,180.99999999999739,-438.00000000000506,-376.99999999999403,-1218.000000000008,14.999999999998348,-719.9999999999984,-2211.999999999989,-1673.9999999999977,,-9082.00000000001
2019.02.19,-405.9999999999952,-1697.9999999999995,-523.9999999999911,179.00000000000205,-445.0000000000065,-390.99999999999693,-1177.000000000006,19.00000000000235,-676.9999999999943,-2150.0000000000055,-1671.0000000000002,,-8940.99999999999
2019.02.19,-385.99999999999744,-1654.0,-513.0000000000078,155.9999999999917,-434.000000000001,-365.0000000000042,-1174.0000000000084,2.000000000002,-661.9999999999959,-2105.9999999999945,-1621.0000000000057,,-8757.000000000022
2019.02.19,-367.99999999999056,-1635.0000000000086,-506.0000000000064,114.00000000000432,-405.9999999999952,-341.0000000000024,-1144.0000000000116,24.999999999997247,-642.9999999999936,-2043.9999999999827,-1654.0,,-8601.999999999989
2019.02.19,-370.999999999988,-1628.0000000000073,-493.0000000000101,121.99999999999989,-397.0000000000029,-334.9999999999964,-1157.000000000008,31.999999999998696,-656.9999999999965,-2021.9999999999914,-1607.9999999999873,,-8513.999999999989
2019.02.20,-436.9999999999985,-1617.0000000000018,-517.9999999999962,88.99999999999864,-401.00000000000693,-326.0000000000041,-1164.0000000000095,-2.999999999997449,-685.9999999999977,-1998.9999999999952,-1601.000000000008,,-8663.000000000016
2019.02.20,-364.9999999999931,-1598.0000000000105,-472.9999999999901,126.99999999999534,-383.0,-322.00000000000006,-1156.0000000000014,17.000000000000348,-675.0000000000034,-1971.0000000000036,-1591.9999999999934,,-8391.0
2019.02.20,-390.0000000000015,-1601.000000000008,-482.999999999989,123.00000000000466,-388.9999999999949,-336.00000000000296,-1163.000000000003,19.00000000000235,-646.0000000000022,-1978.999999999985,-1602.9999999999989,,-8447.999999999976
2019.02.20,-326.9999999999884,-1573.0000000000023,-489.0000000000061,135.99999999999568,-412.00000000001234,-365.99999999999966,-1145.0000000000182,14.000000000002899,-617.0000000000009,-2002.0000000000095,-1537.999999999995,,-8319.000000000033
2019.02.20,-370.999999999988,-1617.0000000000018,-529.0000000000017,137.99999999999102,-452.99999999999227,-378.00000000000057,-1146.0000000000025,0.0,-614.9999999999989,-2061.0000000000073,-1546.9999999999873,,-8578.999999999989
2019.02.20,-395.99999999999636,-1615.000000000011,-611.000000000006,188.99999999999295,-449.0000000000105,-348.9999999999993,-1096.0000000000082,-60.99999999999994,-597.9999999999985,-2204.0000000000077,-1567.9999999999916,,-8758.000000000035
2019.02.20,-398.9999999999938,-1704.0000000000166,-615.9999999999943,286.9999999999919,-482.00000000000466,-353.99999999999875,-1178.0000000000123,-84.0000000000063,-609.9999999999994,-2445.999999999998,-1590.9999999999868,,-9177.000000000018
2019.02.20,-400.00000000000034,-1737.0000000000107,-639.9999999999961,382.99999999999557,-597.0000000000031,-424.9999999999976,-1228.0000000000068,-48.99999999999905,-634.9999999999967,-2551.9999999999927,-1578.999999999997,,-9459.000000000005
2019.02.20,-394.00000000000546,-1722.0000000000014,-634.0000000000013,376.0000000000048,-663.0000000000135,-437.999999999994,-1202.000000000014,-36.0000000000027,-609.9999999999994,-2472.000000000008,-1458.9999999999882,,-9254.000000000024
2019.02.20,-384.9999999999909,-1714.0000000000155,-632.9999999999947,378.0000000000001,-661.0000000000005,-434.9999999999965,-1214.0000000000039,-29.000000000001247,-608.9999999999928,-2443.999999999988,-1395.9999999999973,,-9141.999999999982
2019.02.20,-343.99999999998875,-1661.0000000000014,-587.0000000000042,394.999999999996,-625.9999999999932,-393.9999999999944,-1196.0000000000193,-38.0000000000047,-600.0000000000006,-2383.00000000001,-1363.9999999999875,,-8798.00000000001
2019.02.20,-323.99999999999096,-1595.0000000000132,-556.0000000000009,290.9999999999968,-583.0000000000002,-344.99999999999534,-1154.0000000000105,-56.0000000000005,-586.9999999999931,-2288.9999999999873,-1333.9999999999907,,-8531.999999999985
2019.02.20,-320.9999999999935,-1595.0000000000132,-533.99999999999,310.99999999999284,-574.0000000000078,-317.9999999999961,-1166.0000000000005,-82.99999999999974,-597.0000000000031,-2204.999999999984,-1360.0000000000057,,-8442.0
2019.02.20,-329.00000000000153,-1602.0000000000146,-540.0000000000072,335.9999999999985,-541.0000000000136,-331.999999999999,-1172.0000000000175,-51.99999999999649,-592.9999999999991,-2287.0000000000064,-1368.999999999998,,-8481.000000000055
2019.02.20,-324.9999999999975,-1595.0000000000132,-537.0000000000097,364.9999999999949,-541.9999999999981,-331.0000000000035,-1165.000000000016,-60.99999999999994,-591.9999999999925,-2276.999999999987,-1366.0000000000005,,-8426.000000000024
2019.02.20,-326.9999999999884,-1557.0000000000084,-513.9999999999923,361.0000000000042,-531.9999999999991,-314.99999999999864,-1123.0000000000073,-85.00000000000173,-597.0000000000031,-2250.0,-1329.0000000000025,,-8267.999999999996
