date,USDCHF,GBPUSD,AUDUSD,CHFJPY,EURGBP,GBPCAD,GBPAUD,EURJPY,EURAUD,CADJPY,AUDJPY,NZDCAD,AUDNZD,empty,sum
2021.09.22,906.0000000000068,-868.9999999999865,-122.99999999999534,905.0000000000011,702.9999999999981,666.9999999999953,710.999999999995,-358.0000000000041,-446.0000000000131,-394.00000000000546,-406.0000000000059,-80.99999999999774,18.999999999991246,,1233.9999999999795
2021.09.22,903.0000000000093,-909.9999999999886,-168.00000000000148,905.0000000000011,739.0000000000008,679.9999999999917,651.0000000000016,-386.0000000000241,-487.99999999999955,-417.0000000000016,-462.0000000000033,-82.99999999999974,-1.0000000000065512,,962.9999999999795
2021.09.22,903.0000000000093,-886.9999999999934,-142.99999999999312,891.0000000000053,711.000000000006,683.9999999999957,700.999999999996,-410.000000000025,-459.99999999999375,-397.00000000000557,-418.00000000000637,-92.99999999999864,15.00000000000945,,1097.0000000000064
2021.09.22,857.0000000000077,-956.9999999999857,-164.99999999999292,853.0000000000086,709.9999999999995,550.000000000006,751.9999999999972,-397.0000000000198,-456.00000000001194,-493.0000000000092,-439.9999999999977,-154.99999999999403,4.000000000004,,663.0000000000122
2021.09.22,868.000000000002,-1082.0000000000052,-163.99999999999747,855.9999999999945,768.9999999999975,540.9999999999915,740.9999999999917,-375.0,-468.00000000000176,-513.0000000000052,-441.0000000000025,-110.99999999999443,75.00000000000284,,695.9999999999734
2021.09.22,896.000000000008,-1014.9999999999882,-226.99999999999943,957.0000000000078,780.000000000003,438.9999999999894,687.9999999999998,-347.0000000000084,-565.9999999999999,-558.0000000000069,-480.99999999999454,-102.99999999999754,103.00000000000864,,566.0000000000216
2021.09.22,814.0000000000036,-1093.999999999995,-251.00000000000122,876.0000000000048,795.0000000000013,459.99999999999375,652.9999999999925,-346.00000000000364,-624.0000000000023,-555.0000000000068,-498.00000000000466,-81.9999999999932,95.00000000000064,,242.99999999999005
2021.09.22,833.0000000000059,-930.999999999993,-161.99999999999548,871.9999999999999,728.0000000000064,612.9999999999969,712.9999999999859,-315.00000000002615,-493.99999999999443,-442.99999999999784,-408.00000000000125,-58.000000000002494,113.00000000000753,,1060.9999999999916
2021.09.22,834.0000000000014,-862.9999999999916,-122.99999999999534,921.999999999997,729.0000000000018,819.9999999999985,744.9999999999957,-300.00000000001137,-465.0000000000043,-299.0000000000066,-382.99999999999557,75.00000000000284,137.9999999999937,,1829.999999999986
2021.09.22,852.0000000000083,-824.9999999999868,-49.99999999999449,927.9999999999973,687.0000000000043,1042.9999999999939,795.9999999999967,-221.00000000000364,-285.00000000000193,-123.00000000000466,-251.99999999999534,148.0000000000037,139.00000000000023,,2837.000000000018
2021.09.22,867.0000000000067,-695.0000000000011,-69.9999999999923,951.9999999999982,631.9999999999992,1012.9999999999973,653.999999999999,-231.00000000002296,-371.99999999999454,-55.999999999997385,-283.00000000000125,180.99999999999784,109.99999999998789,,2701.999999999976
2021.09.22,845.0000000000068,-695.9999999999856,-12.999999999996348,936.000000000007,633.0000000000058,1014.9999999999882,697.9999999999986,-197.00000000000273,-256.00000000001177,-4.0000000000048885,-218.00000000000352,170.00000000000347,106.00000000000608,,3019.000000000011
2021.09.22,825.0000000000091,-730.9999999999927,-26.999999999999247,903.0000000000058,656.000000000001,1150.0000000000066,781.9999999999939,-215.0000000000034,-265.0000000000041,12.000000000000455,-231.99999999999932,187.00000000000384,100.99999999999554,,3146.0000000000173
2021.09.22,795.0000000000013,-753.0000000000036,-29.000000000001247,865.9999999999997,675.0000000000034,1180.0000000000032,855.9999999999901,-258.0000000000098,-246.99999999999721,-24.00000000000091,-239.99999999999488,207.00000000000162,121.99999999999989,,3149.9999999999914
2021.09.22,733.0000000000059,-775.9999999999989,-80.99999999999774,796.999999999997,631.9999999999992,1035.0000000000082,731.9999999999993,-321.0000000000264,-306.00000000000625,-97.99999999999898,-295.0000000000017,177.00000000000495,114.99999999999844,,2343.9999999999827
2021.09.22,555.0000000000055,-970.9999999999885,-197.99999999999818,719.9999999999989,568.0000000000018,970.9999999999885,682.9999999999892,-382.000000000005,-344.99999999999534,-155.00000000000114,-341.99999999999875,4.999999999999449,96.99999999999153,,1205.999999999988
2021.09.22,433.0000000000056,-1151.9999999999975,-286.99999999999284,683.0000000000069,580.0000000000027,936.0000000000035,692.9999999999881,-368.9999999999998,-282.0000000000045,-156.99999999999648,-320.99999999999795,117.00000000000044,112.000000000001,,986.0000000000194
2021.09.22,417.0000000000007,-1160.0000000000055,-293.99999999999426,679.000000000002,541.9999999999981,1034.0000000000016,729.9999999999862,-448.0000000000075,-174.00000000000747,-123.99999999999523,-320.99999999999795,170.99999999999892,107.99999999999699,,1159.9999999999768
2021.09.22,503.000000000009,-1083.9999999999961,-221.99999999999997,695.999999999998,568.9999999999973,1160.9999999999898,743.9999999999891,-457.9999999999984,-163.00000000000205,-69.00000000000261,-337.0000000000033,218.00000000000708,93.99999999999409,,1651.9999999999816
2021.09.22,497.000000000003,-1080.9999999999986,-239.0000000000003,656.0000000000059,580.0000000000027,1059.9999999999943,760.9999999999894,-479.0000000000134,-143.00000000000423,-125.0,-335.00000000000796,226.00000000000398,131.99999999999878,,1509.9999999999734
2021.09.22,498.00000000000955,-1110.9999999999952,-239.0000000000003,665.0000000000063,567.0000000000064,1059.9999999999943,763.9999999999869,-501.0000000000048,-90.99999999999665,-137.00000000000045,-328.00000000000296,240.00000000000688,140.0000000000068,,1527.0000000000166
2021.09.23,595.0000000000011,-1160.0000000000055,-278.9999999999959,587.0000000000033,502.00000000000244,1031.9999999999884,700.999999999996,-564.0000000000214,-48.000000000003595,-195.99999999999795,-427.0000000000067,85.00000000000173,-127.00000000001043,,700.9999999999516
2021.09.23,516.0000000000053,-1122.0000000000007,-248.99999999999923,608.9999999999947,541.0000000000026,1048.9999999999889,797.9999999999876,-532.0000000000107,-63.99999999999739,-153.99999999999636,-355.99999999999454,273.000000000001,69.00000000000794,,1377.9999999999889
2021.09.23,502.00000000000244,-1129.0000000000023,-253.99999999999866,593.0000000000035,563.9999999999978,1073.9999999999973,774.9999999999924,-481.9999999999993,-99.00000000000463,-135.00000000000512,-344.99999999999886,270.99999999999903,58.000000000002494,,1392.9999999999864
2021.09.23,540.0000000000072,-1052.9999999999927,-234.99999999999633,695.999999999998,573.0000000000013,1007.0000000000024,720.9999999999939,-477.00000000000387,-107.00000000001265,-147.99999999999613,-335.00000000000796,307.0000000000017,194.0000000000053,,1682.9999999999998
2021.09.23,528.0000000000063,-1048.9999999999889,-239.99999999999577,695.0000000000074,578.0000000000007,1000.0000000000009,696.999999999992,-475.9999999999991,-141.99999999999767,-150.99999999999625,-346.00000000000364,268.0000000000016,204.00000000000418,,1566.0000000000316
2021.09.23,503.000000000009,-1107.999999999998,-291.99999999999227,692.9999999999978,565.9999999999999,940.9999999999918,628.0000000000064,-487.99999999999955,-218.00000000000708,-201.00000000000762,-394.00000000000546,295.99999999999625,228.99999999999034,,1154.9999999999816
2021.09.23,419.00000000000273,-1093.999999999995,-325.99999999999295,647.9999999999961,551.9999999999969,896.000000000008,557.9999999999918,-496.0000000000093,-226.00000000001506,-189.00000000000716,-382.000000000005,295.99999999999625,236.99999999999832,,892.9999999999658
2021.09.23,409.99999999999926,-1131.9999999999998,-339.99999999999585,640.0000000000006,556.0000000000009,824.9999999999868,563.0000000000024,-475.00000000002274,-243.99999999999977,-213.99999999999864,-391.9999999999959,231.99999999999886,211.99999999998997,,640.9999999999661
2021.09.23,417.0000000000007,-1113.9999999999927,-346.9999999999973,629.9999999999955,579.0000000000073,838.0000000000055,533.0000000000057,-449.0000000000123,-292.00000000000335,-207.00000000000784,-403.0000000000058,248.00000000000378,215.99999999999397,,648.999999999993
2021.09.23,426.00000000000415,-1112.0000000000018,-304.9999999999997,656.0000000000059,555.0000000000055,879.9999999999919,601.000000000007,-419.00000000001114,-232.99999999999432,-171.00000000000648,-350.9999999999991,240.00000000000688,218.99999999999142,,986.0000000000002
2021.09.23,414.00000000000324,-1041.000000000003,-332.99999999999443,683.9999999999975,551.9999999999969,875.0000000000035,439.99999999999596,-358.0000000000041,-364.00000000000875,-118.00000000000921,-367.999999999995,290.00000000000136,226.99999999999943,,899.9999999999833
2021.09.23,437.0000000000096,-1017.0000000000013,-385.99999999999744,683.0000000000069,575.9999999999987,875.0000000000035,283.99999999999534,-332.00000000002206,-523.0000000000068,-102.00000000000387,-441.0000000000025,372.0000000000057,204.99999999998852,,630.9999999999744
2021.09.23,451.0000000000014,-1011.0000000000064,-383.0,689.0000000000072,601.000000000007,974.9999999999925,292.9999999999877,-319.0000000000168,-541.0000000000136,-79.9999999999983,-436.00000000000705,440.00000000000705,208.99999999999253,,887.9999999999533
2021.09.23,502.00000000000244,-943.000000000005,-326.9999999999995,701.9999999999982,562.0000000000069,1019.9999999999986,336.00000000000296,-300.00000000001137,-495.000000000001,-27.000000000001023,-409.9999999999966,389.000000000006,174.00000000000747,,1183.0000000000082
2021.09.23,504.9999999999999,-866.9999999999956,-268.0000000000016,697.0000000000027,562.0000000000069,990.9999999999864,391.9999999999924,-293.00000000000637,-378.999999999996,-16.000000000005343,-347.999999999999,355.0000000000053,164.99999999999292,,1495.9999999999825
2021.09.23,489.0000000000061,-883.9999999999959,-276.9999999999939,679.000000000002,561.0000000000003,984.9999999999915,395.99999999999636,-306.0000000000116,-390.0000000000015,-31.999999999996476,-365.99999999999966,314.99999999999864,164.00000000000858,,1334.0000000000045
2021.09.23,526.0000000000042,-853.9999999999992,-221.99999999999997,721.0000000000036,558.000000000003,992.9999999999994,496.00000000000756,-281.0000000000059,-310.0000000000103,-13.999999999995794,-304.00000000000205,275.99999999999847,123.99999999999079,,1708.999999999994
2021.09.23,546.000000000002,-838.0000000000055,-220.99999999999343,760.0000000000051,568.0000000000018,991.9999999999928,475.99999999998755,-268.0000000000007,-320.9999999999935,-10.99999999999568,-301.00000000000193,273.9999999999965,116.99999999998934,,1772.9999999999843
2021.09.23,519.0000000000028,-917.9999999999966,-219.99999999999798,777.000000000001,573.0000000000013,1089.0000000000066,577.0000000000052,-243.99999999999977,-344.99999999999534,54.99999999999261,-250.0,273.000000000001,109.99999999998789,,1996.0000000000089
2021.09.23,569.0000000000084,-866.9999999999956,-161.99999999999548,865.9999999999997,546.000000000002,1184.9999999999916,618.9999999999918,-148.00000000002456,-270.00000000001467,158.00000000000125,-188.0000000000024,311.00000000000574,120.99999999999334,,2739.999999999962
2021.09.23,642.0000000000092,-792.9999999999993,-78.00000000000028,984.9999999999994,535.0000000000077,1373.000000000002,722.0000000000005,-136.0000000000241,-109.00000000000354,274.0000000000009,-97.99999999999898,375.9999999999986,164.00000000000858,,3857.000000000001
2021.09.23,536.0000000000032,-821.000000000005,-90.0000000000012,915.0000000000063,517.0000000000008,1594.999999999991,777.9999999999898,-109.00000000000887,-55.000000000005045,441.0000000000025,-43.99999999999693,492.999999999999,147.99999999999258,,4303.999999999967
2021.09.23,576.0000000000099,-768.9999999999975,-39.00000000000014,939.0000000000072,511.0000000000059,1872.9999999999914,825.9999999999934,-103.00000000000864,43.999999999999595,575.9999999999934,-12.000000000000455,526.0000000000042,63.99999999999739,,5011.999999999996
2021.09.23,678.0000000000008,-707.9999999999975,74.00000000000739,1052.0000000000068,524.9999999999977,1970.9999999999895,946.0000000000024,19.99999999998181,136.99999999998712,676.9999999999925,105.00000000000398,450.00000000000597,32.999999999994145,,5959.999999999974
2021.09.23,661.0000000000005,-709.9999999999884,104.00000000000409,1088.9999999999986,516.0000000000053,1905.0000000000011,1093.999999999995,18.999999999977035,242.99999999999324,694.0000000000026,158.99999999999181,356.00000000000074,75.00000000000284,,6204.999999999985
2021.09.23,618.0000000000074,-594.99999999999,162.0000000000066,1007.9999999999956,461.0000000000003,1754.9999999999955,1097.999999999999,47.9999999999734,346.0000000000019,673.0000000000018,231.99999999999932,314.99999999999864,46.999999999997044,,6167.999999999986
2021.09.23,591.0000000000082,-709.0000000000041,-0.999999999995449,832.9999999999984,448.9999999999994,1767.0000000000075,817.9999999999854,-266.00000000001955,100.99999999999554,456.00000000000307,-96.00000000000364,334.00000000000097,-43.999999999999595,,4232.999999999975
2021.09.23,592.9999999999991,-588.9999999999951,97.00000000000264,888.0000000000052,362.00000000000676,1685.9999999999875,739.0000000000008,-167.0000000000016,283.99999999999534,584.9999999999937,55.999999999997385,363.0000000000022,-4.000000000004,,4892.99999999999
2021.09.23,603.0000000000091,-574.9999999999922,63.00000000000195,927.9999999999973,197.99999999999818,1402.9999999999986,339.0000000000004,-197.00000000000273,252.99999999999213,603.9999999999992,39.00000000000148,441.0000000000025,29.999999999996696,,4129.000000000002
2021.09.23,596.0000000000076,-218.99999999999142,65.00000000000395,965.0000000000034,151.00000000000114,1273.9999999999973,341.99999999999784,-72.00000000000273,279.00000000000705,715.0000000000034,109.99999999999943,384.00000000000654,28.999999999990145,,4619.000000000023
2021.09.23,635.0000000000077,-224.000000000002,104.00000000000409,1085.000000000008,151.00000000000114,1232.9999999999952,370.999999999988,7.999999999981355,275.000000000003,703.000000000003,189.99999999999773,302.0000000000023,-36.999999999998145,,4795.999999999991
2021.09.23,709.9999999999995,-160.99999999998892,113.00000000000753,1209.0000000000032,201.00000000000674,1258.999999999988,377.0000000000051,91.99999999998454,231.0000000000034,739.0000000000043,224.99999999999432,131.00000000000333,-106.00000000000608,,5020.0000000000055
2021.09.23,761.0000000000006,-198.99999999999363,236.00000000000287,1314.9999999999977,211.00000000000563,1204.000000000005,719.000000000003,209.99999999997954,445.0000000000065,730.000000000004,388.9999999999958,56.0000000000005,-150.99999999999002,,5926.000000000016
2021.09.23,753.9999999999991,-153.9999999999875,241.00000000000233,1328.000000000003,152.00000000000767,1190.0000000000023,726.9999999999887,258.99999999998613,470.9999999999992,829.9999999999983,408.9999999999918,31.000000000003247,-173.00000000000094,,6064.999999999994
2021.09.23,823.000000000007,73.00000000001194,369.0000000000082,1411.0000000000014,175.00000000000293,1137.9999999999945,624.0000000000023,360.99999999999,539.999999999985,885.9999999999957,533.0000000000013,24.000000000001798,-171.00000000001003,,6785.999999999992
2021.09.23,852.0000000000083,133.00000000000534,379.0000000000071,1444.0000000000027,163.00000000000205,1100.9999999999964,584.0000000000067,442.99999999998363,529.0000000000017,929.9999999999926,551.9999999999925,-42.999999999993044,-184.00000000000637,,6883.0
2021.09.23,721.000000000005,-1.999999999990898,314.99999999999864,1382.000000000005,202.0000000000022,995.9999999999969,648.0000000000041,459.99999999997954,492.0000000000035,867.999999999995,564.9999999999977,31.999999999998696,-103.99999999999298,,6575.000000000003
2021.09.23,692.9999999999992,90.99999999999665,335.0000000000075,1337.0000000000032,119.00000000000244,933.000000000006,531.9999999999991,426.9999999999925,534.9999999999966,852.9999999999944,569.0000000000026,36.999999999998145,-92.00000000000318,,6368.9999999999945
2021.09.23,661.0000000000005,129.00000000000134,309.99999999999915,1311.9999999999977,119.00000000000244,997.0000000000034,510.99999999999477,431.99999999998795,554.9999999999944,915.9999999999968,563.0000000000024,104.99999999999955,-70.99999999999883,,6538.999999999981
