date,EURCHF,AUDJPY,empty,sum
2016.05.24,-31.999999999987594,-1034.9999999999966,,-1066.999999999984
2016.05.24,-8.999999999992347,-1113.99999999999,,-1122.9999999999823
2016.05.24,0.0,-1125.9999999999905,,-1125.9999999999905
2016.05.24,53.00000000001415,-1052.9999999999973,,-999.9999999999832
2016.05.24,102.00000000000209,-938.999999999993,,-836.9999999999909
2016.05.24,154.99999999999403,-890.0000000000006,,-735.0000000000066
2016.05.24,127.99999999999478,-868.9999999999998,,-741.000000000005
2016.05.24,123.00000000000644,-816.9999999999931,,-693.9999999999866
2016.05.24,107.00000000001265,-628.0000000000001,,-520.9999999999875
2016.05.24,112.000000000001,-561.9999999999976,,-449.9999999999966
2016.05.24,158.99999999999804,-539.999999999992,,-380.999999999994
2016.05.24,192.00000000001438,-541.9999999999874,,-349.999999999973
2016.05.24,209.9999999999991,-534.9999999999966,,-324.9999999999975
2016.05.24,191.00000000000784,-557.9999999999927,,-366.9999999999849
2016.05.24,187.00000000000384,-601.9999999999897,,-414.9999999999858
2016.05.24,224.000000000002,-601.9999999999897,,-377.99999999998766
2016.05.24,202.9999999999976,-557.9999999999927,,-354.9999999999951
2016.05.24,238.0000000000049,-557.9999999999927,,-319.99999999998784
2016.05.24,202.9999999999976,-552.9999999999973,,-349.99999999999966
2016.05.24,205.00000000001074,-524.9999999999915,,-319.99999999998073
2016.05.24,217.0000000000005,-509.9999999999909,,-292.9999999999904
2016.05.25,209.9999999999991,-535.9999999999872,,-325.99999999998806
2016.05.25,198.00000000000927,-486.99999999999477,,-288.9999999999855
2016.05.25,214.00000000000307,-474.9999999999943,,-260.99999999999125
2016.05.25,209.00000000001472,-454.9999999999983,,-245.99999999998357
2016.05.25,224.000000000002,-353.9999999999992,,-129.99999999999721
2016.05.25,246.99999999999721,-303.99999999998784,,-56.99999999999062
2016.05.25,260.0000000000158,-350.9999999999991,,-90.99999999998329
2016.05.25,263.00000000001324,-354.99999999998977,,-91.99999999997652
2016.05.25,245.0000000000063,-455.99999999998886,,-210.99999999998255
2016.05.25,236.99999999999832,-481.9999999999993,,-245.000000000001
2016.05.25,232.99999999999432,-443.9999999999884,,-210.9999999999941
2016.05.25,225.00000000000853,-356.9999999999993,,-131.9999999999908
2016.05.25,222.00000000001108,-274.9999999999915,,-52.99999999998039
2016.05.25,236.00000000001398,-300.9999999999877,,-64.99999999997374
2016.05.25,265.0000000000041,-316.99999999999307,,-51.99999999998897
2016.05.25,252.0000000000078,-291.9999999999874,,-39.99999999997959
2016.05.25,243.99999999999977,-300.9999999999877,,-56.99999999998795
2016.05.25,276.00000000000955,-268.0000000000007,,8.000000000008868
2016.05.25,256.99999999999613,-306.99999999998795,,-49.999999999991815
2016.05.25,229.99999999999687,-165.99999999999682,,64.00000000000006
2016.05.25,283.000000000011,-400.99999999999625,,-117.99999999998522
2016.05.25,296.0000000000074,-414.99999999999204,,-118.99999999998465
2016.05.25,290.00000000001245,-375.99999999999056,,-85.99999999997812
2016.05.25,236.99999999999832,-294.9999999999875,,-57.99999999998917
2016.05.25,238.0000000000049,-307.9999999999927,,-69.99999999998784
2016.05.25,292.00000000000335,-221.9999999999942,,70.00000000000915
2016.05.25,375.0000000000142,-186.9999999999976,,188.0000000000166
2016.05.25,391.000000000008,-167.99999999999216,,223.00000000001586
2016.05.25,334.00000000001205,-140.00000000000057,,194.00000000001148
2016.05.25,314.99999999999864,-146.0000000000008,,168.99999999999784
2016.05.25,350.00000000000585,-173.99999999999238,,176.00000000001347
2016.05.25,347.0000000000084,-117.999999999995,,229.00000000001342
2016.05.25,357.00000000000733,-119.99999999999034,,237.000000000017
2016.05.25,357.00000000000733,-153.99999999999636,,203.00000000001097
2016.05.25,412.00000000001234,-164.99999999999204,,247.0000000000203
2016.05.25,361.0000000000113,-269.999999999996,,91.00000000001529
2016.05.25,326.0000000000041,-399.9999999999915,,-73.99999999998738
2016.05.25,337.0000000000095,-362.99999999999955,,-25.999999999990052
2016.05.25,314.99999999999864,-309.99999999998806,,5.000000000010573
2016.05.25,289.0000000000059,-288.99999999998727,,1.864464138634503e-11
2016.05.25,276.9999999999939,-251.99999999999534,,24.99999999999858
2016.05.25,232.00000000000998,-209.99999999999375,,22.00000000001623
2016.05.25,286.00000000000847,-220.99999999998943,,65.00000000001904
2016.05.25,297.0000000000139,-263.9999999999958,,33.00000000001813
2016.05.25,296.0000000000074,-247.99999999999045,,48.00000000001694
2016.05.25,300.99999999999574,-203.99999999999352,,97.00000000000222
2016.05.25,307.00000000001285,-168.99999999999693,,138.00000000001592
2016.05.25,312.00000000000114,-188.99999999999295,,123.00000000000819
2016.05.26,297.9999999999983,-242.999999999995,,55.0000000000033
2016.05.26,282.0000000000045,-274.9999999999915,,7.000000000013017
2016.05.26,289.0000000000059,-272.99999999999613,,16.000000000009777
2016.05.26,273.0000000000121,-288.99999999998727,,-15.99999999997516
2016.05.26,293.0000000000099,-308.9999999999975,,-15.999999999987608
2016.05.26,295.0000000000008,-365.99999999999966,,-70.99999999999886
2016.05.26,253.99999999999866,-621.9999999999999,,-368.00000000000125
2016.05.26,283.000000000011,-798.9999999999924,,-515.9999999999814
2016.05.26,307.00000000001285,-861.9999999999948,,-554.9999999999819
2016.05.26,297.0000000000139,-1030.9999999999918,,-733.999999999978
2016.05.26,287.000000000015,-685.9999999999928,,-398.99999999997783
2016.05.26,310.0000000000103,-504.99999999999545,,-194.99999999998516
2016.05.26,276.9999999999939,-500.0,,-223.00000000000608
2016.05.26,297.9999999999983,-445.99999999999795,,-147.99999999999966
2016.05.26,283.000000000011,-446.9999999999885,,-163.9999999999775
2016.05.26,303.0000000000088,-409.9999999999966,,-106.99999999998778
2016.05.26,279.00000000000705,-396.0000000000008,,-116.99999999999375
2016.05.26,280.9999999999979,-458.999999999989,,-177.99999999999108
2016.05.26,287.000000000015,-462.99999999999386,,-175.99999999997885
2016.05.26,266.0000000000107,-530.9999999999917,,-264.999999999981
2016.05.26,134.99999999999625,-462.99999999999386,,-327.9999999999976
2016.05.26,107.00000000001265,-387.00000000000045,,-279.99999999998784
2016.05.26,58.000000000002494,-397.99999999999613,,-339.99999999999363
2016.05.26,43.00000000001525,-325.9999999999934,,-282.9999999999782
2016.05.26,34.000000000000696,-289.99999999999204,,-255.99999999999136
2016.05.26,95.00000000000064,-242.999999999995,,-147.99999999999437
2016.05.26,48.000000000003595,-193.9999999999884,,-145.99999999998482
2016.05.26,51.000000000001044,-85.99999999999852,,-34.99999999999748
2016.05.26,65.00000000000395,-97.99999999999898,,-32.999999999995026
2016.05.26,87.00000000001484,-137.99999999999102,,-50.99999999997618
2016.05.26,22.0000000000109,-101.99999999998965,,-79.99999999997875
2016.05.26,32.999999999994145,-146.0000000000008,,-113.00000000000665
2016.05.26,53.999999999998494,-96.9999999999942,,-42.99999999999571
2016.05.26,137.00000000000932,-257.99999999999557,,-120.99999999998624
2016.05.26,121.00000000001555,-311.9999999999976,,-190.99999999998207
2016.05.26,114.99999999999844,-360.99999999999,,-245.99999999999156
2016.05.26,156.00000000000057,-367.999999999995,,-211.99999999999443
2016.05.26,153.00000000000313,-237.99999999999955,,-84.99999999999642
2016.05.26,158.99999999999804,-294.9999999999875,,-135.99999999998946
2016.05.26,188.9999999999947,-310.99999999999284,,-121.99999999999812
2016.05.26,209.00000000001472,-307.9999999999927,,-98.999999999978
2016.05.26,192.00000000001438,-318.9999999999884,,-126.99999999997402
2016.05.26,192.00000000001438,-314.9999999999977,,-122.99999999998334
2016.05.26,148.99999999999915,-324.99999999998863,,-175.99999999998948
2016.05.26,156.00000000000057,-324.99999999998863,,-168.99999999998806
2016.05.26,139.00000000000023,-291.9999999999874,,-152.99999999998715
2016.05.26,139.00000000000023,-283.9999999999918,,-144.9999999999916
2016.05.26,127.99999999999478,-271.0000000000008,,-143.00000000000603
2016.05.27,154.99999999999403,-206.99999999999363,,-51.9999999999996
2016.05.27,137.00000000000932,-205.99999999998886,,-68.99999999997954
