date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.02.14,822.9999999999959,658.0000000000031,416.00000000001637,124.99999999999733,105.00000000001064,758.9999999999985,-395.000000000012,-860.0000000000052,1356.999999999997,215.99999999999397,881.9999999999766,1091.0000000000198,-1545.0000000000186,-937.0000000000118,734.9999999999968,812.999999999997,2507.0000000000146,-1118.000000000009,-1193.9999999999884,-1791.000000000011,39.00000000000014,-988.9999999999955,-976.9999999999834,,719.9999999999839
2019.02.14,801.9999999999916,602.999999999998,362.00000000001785,139.00000000000023,225.00000000000853,821.000000000005,-425.0000000000087,-931.0000000000041,1390.9999999999977,220.99999999999343,925.9999999999877,1082.0000000000052,-1675.0000000000043,-1144.0000000000055,714.999999999999,972.0000000000173,2551.9999999999986,-1231.9999999999993,-1359.9999999999995,-1964.0000000000127,179.00000000000693,-1076.9999999999945,-961.9999999999961,,220.00000000000296
2019.02.14,801.9999999999916,612.9999999999969,379.0000000000182,234.00000000000088,278.00000000000045,863.0000000000026,-409.99999999999926,-900.9999999999962,1438.000000000006,210.99999999999451,1048.9999999999782,1138.0000000000168,-1609.000000000016,-1077.0000000000123,797.0000000000033,1102.000000000003,2663.0000000000155,-1219.9999999999989,-1315.9999999999882,-1923.0000000000018,185.00000000000182,-1016.9999999999901,-912.999999999986,,1366.0000000000414
2019.02.14,804.0000000000047,632.9999999999947,398.00000000000944,241.99999999998667,281.00000000000904,856.0000000000013,-409.99999999999926,-910.9999999999951,1429.0000000000025,214.99999999999852,1015.9999999999911,1182.0000000000164,-1650.0000000000182,-1012.0000000000005,844.0000000000003,1126.0000000000048,2650.000000000019,-1212.0000000000032,-1290.9999999999968,-1890.0000000000005,185.99999999999727,-988.9999999999955,-887.9999999999999,,1609.0000000000286
2019.02.14,817.9999999999854,594.0000000000057,379.0000000000182,253.99999999999866,298.0000000000094,863.0000000000026,-446.0000000000131,-927.0,1444.9999999999964,209.00000000000364,1040.9999999999968,1151.0000000000132,-1627.0000000000007,-1025.0000000000057,825.9999999999934,1141.0000000000143,2655.0000000000073,-1201.9999999999982,-1289.999999999992,-1913.000000000011,204.99999999999963,-1028.9999999999911,-899.9999999999897,,1520.0000000000432
2019.02.14,777.9999999999898,581.9999999999936,364.00000000000875,248.00000000000378,321.0000000000046,883.0000000000005,-449.0000000000105,-949.9999999999953,1448.0000000000048,195.00000000000074,1074.9999999999886,1122.0000000000007,-1701.000000000019,-1049.0000000000066,812.999999999997,1161.000000000012,2677.000000000018,-1228.0000000000086,-1335.9999999999986,-1920.0000000000018,231.99999999999886,-1015.9999999999947,-869.999999999993,,1379.9999999999952
2019.02.14,773.0000000000015,568.000000000013,396.00000000001853,217.99999999998488,297.00000000000284,858.9999999999986,-472.00000000000574,-948.9999999999999,1436.0000000000039,156.00000000000057,1054.9999999999784,1084.0000000000182,-1675.0000000000043,-1017.0000000000101,845.9999999999912,1183.0000000000007,2689.000000000008,-1225.0000000000086,-1323.9999999999982,-1907.0000000000107,214.99999999999852,-1001.9999999999918,-876.9999999999944,,1326.999999999994
2019.02.14,810.999999999984,573.0000000000013,398.00000000000944,261.9999999999845,329.00000000000153,870.9999999999995,-470.00000000001484,-968.0000000000022,1460.0000000000057,168.99999999999693,1090.9999999999798,1163.000000000003,-1684.0000000000189,-1029.0000000000105,885.0000000000025,1239.9999999999966,2717.999999999998,-1253.0,-1348.9999999999895,-1948.0000000000075,233.00000000000543,-1019.9999999999986,-879.9999999999919,,1601.9999999999332
2019.02.14,770.9999999999884,507.9999999999973,252.0000000000078,272.99999999998994,353.0000000000033,899.0000000000053,-500.00000000001154,-1039.0000000000011,1490.999999999998,156.00000000000057,1100.999999999999,1101.0000000000186,-1901.0000000000193,-1221.0000000000036,783.9999999999848,1211.0000000000066,2662.0000000000086,-1313.0000000000023,-1478.999999999999,-2059.000000000012,243.99999999999977,-1106.9999999999914,-872.9999999999905,,313.9999999999782
2019.02.14,770.9999999999884,547.999999999993,326.0000000000041,276.9999999999939,381.0000000000091,983.999999999996,-470.9999999999992,-1029.9999999999975,1541.0000000000034,214.99999999999852,1008.9999999999861,1167.0000000000068,-1948.0000000000164,-1150.0000000000057,815.9999999999945,1293.000000000011,2890.999999999999,-1290.0000000000064,-1463.9999999999986,-2064.0000000000073,292.9999999999988,-1149.0,-924.9999999999981,,1020.9999999999533
2019.02.14,758.9999999999985,634.0000000000013,299.00000000000483,137.9999999999937,228.00000000000597,836.9999999999989,-336.00000000000296,-994.000000000006,1483.9999999999964,232.99999999999432,676.9999999999925,1246.0000000000139,-1987.0000000000055,-1159.000000000006,783.9999999999848,1229.9999999999977,2829.000000000015,-1263.0000000000052,-1436.9999999999977,-2052.000000000007,175.00000000000293,-1130.9999999999932,-946.9999999999867,,246.99999999999056
2019.02.14,879.9999999999919,956.0000000000013,529.0000000000017,56.99999999999594,158.0000000000026,795.0000000000013,-191.00000000000784,-899.0000000000053,1444.000000000001,290.9999999999968,527.9999999999916,1419.0000000000148,-1963.0000000000036,-894.0000000000055,829.9999999999974,1076.0000000000102,2772.000000000019,-1183.0000000000068,-1241.9999999999902,-1900.0000000000057,139.00000000000023,-1051.9999999999973,-983.0000000000006,,1567.0000000000032
2019.02.14,818.9999999999919,914.9999999999991,502.00000000000244,38.99999999998904,148.0000000000037,802.9999999999982,-148.00000000001478,-838.0000000000055,1433.0000000000066,327.99999999999494,530.9999999999775,1370.0000000000045,-1865.0000000000055,-890.0000000000006,807.0000000000022,1077.0000000000168,2805.000000000013,-1097.999999999999,-1176.0000000000018,-1881.0000000000002,155.00000000000514,-1098.9999999999943,-1024.0000000000027,,1712.99999999998
2019.02.14,831.000000000004,900.9999999999962,502.00000000000244,41.000000000002146,148.0000000000037,875.999999999999,-174.00000000000747,-853.0000000000038,1472.0000000000066,298.9999999999937,609.9999999999852,1292.0000000000043,-1851.0000000000027,-885.0000000000051,759.999999999983,994.000000000006,2839.999999999998,-1100.0000000000086,-1168.9999999999968,-1893.0000000000007,148.0000000000037,-1133.9999999999907,-1107.999999999998,,1546.9999999999757
2019.02.14,791.9999999999927,811.0000000000061,380.00000000000256,-34.000000000000696,160.00000000000458,878.000000000001,-236.99999999999832,-814.0000000000036,1483.9999999999964,329.999999999997,656.9999999999823,1187.0000000000048,-1767.0000000000075,-998.0000000000047,624.0000000000023,907.9999999999977,2801.000000000009,-1088.9999999999986,-1162.9999999999968,-1961.0000000000127,163.00000000000205,-1227.9999999999957,-1156.999999999986,,726.9999999999948
2019.02.14,831.000000000004,896.000000000008,472.00000000000574,-60.000000000015596,143.00000000000423,889.0000000000065,-204.00000000000418,-805.9999999999956,1490.0000000000025,348.9999999999993,673.9999999999782,1206.0000000000182,-1714.9999999999998,-945.0000000000074,608.9999999999928,929.000000000002,2846.000000000015,-1052.9999999999973,-1131.0000000000002,-1939.0000000000073,187.00000000000384,-1243.9999999999895,-1150.999999999991,,1273.0000000000314
