date,EURUSD,NZDUSD,EURGBP,empty,sum
2015.05.13,182.99999999999983,-362.99999999999113,-892.9999999999993,,-1072.9999999999907
2015.05.13,292.9999999999877,-437.999999999994,-864.9999999999935,,-1009.9999999999998
2015.05.13,269.9999999999925,-583.0000000000002,-856.9999999999967,,-1170.0000000000045
2015.05.13,200.00000000000017,-558.9999999999984,-888.9999999999953,,-1247.9999999999936
2015.05.13,198.99999999999363,-894.9999999999902,-853.9999999999992,,-1549.999999999996
2015.05.13,270.99999999999903,-786.9999999999933,-827.0,,-1342.9999999999943
2015.05.13,348.9999999999993,-680.9999999999983,-812.999999999997,,-1144.999999999996
2015.05.13,400.9999999999847,-596.9999999999919,-803.9999999999936,,-1000.0000000000009
2015.05.13,391.9999999999924,-707.9999999999975,-795.9999999999967,,-1112.0000000000018
2015.05.13,499.9999999999893,-633.9999999999901,-769.999999999993,,-903.9999999999937
2015.05.13,480.99999999999807,-620.9999999999937,-785.0000000000024,,-924.9999999999981
2015.05.13,508.9999999999817,-631.9999999999992,-764.9999999999934,,-888.0000000000109
2015.05.13,363.9999999999866,-650.9999999999905,-829.0000000000019,,-1116.000000000006
2015.05.13,549.9999999999839,-564.9999999999933,-700.999999999996,,-716.0000000000055
2015.05.13,514.9999999999987,-583.0000000000002,-656.9999999999965,,-724.999999999998
2015.05.13,541.9999999999981,-463.9999999999977,-751.9999999999972,,-673.9999999999968
2015.05.13,501.9999999999802,-293.99999999999426,-837.9999999999943,,-630.0000000000084
2015.05.13,209.9999999999991,-343.9999999999999,-949.9999999999953,,-1083.9999999999961
2015.05.13,257.99999999998045,-300.0000000000003,-1092.9999999999995,,-1135.0000000000193
2015.05.13,293.99999999999426,-162.99999999999093,-1108.9999999999934,,-977.9999999999901
2015.05.13,281.99999999998226,-132.99999999999423,-785.9999999999978,,-637.0000000000098
2015.05.13,282.9999999999888,-175.99999999999838,-825.9999999999934,,-719.000000000003
2015.05.13,235.99999999999176,-129.9999999999968,-922.999999999996,,-817.000000000001
2015.05.13,314.99999999999864,-69.9999999999923,-756.0000000000011,,-510.99999999999477
2015.05.13,313.99999999999204,40.00000000000669,-739.0000000000008,,-385.00000000000205
2015.05.13,275.9999999999874,-31.999999999998696,-774.9999999999924,,-531.0000000000036
2015.05.13,1062.9999999999918,352.00000000000784,-466.9999999999952,,948.0000000000043
2015.05.13,1197.999999999988,248.00000000000378,-378.999999999996,,1066.999999999996
2015.05.13,1302.9999999999875,267.00000000000614,-309.99999999999915,,1259.9999999999945
2015.05.13,1367.9999999999914,325.00000000000864,-329.00000000000153,,1363.9999999999984
2015.05.13,1502.9999999999877,223.00000000000654,-331.999999999999,,1393.9999999999955
2015.05.13,1570.999999999989,260.00000000000466,-279.99999999999136,,1551.0000000000023
2015.05.13,1712.9999999999868,339.0000000000004,-276.9999999999939,,1774.9999999999934
2015.05.13,1663.9999999999989,266.0000000000107,-307.99999999999716,,1622.0000000000123
2015.05.13,1702.999999999988,287.0000000000039,-269.9999999999925,,1719.9999999999993
2015.05.13,1696.999999999993,308.00000000000824,-285.9999999999974,,1719.0000000000036
2015.05.13,1562.9999999999811,248.00000000000378,-341.99999999999784,,1468.9999999999873
2015.05.13,1510.9999999999957,225.00000000000853,-375.9999999999986,,1360.0000000000055
2015.05.13,1595.9999999999975,237.00000000000944,-361.0000000000002,,1472.0000000000066
2015.05.13,1471.9999999999845,164.00000000000858,-352.9999999999922,,1283.000000000001
2015.05.13,1423.999999999981,208.00000000000819,-427.99999999999505,,1203.999999999994
2015.05.13,1485.9999999999873,239.0000000000003,-359.99999999999363,,1364.9999999999939
2015.05.13,1541.9999999999989,290.00000000000136,-391.9999999999924,,1440.0000000000077
2015.05.14,1496.9999999999927,309.0000000000037,-391.9999999999924,,1414.000000000004
2015.05.14,1485.9999999999873,390.0000000000015,-395.0000000000009,,1480.9999999999877
2015.05.14,1594.999999999991,661.0000000000005,-339.0000000000004,,1916.999999999991
2015.05.14,1522.9999999999854,879.0000000000075,-375.9999999999986,,2025.999999999994
2015.05.14,1461.9999999999854,831.000000000004,-390.0000000000015,,1902.9999999999882
2015.05.14,1463.9999999999986,741.0000000000027,-385.99999999999744,,1819.0000000000039
2015.05.14,1447.9999999999827,747.0000000000088,-383.99999999999545,,1810.999999999996
2015.05.14,1476.999999999995,898.0000000000099,-368.00000000000165,,2007.0000000000034
2015.05.14,1554.9999999999952,927.0,-385.99999999999744,,2095.999999999998
2015.05.14,1615.9999999999952,960.0000000000053,-363.0000000000022,,2212.999999999998
2015.05.14,1597.9999999999884,861.0000000000007,-334.9999999999964,,2123.9999999999927
2015.05.14,1455.9999999999907,765.0000000000045,-392.9999999999989,,1827.9999999999966
2015.05.14,1577.9999999999905,758.0000000000031,-363.99999999999767,,1971.999999999996
2015.05.14,1700.999999999997,828.0000000000065,-312.00000000000114,,2217.0000000000027
2015.05.14,1714.9999999999998,916.0000000000057,-322.9999999999955,,2308.00000000001
2015.05.14,1656.9999999999973,778.0000000000009,-337.99999999999386,,2097.0000000000045
2015.05.14,1596.9999999999818,779.0000000000075,-341.0000000000024,,2034.9999999999868
2015.05.14,1772.9999999999802,812.0000000000016,-280.9999999999979,,2303.999999999984
2015.05.14,1750.9999999999914,801.0000000000073,-269.9999999999925,,2282.0000000000064
2015.05.14,2111.9999999999804,997.0000000000034,-91.99999999999208,,3016.9999999999914
2015.05.14,2149.9999999999854,761.0000000000006,-115.99999999999389,,2794.999999999992
2015.05.14,1895.9999999999866,465.0000000000043,-213.99999999999199,,2146.999999999999
2015.05.14,2068.9999999999877,517.0000000000008,-131.99999999999878,,2453.99999999999
2015.05.14,2029.9999999999984,382.00000000000455,-149.99999999999457,,2262.000000000008
2015.05.14,2194.9999999999914,428.00000000000614,-195.9999999999962,,2427.000000000001
2015.05.14,2193.999999999985,522.0000000000002,-180.0000000000024,,2535.999999999983
2015.05.14,2284.9999999999814,430.00000000000813,-100.99999999999554,,2613.999999999994
2015.05.14,2335.9999999999827,445.0000000000065,-112.99999999999643,,2667.9999999999927
2015.05.14,2184.9999999999927,543.0000000000045,-253.99999999999866,,2473.9999999999986
2015.05.14,2251.9999999999873,611.000000000006,-222.99999999999542,,2639.9999999999977
2015.05.14,2145.9999999999814,537.0000000000097,-239.99999999999577,,2442.999999999995
2015.05.14,2120.999999999995,708.0000000000086,-237.99999999999378,,2591.00000000001
2015.05.14,2117.9999999999977,846.0000000000023,-230.99999999999233,,2733.0000000000077
2015.05.14,2010.999999999985,831.000000000004,-302.9999999999977,,2538.9999999999914
2015.05.14,1964.9999999999945,631.0000000000038,-237.99999999999378,,2358.0000000000045
2015.05.14,1796.999999999982,590.0000000000016,-278.00000000000045,,2108.999999999983
2015.05.14,1464.999999999983,422.00000000000017,-430.9999999999925,,1455.9999999999907
2015.05.14,1668.9999999999873,451.0000000000014,-398.9999999999938,,1720.9999999999948
2015.05.14,1749.999999999985,467.0000000000063,-275.99999999999847,,1940.999999999993
2015.05.14,1778.9999999999973,506.0000000000064,-292.9999999999988,,1992.0000000000048
2015.05.14,1783.9999999999857,478.0000000000006,-293.99999999999426,,1967.999999999992
2015.05.14,1784.999999999992,409.0000000000038,-283.99999999999534,,1910.0000000000005
2015.05.14,1918.9999999999818,370.00000000000364,-226.99999999999943,,2061.999999999986
2015.05.14,1954.9999999999957,434.000000000001,-219.99999999999798,,2168.9999999999986
2015.05.14,2013.9999999999825,438.00000000000506,-214.99999999999852,,2236.999999999989
2015.05.14,2076.9999999999955,491.0000000000081,-168.00000000000148,,2400.0000000000023
2015.05.14,2116.999999999991,504.9999999999999,-159.9999999999935,,2461.9999999999973
2015.05.14,2094.99999999998,423.0000000000067,-175.99999999999838,,2341.9999999999886
2015.05.15,2079.999999999993,403.0000000000089,-187.9999999999993,,2295.000000000003
2015.05.15,2058.9999999999886,390.0000000000015,-192.99999999999872,,2255.9999999999914
2015.05.15,2056.9999999999977,470.00000000000375,-197.99999999999818,,2329.000000000003
2015.05.15,2035.9999999999934,403.0000000000089,-207.99999999999707,,2231.000000000005
