date,GBPCHF,EURGBP,GBPJPY,GBPCAD,empty,sum
2017.08.22,-90.99999999999665,323.0000000000066,47.9999999999734,400.00000000000034,,679.9999999999836
2017.08.23,-89.00000000000574,204.00000000000418,31.999999999982265,363.0000000000022,,509.99999999998295
2017.08.23,-121.99999999999989,295.0000000000008,6.9999999999765805,363.9999999999866,,543.9999999999641
2017.08.23,-147.00000000000824,307.0000000000017,-186.00000000000705,342.9999999999822,,316.9999999999686
2017.08.23,-131.99999999999878,317.0000000000006,-146.000000000015,310.9999999999946,,349.99999999998147
2017.08.23,-127.99999999999478,331.0000000000035,-136.0000000000241,299.99999999998914,,366.9999999999738
2017.08.23,-175.00000000001404,309.99999999999915,-214.00000000002706,289.9999999999903,,210.99999999994833
2017.08.23,-201.00000000000674,285.9999999999974,-258.0000000000098,154.99999999999403,,-18.000000000025096
2017.08.23,-188.00000000001037,285.00000000000193,-98.00000000001319,141.99999999999767,,140.99999999997604
2017.08.23,-229.00000000001253,278.00000000000045,-106.00000000002296,78.00000000000028,,20.99999999996524
2017.08.23,-175.00000000001404,316.0000000000052,-26.00000000001046,168.99999999999693,,283.9999999999776
2017.08.23,-146.00000000000168,312.9999999999966,-39.00000000001569,132.99999999998312,,260.99999999996237
2017.08.23,-175.99999999999838,314.99999999999864,-81.00000000001728,167.9999999999904,,225.99999999997337
2017.08.23,-137.00000000000932,302.9999999999977,91.99999999998454,34.99999999998504,,292.999999999958
2017.08.23,-117.99999999999588,295.99999999999625,159.9999999999966,-63.000000000013046,,274.99999999998386
2017.08.23,-97.00000000001374,314.0000000000032,209.99999999997954,36.999999999998145,,463.9999999999671
2017.08.23,-126.0000000000039,336.9999999999984,165.99999999999682,122.99999999998423,,499.99999999997556
2017.08.23,-151.00000000001222,282.99999999999994,129.99999999999545,-73.00000000001194,,188.99999999997124
2017.08.23,-151.00000000001222,253.99999999999866,111.99999999999477,-77.00000000001594,,137.99999999996527
2017.08.23,-160.00000000000458,253.99999999999866,128.99999999999068,-48.000000000003595,,174.99999999998118
2017.08.23,-191.99999999999218,250.00000000000577,183.9999999999975,-19.00000000001345,,222.99999999999764
2017.08.23,-252.99999999999213,199.00000000000472,152.9999999999916,-1.0000000000065512,,97.99999999999763
2017.08.23,-262.00000000000665,272.00000000000557,-1.0000000000047748,47.99999999998139,,56.999999999975536
2017.08.23,-85.00000000000173,487.99999999999955,256.9999999999766,317.9999999999961,,977.9999999999704
2017.08.23,58.000000000002494,629.0000000000018,438.99999999999295,497.99999999999847,,1623.9999999999957
2017.08.23,35.999999999991594,597.0000000000031,425.9999999999877,396.9999999999807,,1455.999999999963
2017.08.23,-26.999999999999247,572.0000000000058,417.99999999997794,363.0000000000022,,1325.9999999999868
2017.08.23,131.99999999999878,619.9999999999983,541.9999999999732,510.99999999999477,,1804.999999999965
2017.08.23,-79.00000000000685,590.999999999997,408.9999999999918,444.9999999999843,,1365.9999999999663
2017.08.23,-158.99999999999804,531.9999999999991,329.9999999999841,365.99999999999966,,1068.9999999999848
2017.08.23,76.99999999999375,624.9999999999977,548.9999999999782,253.99999999999866,,1504.9999999999682
2017.08.23,239.99999999999577,702.9999999999981,705.9999999999889,180.99999999998673,,1829.9999999999695
2017.08.23,367.0000000000062,690.9999999999972,752.9999999999859,119.99999999998678,,1930.9999999999761
2017.08.23,445.99999999999085,728.0000000000064,843.9999999999941,263.99999999999756,,2281.999999999989
2017.08.23,451.0000000000014,733.0000000000059,771.9999999999914,270.99999999999903,,2226.9999999999977
2017.08.23,451.0000000000014,822.0000000000005,848.9999999999895,485.99999999998647,,2607.9999999999777
2017.08.23,402.9999999999978,844.0000000000003,867.999999999995,543.999999999989,,2658.9999999999823
2017.08.23,375.9999999999986,846.9999999999977,832.9999999999984,628.9999999999907,,2684.9999999999854
2017.08.23,344.99999999999534,866.0000000000001,909.9999999999966,793.9999999999836,,2914.9999999999754
2017.08.23,391.000000000008,848.9999999999998,948.9999999999839,811.9999999999905,,3000.9999999999823
2017.08.23,443.99999999999994,843.0000000000049,882.9999999999814,741.9999999999982,,2911.9999999999845
2017.08.23,394.9999999999898,853.9999999999992,753.9999999999907,746.0000000000023,,2748.999999999982
2017.08.23,428.00000000000614,846.0000000000023,875.9999999999764,759.999999999983,,2909.9999999999673
2017.08.23,397.99999999998727,846.9999999999977,870.9999999999809,750.9999999999906,,2866.9999999999563
2017.08.23,405.9999999999952,850.0000000000063,926.9999999999925,777.9999999999898,,2960.9999999999836
2017.08.23,398.9999999999938,878.000000000001,914.999999999992,764.9999999999934,,2956.99999999998
2017.08.23,426.9999999999996,883.0000000000005,929.9999999999784,766.0,,3005.999999999978
2017.08.23,434.000000000001,866.9999999999956,1008.9999999999861,824.0000000000025,,3133.9999999999854
2017.08.23,441.99999999998687,841.0000000000028,961.9999999999891,824.0000000000025,,3068.999999999982
2017.08.24,441.99999999998687,822.0000000000005,970.9999999999752,743.9999999999891,,2978.999999999952
2017.08.24,451.0000000000014,822.9999999999959,982.9999999999757,754.9999999999945,,3011.9999999999673
2017.08.24,489.99999999999045,836.9999999999989,1048.9999999999782,796.999999999981,,3172.999999999948
2017.08.24,465.0000000000043,841.0000000000028,1035.999999999973,801.9999999999916,,3143.999999999972
2017.08.24,465.99999999998863,841.9999999999983,1063.999999999993,817.000000000001,,3188.999999999981
2017.08.24,465.99999999998863,861.0000000000007,1034.9999999999966,841.9999999999872,,3203.999999999973
2017.08.24,486.999999999993,875.999999999999,984.9999999999852,878.9999999999853,,3226.9999999999627
2017.08.24,448.9999999999883,875.0000000000035,857.9999999999757,915.9999999999835,,3097.999999999951
2017.08.24,443.99999999999994,892.0000000000039,858.9999999999804,939.0000000000009,,3133.9999999999854
2017.08.24,445.0000000000065,870.9999999999995,851.9999999999754,983.9999999999849,,3151.9999999999663
2017.08.24,421.0000000000047,861.0000000000007,885.9999999999957,974.9999999999925,,3142.9999999999936
2017.08.24,468.00000000000176,872.0000000000061,919.9999999999875,1045.9999999999914,,3305.999999999987
2017.08.24,468.9999999999861,875.999999999999,895.9999999999866,1025.9999999999936,,3266.9999999999654
2017.08.24,486.999999999993,880.9999999999984,897.9999999999961,1038.99999999999,,3304.9999999999773
2017.08.24,480.99999999999807,873.0000000000016,884.9999999999909,1013.9999999999816,,3252.999999999972
2017.08.24,523.0000000000068,883.9999999999959,915.9999999999968,1044.9999999999848,,3367.9999999999845
2017.08.24,531.9999999999991,883.0000000000005,933.9999999999975,997.9999999999878,,3346.999999999985
2017.08.24,534.9999999999966,900.0000000000008,974.9999999999943,1035.9999999999925,,3445.9999999999845
2017.08.24,556.0000000000009,851.9999999999972,1003.9999999999907,1061.9999999999852,,3473.9999999999745
2017.08.24,368.9999999999971,726.0000000000044,661.9999999999777,840.9999999999807,,2597.99999999996
2017.08.24,316.0000000000052,714.999999999999,579.9999999999841,748.9999999999997,,2359.9999999999877
2017.08.24,343.99999999998875,634.0000000000013,515.9999999999911,619.9999999999983,,2113.9999999999795
2017.08.24,455.0000000000054,685.0000000000023,493.9999999999998,661.9999999999848,,2295.9999999999923
2017.08.24,296.9999999999917,558.000000000003,373.9999999999952,700.999999999996,,1929.999999999986
2017.08.24,306.00000000000625,570.0000000000039,361.99999999999477,722.0000000000005,,1960.0000000000055
2017.08.24,270.99999999999903,528.0000000000063,283.9999999999918,719.9999999999873,,1802.9999999999843
2017.08.24,275.000000000003,504.00000000000443,269.9999999999818,705.0000000000001,,1753.9999999999895
2017.08.24,306.00000000000625,492.0000000000035,314.9999999999977,747.9999999999931,,1861.0000000000005
2017.08.24,337.99999999999386,558.000000000003,245.9999999999809,781.9999999999939,,1923.9999999999716
2017.08.24,346.9999999999862,600.0000000000006,237.99999999999955,750.9999999999906,,1935.9999999999768
2017.08.24,268.0000000000016,553.999999999999,97.99999999998477,699.9999999999895,,1619.999999999975
2017.08.24,346.9999999999862,570.0000000000039,154.99999999997272,734.9999999999968,,1806.9999999999595
2017.08.24,367.99999999999056,573.0000000000013,181.99999999998795,630.9999999999816,,1753.9999999999613
2017.08.24,543.0000000000045,629.0000000000018,390.99999999999113,756.9999999999854,,2319.9999999999827
2017.08.24,544.9999999999955,668.9999999999974,550.9999999999877,718.9999999999808,,2483.9999999999613
