date,GBPCHF,EURCHF,EURJPY,EURCAD,AUDCAD,NZDCAD,empty,sum
2018.10.16,-1122.0000000000007,78.00000000000028,-569.0000000000168,55.000000000005045,109.00000000000354,-739.0000000000008,,-2188.0000000000095
2018.10.16,-1049.9999999999955,52.000000000007596,-582.000000000022,70.99999999999883,90.99999999999665,-751.9999999999972,,-2170.000000000012
2018.10.16,-1055.000000000006,180.0000000000024,-905.0000000000011,-241.99999999998667,19.999999999997797,-785.9999999999978,,-2787.9999999999914
2018.10.16,-1239.9999999999966,262.999999999991,-808.9999999999975,-70.99999999999883,29.999999999996696,-761.999999999996,,-2589.0000000000014
2018.10.16,-1282.9999999999898,238.0000000000049,-728.0000000000086,120.00000000000898,72.0000000000054,-655.9999999999899,,-2236.999999999969
2018.10.16,-1327.999999999996,238.0000000000049,-622.0000000000141,351.0000000000124,156.00000000000057,-705.0000000000001,,-1909.9999999999923
2018.10.16,-1333.9999999999907,282.9999999999888,-612.0000000000232,290.9999999999968,184.00000000000637,-725.9999999999933,,-1914.000000000015
2018.10.16,-1241.0000000000032,323.0000000000066,-649.0000000000009,221.00000000000452,165.9999999999995,-684.9999999999911,,-1864.9999999999845
2018.10.16,-1249.9999999999955,370.00000000000364,-641.9999999999959,219.99999999999798,185.99999999999727,-707.9999999999975,,-1823.99999999999
2018.10.16,-1048.9999999999889,317.9999999999961,-544.0000000000111,351.0000000000124,228.00000000000597,-651.999999999997,,-1347.9999999999825
2018.10.16,-1031.9999999999884,319.0000000000026,-566.0000000000025,478.0000000000006,256.99999999999613,-619.9999999999983,,-1163.9999999999895
2018.10.16,-1113.9999999999927,302.0000000000023,-561.000000000007,561.0000000000115,287.9999999999994,-571.9999999999948,,-1095.9999999999814
2018.10.16,-1156.0000000000014,319.0000000000026,-599.000000000018,431.0000000000036,194.0000000000053,-642.9999999999936,,-1454.0000000000016
2018.10.16,-1102.9999999999873,300.99999999999574,-593.0000000000177,389.0000000000171,170.00000000000347,-670.9999999999993,,-1506.9999999999882
2018.10.16,-1058.9999999999877,285.00000000000193,-524.0000000000009,324.0000000000132,141.00000000000225,-689.9999999999907,,-1522.999999999962
2018.10.16,-1095.999999999986,292.00000000000335,-590.0000000000034,280.9999999999979,102.99999999999754,-685.9999999999977,,-1695.9999999999882
2018.10.16,-1114.9999999999993,292.00000000000335,-622.0000000000141,287.9999999999994,111.00000000000554,-678.9999999999962,,-1725.0000000000014
