date,USDCAD,AUDUSD,NZDUSD,GBPJPY,EURJPY,CADJPY,NZDJPY,AUDCAD,empty,sum
2019.01.15,-175.00000000001404,23.00000000000635,190.99999999999673,807.0000000000164,400.99999999999625,146.0000000000008,361.99999999999477,119.00000000000244,,1874.0
2019.01.15,-194.0000000000053,4.000000000004,150.00000000000568,677.9999999999973,305.9999999999974,97.00000000000841,280.00000000000114,96.00000000000719,,1417.000000000016
2019.01.15,-165.00000000001512,34.000000000000696,175.99999999999838,641.9999999999959,316.99999999999307,123.00000000000466,317.99999999999784,102.00000000000209,,1546.9999999999775
2019.01.15,-104.99999999999955,58.000000000002494,168.99999999999693,472.0000000000084,278.99999999999636,130.00000000000966,278.0000000000058,84.0000000000063,,1365.0000000000264
2019.01.15,-87.00000000001484,43.00000000000415,94.00000000000519,308.9999999999975,121.99999999999989,171.00000000000648,227.00000000000387,65.00000000000395,,944.0000000000063
2019.01.15,-101.00000000001774,-21.999999999999797,90.0000000000012,336.00000000001273,93.99999999999409,118.00000000000921,185.00000000000227,-4.999999999999449,,695.0000000000025
2019.01.15,-270.00000000001467,-124.99999999999733,7.0000000000014495,163.0000000000109,-298.0000000000018,-15.000000000000568,79.9999999999983,-15.999999999993797,,-473.99999999999756
2019.01.15,-270.99999999999903,-134.99999999999625,-25.999999999992696,36.000000000001364,-238.00000000001376,-6.000000000000227,36.000000000001364,-19.999999999997797,,-623.999999999997
2019.01.15,-229.00000000001253,-101.99999999999099,-24.999999999997247,81.00000000001728,-211.00000000001273,21.000000000000796,40.99999999999682,-48.99999999999905,,-472.99999999999767
2019.01.15,-164.00000000000858,-107.99999999999699,-10.999999999994348,-182.99999999999272,-386.0000000000099,24.00000000000091,43.00000000000637,-111.99999999998988,,-896.9999999999851
2019.01.15,-106.00000000000608,-104.99999999999955,-17.000000000000348,-187.99999999998818,-313.0000000000024,58.000000000006935,24.00000000000091,-123.99999999999079,,-770.9999999999795
2019.01.15,-147.00000000000824,-139.99999999999568,-43.999999999999595,-159.9999999999966,-491.00000000001387,-91.99999999999875,-120.00000000000455,-121.99999999999989,,-1316.0000000000173
2019.01.15,-260.0000000000158,-212.99999999999653,-102.00000000000209,-293.9999999999827,-684.0000000000117,-155.9999999999917,-192.99999999999784,-175.99999999999838,,-2077.9999999999964
2019.01.15,-230.00000000001907,-235.99999999999176,-121.99999999999989,-331.99999999999363,-535.0000000000108,-119.99999999999034,-182.00000000000216,-187.9999999999993,,-1945.000000000007
2019.01.15,-187.00000000000384,-199.9999999999891,-115.99999999999389,-173.99999999997817,-392.0000000000101,5.000000000009663,-121.99999999999989,-245.99999999999068,,-1431.9999999999561
2019.01.15,-85.00000000000173,-163.99999999999747,-109.99999999999899,-292.0000000000016,-448.0000000000075,-15.999999999991132,-194.00000000000261,-241.99999999999778,,-1550.9999999999986
2019.01.15,-51.000000000001044,-121.99999999999989,-0.999999999995449,-384.9999999999909,-389.00000000001,-12.000000000000455,-45.000000000001705,-176.99999999999383,,-1181.9999999999932
2019.01.15,-15.00000000000945,-107.99999999999699,2.000000000002,-318.9999999999884,-328.00000000000296,16.000000000005343,-28.999999999996362,-225.99999999999287,,-1006.9999999999797
2019.01.15,-21.00000000000435,-193.99999999999417,-47.9999999999925,-456.99999999999363,-277.000000000001,91.00000000000819,-52.99999999999727,-371.99999999999454,,-1330.9999999999693
2019.01.15,-26.999999999999247,-173.9999999999964,-29.999999999996696,-468.9999999999941,-281.0000000000059,121.00000000000932,18.000000000000682,-284.9999999999908,,-1126.9999999999732
2019.01.15,-222.00000000001108,-212.99999999999653,-141.00000000000225,-915.9999999999968,-594.0000000000083,51.00000000000193,-46.00000000000648,-234.99999999999633,,-2316.000000000016
2019.01.15,-330.0000000000081,-247.99999999999267,-181.9999999999933,-870.0000000000045,-597.0000000000084,10.000000000005116,-75.9999999999934,-164.99999999999292,,-2457.999999999988
2019.01.15,-245.0000000000063,-200.99999999999562,-156.99999999999602,-1110.99999999999,-643.0000000000007,73.0000000000075,-46.999999999997044,-137.9999999999937,,-2468.999999999972
2019.01.15,-310.0000000000103,-258.9999999999981,-209.9999999999991,-1189.9999999999977,-640.0000000000006,8.000000000009777,-125.0,-189.99999999999017,,-2915.9999999999864
2019.01.15,-372.00000000001677,-293.99999999999426,-241.99999999999778,-1320.999999999998,-706.0000000000031,-51.9999999999925,-156.0000000000059,-206.99999999999054,,-3349.999999999999
2019.01.15,-426.00000000001523,-273.9999999999965,-219.00000000000253,-1570.999999999998,-741.0000000000139,-111.99999999999477,-174.99999999999716,-141.99999999999767,,-3660.000000000016
2019.01.15,-402.0000000000135,-264.999999999993,-215.99999999999397,-1542.999999999978,-746.0000000000093,-138.9999999999958,-200.9999999999934,-144.99999999999514,,-3656.9999999999714
2019.01.15,-428.00000000000614,-294.9999999999897,-207.00000000000162,-2060.9999999999786,-921.0000000000065,-244.99999999999034,-293.00000000000637,-136.99999999999824,,-4586.999999999977
