date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURAUD,EURNZD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2018.06.27,-874.9999999999925,-1116.000000000006,1004.9999999999892,-314.9999999999977,-462.9999999999912,-827.0,-1119.9999999999989,-9.999999999998899,-455.0000000000125,445.99999999999085,529.9999999999972,-36.0000000000027,-807.9999999999927,-887.9999999999999,-611.000000000006,507.000000000013,1584.0000000000077,674.0000000000066,-1034.9999999999966,-770.000000000004,-1170.9999999999998,-705.0000000000001,,-6458.999999999995
2018.06.27,-923.9999999999915,-1215.0000000000105,1065.0000000000048,-353.9999999999992,-448.000000000004,-855.9999999999901,-1131.0000000000043,24.999999999986144,-468.0000000000035,488.999999999995,509.00000000000387,-58.000000000002494,-870.0000000000045,-1040.0000000000186,-540.0000000000072,483.0000000000112,1527.0000000000116,676.0000000000019,-1019.999999999996,-817.000000000001,-1195.999999999997,-685.0000000000023,,-6848.000000000018
2018.06.27,-980.9999999999985,-1293.9999999999952,1144.999999999996,-464.9999999999892,-870.9999999999995,-1010.9999999999952,-1236.0000000000039,25.999999999992696,-422.00000000001125,293.99999999999426,594.0000000000057,-48.000000000003595,-806.999999999988,-584.0000000000067,-813.0000000000192,706.0000000000066,1712.0000000000025,767.0000000000101,-1078.9999999999936,-711.000000000006,-1057.9999999999923,-615.00000000001,,-6751.000000000005
2018.06.27,-940.9999999999918,-1364.999999999994,1103.9999999999939,-403.99999999999636,-998.9999999999943,-1068.9999999999977,-1225.9999999999939,152.99999999998093,-439.00000000000716,195.9999999999962,611.000000000006,-127.99999999999478,-966.9999999999845,-518.0000000000184,-859.0000000000098,887.9999999999999,1744.0000000000123,873.0000000000047,-1108.000000000004,-700.0000000000006,-961.0000000000008,-510.99999999999477,,-6625.999999999989
2018.06.27,-934.9999999999969,-1336.0000000000039,1042.0000000000095,-381.0000000000002,-906.9999999999911,-979.999999999992,-1146.0000000000025,130.99999999999224,-456.00000000000307,241.99999999999778,536.9999999999986,-154.99999999999403,-965.0000000000034,-604.0000000000045,-679.0000000000074,780.000000000003,1635.999999999993,793.9999999999969,-1039.0000000000014,-651.0000000000016,-925.9999999999935,-516.0000000000053,,-6514.00000000001
2018.06.27,-927.0,-1383.000000000001,1110.9999999999952,-397.99999999999613,-689.9999999999907,-1014.9999999999992,-1307.999999999998,195.9999999999962,-490.0000000000091,306.9999999999906,640.0000000000073,-95.00000000000064,-1001.0000000000048,-914.0000000000148,-540.0000000000072,649.0000000000107,1306.000000000007,805.9999999999974,-1149.9999999999914,-800.0000000000007,-1176.9999999999948,-391.9999999999924,,-7264.999999999995
2018.06.28,-883.9999999999959,-1307.999999999998,1042.0000000000095,-345.9999999999894,-634.0000000000013,-960.9999999999897,-1136.999999999999,180.99999999998673,-499.00000000000944,339.99999999999585,538.0000000000051,-122.99999999999534,-1001.0000000000048,-931.0000000000151,-598.0000000000097,707.0000000000132,1488.0000000000005,787.9999999999967,-1034.9999999999966,-845.0000000000068,-1084.9999999999916,-496.00000000000756,,-6799.000000000005
2018.06.28,-878.9999999999965,-1327.999999999996,1048.0000000000045,-378.9999999999907,-626.9999999999998,-953.9999999999993,-1051.9999999999973,190.00000000000128,-478.9999999999992,342.9999999999933,461.0000000000003,-129.9999999999968,-960.000000000008,-955.0000000000169,-606.0000000000176,687.9999999999998,1320.00000000001,766.0000000000053,-920.0000000000017,-833.0000000000059,-978.9999999999966,-405.9999999999952,,-6671.000000000003
2018.06.28,-922.0000000000006,-1293.9999999999952,1039.9999999999966,-403.99999999999636,-658.0000000000031,-962.9999999999916,-1044.0000000000005,105.99999999998388,-435.0000000000023,367.99999999999056,424.00000000000216,-124.00000000000189,-884.9999999999909,-880.0000000000141,-690.0000000000128,743.0000000000048,1336.0000000000039,757.000000000005,-888.9999999999958,-823.000000000007,-946.9999999999978,-384.00000000000654,,-6568.000000000031
2018.06.28,-922.999999999996,-1296.0000000000082,1038.0000000000057,-375.0,-666.9999999999953,-964.9999999999936,-1051.9999999999973,97.9999999999981,-453.00000000000296,367.99999999999056,426.9999999999996,-129.00000000000134,-925.9999999999877,-870.0000000000152,-697.0000000000143,756.0000000000011,1361.9999999999966,778.0000000000058,-917.9999999999922,-809.9999999999997,-949.9999999999953,-395.99999999999636,,-6599.999999999998
