date,USDCHF,USDJPY,USDCAD,AUDUSD,CADCHF,EURJPY,AUDJPY,empty,sum
2020.11.10,1497.9999999999993,1873.9999999999952,-382.0000000000157,-181.00000000000892,1436.0000000000039,1481.9999999999993,-1635.9999999999957,,4090.9999999999773
2020.11.10,1815.0,2010.9999999999957,-314.99999999999864,-191.00000000000784,1604.0000000000055,1509.0000000000005,-1686.9999999999977,,4745.999999999996
2020.11.10,1906.0000000000077,2059.999999999988,-240.00000000001796,-119.00000000000244,1600.0000000000014,1435.9999999999927,-1662.9999999999968,,4979.999999999973
2020.11.10,1807.9999999999984,1944.9999999999932,-173.00000000000094,-45.000000000006146,1561.9999999999968,1325.9999999999934,-1573.9999999999982,,4848.999999999977
2020.11.10,1777.0000000000064,1887.0000000000005,-255.00000000000523,-128.00000000000588,1550.0000000000068,1339.999999999989,-1546.999999999997,,4623.9999999999945
2020.11.10,1731.0000000000048,1858.9999999999945,-304.9999999999997,-149.00000000001023,1495.0000000000018,1405.0000000000011,-1582.9999999999984,,4452.999999999994
2020.11.10,1770.000000000005,1893.9999999999914,-148.00000000001478,-82.99999999999974,1463.0000000000032,1387.0000000000005,-1519.999999999996,,4762.999999999989
2020.11.10,1788.0000000000007,1937.9999999999882,-189.00000000001694,-94.00000000000519,1461.9999999999966,1518.0000000000007,-1539.0000000000014,,4883.999999999964
2020.11.10,1758.9999999999995,1908.9999999999918,-55.000000000005045,64.99999999999284,1453.9999999999998,1474.9999999999943,-1361.000000000004,,5245.999999999969
2020.11.10,1590.999999999998,1897.9999999999961,-306.00000000000625,-28.000000000005798,1433.0000000000066,1491.9999999999902,-1483.000000000004,,4596.9999999999745
2020.11.10,1595.000000000002,1982.99999999999,-302.0000000000023,-20.0000000000089,1429.999999999998,1577.9999999999886,-1481.9999999999993,,4781.999999999968
2020.11.10,1605.000000000001,1914.999999999992,-326.0000000000041,22.999999999995246,1429.0000000000025,1625.9999999999905,-1429.000000000002,,4842.9999999999745
2020.11.10,1539.0000000000014,1879.9999999999955,-262.00000000000665,20.999999999993246,1375.9999999999995,1539.0000000000014,-1399.000000000001,,4693.999999999983
2020.11.10,1512.9999999999977,1882.9999999999955,-357.00000000000733,-20.0000000000089,1399.0000000000057,1572.9999999999932,-1460.9999999999986,,4529.999999999978
2020.11.10,1514.0000000000043,1966.9999999999986,-534.9999999999966,-30.000000000007798,1416.0000000000061,1571.9999999999886,-1510.000000000005,,4393.999999999987
2020.11.10,1588.0000000000005,2015.0000000000005,-472.00000000000574,-116.00000000000499,1521.0000000000057,1643.0000000000007,-1605.9999999999945,,4573.000000000002
2020.11.10,1621.0000000000057,1960.9999999999986,-341.00000000001353,-107.00000000000153,1477.0000000000061,1643.0000000000007,-1572.9999999999932,,4681.000000000004
2020.11.10,1616.0000000000064,1982.99999999999,-331.999999999999,-88.00000000001029,1490.999999999998,1677.9999999999973,-1557.0000000000023,,4790.99999999998
2020.11.10,1658.9999999999993,1998.9999999999952,-341.99999999999784,-53.00000000000304,1492.0000000000045,1670.9999999999923,-1534.9999999999966,,4890.9999999999945
2020.11.10,1646.9999999999984,1994.9999999999905,-341.00000000001353,-98.0000000000092,1514.9999999999998,1711.999999999989,-1567.9999999999977,,4861.999999999958
2020.11.10,1672.0000000000068,1973.9999999999895,-339.0000000000004,-118.00000000000699,1510.0000000000002,1594.9999999999989,-1587.0000000000032,,4706.999999999985
2020.11.10,1728.0000000000073,1987.9999999999995,-187.00000000000384,-78.00000000000028,1465.0000000000052,1589.999999999989,-1546.0000000000064,,4959.999999999991
2020.11.10,1727.0000000000007,1987.9999999999995,-113.00000000000753,-41.000000000002146,1434.000000000002,1515.9999999999911,-1528.000000000006,,4982.999999999976
2020.11.10,1773.9999999999977,1964.999999999989,-40.0000000000178,-74.00000000000739,1453.9999999999998,1539.999999999992,-1539.0000000000014,,5079.999999999953
2020.11.10,1736.000000000004,1927.9999999999973,-175.99999999999838,-121.00000000000443,1429.0000000000025,1568.9999999999884,-1581.0000000000032,,4783.999999999985
2020.11.11,1471.0,1947.9999999999932,-239.00000000001143,-106.00000000000608,1224.9999999999984,1549.9999999999973,-1563.999999999993,,4284.999999999979
2020.11.11,1600.0000000000014,1951.9999999999982,-136.00000000000279,-130.0000000000079,1314.000000000004,1616.9999999999902,-1579.9999999999982,,4636.9999999999845
2020.11.11,1680.999999999999,1946.9999999999886,-107.00000000001265,-148.0000000000037,1409.0000000000048,1609.9999999999995,-1605.000000000004,,4786.999999999973
2020.11.11,1734.9999999999977,1944.9999999999932,-97.00000000001374,-102.00000000000209,1436.0000000000039,1596.999999999994,-1551.0000000000018,,4962.999999999971
2020.11.11,1682.0000000000057,1812.9999999999882,-104.00000000001519,-112.000000000001,1419.999999999999,1528.9999999999964,-1563.999999999993,,4663.99999999998
2020.11.11,1672.0000000000068,1814.9999999999977,-80.99999999999774,-127.00000000001043,1375.9999999999995,1478.999999999999,-1493.9999999999998,,4639.999999999995
2020.11.11,1646.000000000003,1760.9999999999957,-80.00000000001339,-181.00000000000892,1373.000000000002,1430.9999999999973,-1533.0000000000014,,4416.9999999999745
2020.11.11,1629.0000000000027,1707.9999999999984,-189.00000000001694,-196.00000000000728,1383.000000000001,1393.0000000000007,-1503.0,,4224.999999999979
