date,GBPUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.04.13,-548.9999999999995,513.9999999999923,-109.00000000000354,-166.99999999999494,-126.0000000000039,198.0000000000075,187.9999999999993,-45.99999999999049,-112.99999999999643,-259.9999999999909,147.99999999999613,870.9999999999995,641.999999999987,206.00000000000307,4.0000000000048885,-73.99999999999807,,1327.0000000000118
2021.04.13,-625.0000000000089,573.0000000000013,-100.99999999999554,-205.99999999999508,-124.99999999999733,224.00000000000375,244.99999999999523,-7.0000000000014495,-122.99999999999534,-275.0000000000057,191.0000000000025,912.0000000000017,556.9999999999853,274.0000000000009,28.999999999996362,-96.00000000000364,,1446.999999999984
2021.04.13,-669.9999999999928,577.0000000000052,-100.00000000000009,-196.99999999999162,-187.99999999998818,301.00000000000193,153.00000000000313,-75.9999999999983,-151.9999999999966,-367.999999999995,210.9999999999843,883.9999999999959,604.9999999999889,263.9999999999958,31.999999999996476,-65.00000000001194,,1210.9999999999973
2021.04.13,-642.0000000000092,564.9999999999933,-82.99999999999974,-156.99999999999602,-153.9999999999875,298.0000000000018,170.99999999999892,-63.99999999999739,-148.99999999999915,-353.999999999985,188.99999999999295,853.9999999999992,610.9999999999837,224.99999999999432,11.00000000000989,-64.00000000000716,,1256.9999999999927
2021.04.13,-408.9999999999927,601.000000000007,-31.999999999998696,-90.99999999999665,-150.99999999999002,219.99999999999886,161.99999999999548,-45.99999999999049,-112.000000000001,-198.0000000000075,158.99999999999181,837.9999999999832,669.9999999999928,210.99999999999852,24.00000000000091,-52.00000000000671,,1793.999999999985
2021.04.13,-340.00000000000693,672.0000000000059,-14.999999999998348,-73.00000000000084,-102.99999999998644,282.0000000000107,241.99999999999778,25.00000000000835,-44.99999999999504,-90.00000000000341,198.99999999998386,939.0000000000009,751.9999999999972,296.0000000000065,76.99999999999818,21.99999999999136,,2840.0000000000095
2021.04.13,-269.00000000000813,844.0000000000003,75.00000000000284,-15.999999999993797,-65.00000000000395,181.0000000000116,383.0,138.00000000000477,34.99999999999615,-9.999999999990905,138.00000000000523,1163.9999999999873,909.9999999999886,391.00000000000534,150.00000000000568,45.99999999999227,,4095.000000000004
2021.04.13,-232.99999999999432,832.9999999999949,82.00000000000429,-21.999999999999797,-85.99999999998609,82.99999999999841,373.00000000000114,137.00000000000932,29.000000000001247,-75.9999999999934,46.999999999997044,1184.9999999999916,919.9999999999875,344.99999999999886,100.00000000000853,-11.00000000000989,,3706.0000000000095
2021.04.13,-442.00000000000904,622.9999999999958,-88.99999999999464,-207.00000000000162,-102.99999999998644,-6.999999999990791,395.99999999999636,153.00000000000313,29.000000000001247,-179.00000000000205,-46.00000000002069,1115.9999999999836,895.0000000000014,343.9999999999941,105.00000000000398,-20.000000000010232,,2567.9999999999645
2021.04.13,-353.0000000000033,442.9999999999934,-85.99999999999719,-197.99999999999818,-110.99999999999443,-51.00000000000193,356.9999999999962,182.99999999999983,62.000000000006494,104.99999999998977,-137.00000000000045,1176.9999999999836,1042.9999999999939,236.0000000000042,78.00000000000296,-33.00000000000125,,2714.999999999973
2021.04.13,-516.9999999999897,326.0000000000041,-190.00000000000128,-225.99999999999287,-143.99999999998857,-51.9999999999925,304.9999999999997,97.00000000000264,43.999999999999595,-61.00000000000705,-117.00000000001864,1103.9999999999939,1058.9999999999877,185.00000000000227,-3.9999999999906777,-31.00000000000591,,1778.000000000003
2021.04.13,-530.9999999999926,307.00000000001285,-209.9999999999991,-184.99999999999073,-130.99999999999224,-39.00000000000148,314.0000000000032,104.00000000000409,80.99999999999774,-56.99999999998795,-147.99999999999613,1120.9999999999943,1147.9999999999934,177.0000000000067,-9.999999999990905,4.9999999999954525,,1946.0000000000568
2021.04.13,-401.99999999999125,231.0000000000034,-181.9999999999933,-134.0000000000008,-117.99999999999588,-3.0000000000001137,209.00000000000364,84.0000000000063,97.9999999999981,37.00000000000614,-117.999999999995,866.9999999999956,1158.9999999999989,129.99999999999545,-1.9999999999953388,25.99999999999625,,1882.0000000000323
2021.04.13,-398.00000000000944,144.0000000000108,-165.9999999999995,-156.99999999999602,-129.00000000000134,39.00000000000148,151.9999999999966,87.99999999999919,55.000000000005045,74.00000000001228,-28.999999999996362,804.9999999999891,1096.9999999999925,52.00000000000671,19.000000000005457,12.000000000000455,,1658.0000000000168
