date,EURUSD,USDCAD,AUDCHF,EURJPY,EURAUD,empty,sum
2019.11.12,131.99999999999878,-124.99999999999733,-383.0,-75.9999999999934,-548.9999999999995,,-1000.9999999999915
2019.11.12,150.00000000000568,-120.99999999999334,-356.00000000000074,-74.99999999998863,-526.0000000000042,,-927.9999999999812
2019.11.12,146.00000000000168,-140.99999999999113,-381.99999999999346,-93.99999999999409,-577.9999999999897,,-1048.9999999999668
2019.11.12,144.0000000000108,-147.99999999999258,-364.9999999999931,-28.999999999996362,-509.99999999998823,,-907.9999999999595
2019.11.12,121.99999999999989,-171.99999999999437,-337.99999999999386,-0.999999999990564,-497.99999999999847,,-886.9999999999774
2019.11.12,96.00000000000719,-239.99999999999577,-409.99999999999926,-24.00000000000091,-621.0000000000049,,-1198.9999999999936
2019.11.12,80.99999999999774,-234.00000000000088,-441.99999999999795,-33.999999999991815,-795.9999999999967,,-1424.9999999999895
2019.11.12,78.00000000000028,-230.9999999999812,-409.0000000000038,-24.999999999991473,-739.0000000000008,,-1325.999999999977
2019.11.12,92.00000000000318,-223.99999999997976,-392.00000000000347,-21.99999999999136,-695.0000000000011,,-1240.9999999999725
2019.11.12,120.00000000000898,-185.99999999999727,-390.99999999999693,17.000000000010118,-740.9999999999917,,-1180.9999999999668
2019.11.12,133.99999999998968,-205.99999999999508,-363.0000000000022,15.000000000000568,-669.9999999999928,,-1090.0
2019.11.12,137.00000000000932,-200.99999999998454,-361.0000000000002,15.000000000000568,-670.9999999999993,,-1080.999999999974
2019.11.12,140.0000000000068,-158.99999999999804,-319.99999999999807,30.000000000001137,-581.9999999999936,,-890.9999999999818
2019.11.12,139.00000000000023,-165.9999999999995,-293.99999999999426,43.00000000000637,-550.000000000006,,-827.9999999999932
2019.11.12,147.99999999999258,-126.99999999998823,-258.9999999999981,96.00000000000364,-483.99999999999557,,-625.9999999999857
2019.11.12,150.99999999999002,-127.99999999999478,-203.99999999999307,189.00000000000716,-431.99999999998795,,-423.9999999999786
2019.11.12,107.99999999999699,-123.99999999999079,-202.0000000000022,130.00000000000966,-377.0000000000051,,-464.9999999999915
2019.11.12,85.00000000000173,-151.9999999999966,-229.00000000000142,88.99999999999864,-371.99999999999454,,-578.9999999999922
2019.11.12,39.999999999995595,-245.99999999999068,-336.00000000000296,14.000000000010004,-556.0000000000009,,-1083.999999999989
2019.11.12,2.999999999997449,-300.99999999999574,-376.99999999999403,-10.99999999999568,-608.9999999999928,,-1294.999999999981
2019.11.12,52.000000000007596,-299.99999999998914,-351.0000000000013,16.000000000005343,-618.0000000000074,,-1200.999999999985
2019.11.12,93.00000000000975,-306.9999999999906,-390.99999999999693,16.000000000005343,-741.9999999999982,,-1330.9999999999707
2019.11.12,51.000000000001044,-276.9999999999939,-415.99999999999415,-39.99999999999204,-716.0000000000056,,-1397.9999999999845
2019.11.12,19.999999999997797,-282.9999999999888,-368.00000000000165,-63.99999999999295,-689.9999999999907,,-1384.9999999999764
2019.11.12,-25.00000000000835,-274.9999999999808,-336.00000000000296,-81.99999999999363,-653.999999999999,,-1371.9999999999845
2019.11.12,-55.99999999998939,-324.9999999999975,-297.9999999999983,-83.99999999998897,-611.000000000006,,-1373.9999999999802
2019.11.12,-75.00000000000284,-290.9999999999968,-270.0000000000036,-134.00000000000034,-496.99999999999187,,-1266.9999999999955
2019.11.12,-52.000000000007596,-240.9999999999801,-236.00000000000287,-120.99999999999511,-400.00000000000034,,-1049.999999999986
2019.11.12,-55.000000000005045,-248.99999999998812,-242.99999999999324,-150.99999999999625,-361.9999999999957,,-1059.9999999999782
2019.11.12,-59.000000000009045,-162.99999999997982,-273.9999999999965,-143.99999999999125,-383.0,,-1022.9999999999766
2019.11.12,-8.999999999992347,-11.999999999989797,-282.99999999999994,-186.9999999999976,-385.99999999999744,,-876.9999999999771
2019.11.12,-46.999999999997044,-62.99999999999084,-339.99999999999585,-197.9999999999933,-470.9999999999992,,-1118.9999999999764
2019.11.12,-73.99999999999629,-49.99999999999449,-385.000000000002,-167.99999999999216,-543.0000000000045,,-1219.9999999999895
2019.11.12,-160.00000000000458,-64.99999999998174,-375.0000000000031,-219.99999999999886,-492.9999999999879,,-1312.9999999999761
2019.11.12,-93.99999999999409,-96.99999999999153,-441.99999999999795,-197.9999999999933,-445.0000000000065,,-1275.9999999999834
2019.11.12,-68.00000000000139,-73.99999999999629,-431.99999999999903,-248.99999999999523,-445.0000000000065,,-1267.9999999999984
2019.11.12,-53.999999999998494,-112.99999999998533,-419.9999999999982,-235.99999999999,-367.99999999999056,,-1190.9999999999627
2019.11.12,-120.00000000000898,-126.99999999998823,-436.00000000000307,-320.99999999999795,-356.00000000000074,,-1359.9999999999989
2019.11.12,-103.99999999999298,-51.000000000001044,-456.9999999999963,-311.9999999999976,-330.0000000000081,,-1253.999999999996
2019.11.12,-124.99999999999733,-30.999999999981043,-448.000000000004,-329.9999999999983,-316.0000000000052,,-1249.999999999986
2019.11.12,-133.00000000000534,-39.999999999995595,-456.9999999999963,-411.9999999999919,-326.0000000000041,,-1367.9999999999932
2019.11.12,-97.9999999999981,-30.999999999981043,-461.99999999999574,-426.00000000000193,-330.0000000000081,,-1346.999999999985
2019.11.12,-107.99999999999699,-100.99999999999554,-475.0000000000032,-396.99999999999136,-329.00000000000153,,-1409.9999999999886
2019.11.12,-109.00000000000354,-143.99999999998857,-475.0000000000032,-399.9999999999915,-350.00000000000585,,-1477.9999999999927
2019.11.12,-99.99999999998899,-139.00000000000023,-463.9999999999977,-408.9999999999918,-351.99999999999676,,-1463.9999999999754
2019.11.12,-116.99999999998934,-176.99999999998272,-480.99999999999807,-430.9999999999974,-371.99999999999454,,-1577.999999999962
2019.11.13,-116.99999999998934,-95.999999999985,-497.99999999999847,-423.9999999999924,-370.999999999988,,-1505.9999999999532
2019.11.13,-89.99999999999008,-89.99999999999008,-486.999999999993,-403.99999999999636,-398.9999999999938,,-1469.9999999999634
2019.11.13,-80.99999999999774,-121.99999999999989,-486.999999999993,-400.99999999999625,-394.9999999999898,,-1485.9999999999766
2019.11.13,-69.00000000000794,-122.99999999998423,-465.9999999999998,-370.9999999999951,-371.99999999999454,,-1400.9999999999816
2019.11.13,-100.99999999999554,-159.99999999998238,-497.99999999999847,-430.9999999999974,-441.0000000000025,,-1630.9999999999761
