timeframe,profit,0,timeframe1,drawup,1,timeframe2,drawdown
2021.10.28 16:30,3307.0000000000555,,2021.10.29 21:30,1562.9999999999768,,2021.10.26 01:30,96.00000000001961
2021.10.28 16:00,2748.0000000000355,,2021.10.28 08:30,1561.0000000000555,,2021.10.26 07:00,108.00000000003621
2021.10.28 15:30,1695.0000000000364,,2021.10.28 10:00,1551.000000000025,,2021.10.29 17:00,111.00000000003274
2021.10.28 15:00,1062.0000000000327,,2021.10.29 20:00,1511.000000000026,,2021.10.26 03:00,116.00000000004809
2021.10.28 14:30,1078.9999999999984,,2021.10.29 22:30,1465.000000000039,,2021.10.26 07:30,123.00000000003416
2021.10.28 14:00,1232.0000000000055,,2021.10.28 09:30,1460.9999999999995,,2021.10.25 02:30,123.00000000004769
2021.10.28 13:30,1338.0000000000095,,2021.10.28 05:00,1445.0000000000043,,2021.10.26 08:00,131.00000000001592
2021.10.28 13:00,1080.0000000000366,,2021.10.29 15:00,1439.0000000000002,,2021.10.25 16:30,143.0000000000228
2021.10.28 12:30,788.0000000000083,,2021.10.28 11:00,1433.000000000041,,2021.10.26 15:00,159.00000000003342
2021.10.28 12:00,827.0000000000296,,2021.10.28 13:30,1338.0000000000095,,2021.10.26 06:00,167.00000000000773
2021.10.28 11:30,1111.0000000000055,,2021.10.28 06:00,1298.000000000022,,2021.10.28 03:00,173.00000000006025
2021.10.28 11:00,1433.000000000041,,2021.10.28 14:00,1232.0000000000055,,2021.10.27 04:00,203.00000000005252
2021.10.28 10:30,2095.0000000000446,,2021.10.29 14:30,1214.000000000015,,2021.10.27 08:00,208.00000000001808
2021.10.28 10:00,1551.000000000025,,2021.10.27 10:30,1211.0000000000523,,2021.10.26 08:30,229.00000000001938
2021.10.28 09:30,1460.9999999999995,,2021.10.29 18:30,1175.0000000000182,,2021.10.28 01:30,248.0000000000117
2021.10.28 09:00,1825.000000000011,,2021.10.29 16:00,1175.000000000009,,2021.10.25 18:30,250.00000000001154
2021.10.28 08:30,1561.0000000000555,,2021.10.25 21:00,1127.0000000000343,,2021.10.25 00:00,252.00000000003797
2021.10.28 08:00,1928.000000000019,,2021.10.29 14:00,1117.0000000000346,,2021.10.27 02:30,262.0000000000043
2021.10.28 07:30,2005.0000000000207,,2021.10.29 15:30,1113.00000000001,,2021.10.27 03:00,262.0000000000315
2021.10.28 07:00,2131.0000000000505,,2021.10.28 11:30,1111.0000000000055,,2021.10.27 07:00,267.0000000000183
2021.10.28 06:30,1817.000000000072,,2021.10.28 13:00,1080.0000000000366,,2021.10.26 01:00,276.9999999999977
2021.10.28 06:00,1298.000000000022,,2021.10.28 14:30,1078.9999999999984,,2021.10.29 16:30,297.0000000000548
2021.10.28 05:30,1632.0000000000598,,2021.10.28 15:00,1062.0000000000327,,2021.10.25 04:00,298.0000000000578
