date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,NZDJPY,AUDNZD,empty,sum
2017.05.24,-266.999999999995,394.00000000000546,-123.00000000000644,-826.9999999999982,790.0000000000018,312.00000000000114,221.00000000000452,177.00000000000495,599.9999999999943,-722.9999999999959,-493.99999999999443,-1220.9999999999943,339.0000000000004,368.9999999999998,1714.9999999999998,-1476.999999999995,876.9999999999953,-883.9999999999959,-741.0000000000139,-2432.000000000012,-1802.0000000000068,956.0000000000013,,-4240.999999999999
2017.05.24,-262.999999999991,343.00000000000443,-165.00000000001512,-772.9999999999961,825.9999999999934,334.00000000000097,228.00000000000597,191.00000000000784,540.9999999999968,-699.0000000000052,-502.9999999999979,-1244.9999999999961,334.00000000000097,195.99999999999795,1722.0000000000014,-1523.999999999992,800.9999999999877,-870.9999999999995,-773.0000000000015,-2442.000000000011,-1725.0000000000086,964.9999999999936,,-4502.000000000023
2017.05.24,-158.99999999999804,314.99999999999864,-187.00000000000384,-640.0000000000006,856.9999999999967,384.00000000000654,282.0000000000045,190.00000000000128,572.9999999999933,-658.9999999999985,-517.9999999999962,-1268.999999999998,390.0000000000015,245.00000000000455,1713.0000000000089,-1549.9999999999848,844.9999999999989,-754.9999999999945,-773.0000000000015,-2481.0,-1788.000000000011,1039.9999999999966,,-3944.9999999999754
2017.05.24,-121.99999999999989,263.99999999999756,-214.00000000000307,-589.9999999999892,947.9999999999933,470.00000000000375,253.99999999999866,167.00000000000603,566.0000000000025,-656.9999999999965,-531.9999999999991,-1336.9999999999993,358.0000000000028,217.00000000001296,1712.0000000000025,-1610.9999999999848,814.9999999999977,-761.999999999996,-845.0000000000068,-2673.000000000014,-1853.999999999999,1049.9999999999955,,-4375.9999999999745
2017.05.24,-51.99999999999649,171.99999999999437,-205.99999999999508,-552.9999999999973,963.0000000000027,504.00000000000443,228.00000000000597,157.99999999999147,563.999999999993,-655.0000000000056,-553.0000000000035,-1317.0000000000016,312.00000000000114,259.9999999999909,1665.0000000000055,-1642.9999999999945,780.9999999999917,-821.000000000005,-929.000000000002,-2666.0000000000127,-1847.0000000000084,1001.9999999999918,,-4633.00000000005
2017.05.25,-64.99999999999284,208.99999999999253,-209.00000000001472,-512.999999999991,1011.9999999999907,507.0000000000019,252.0000000000078,116.00000000000499,521.0000000000008,-665.0000000000044,-575.9999999999987,-1246.0000000000027,315.9999999999941,223.99999999998954,1736.000000000004,-1787.9999999999895,771.9999999999914,-812.0000000000127,-905.0000000000002,-2584.9999999999927,-1743.000000000009,960.9999999999897,,-4481.000000000041
2017.05.25,-106.99999999999044,229.99999999999687,-190.00000000000128,-546.999999999997,1036.999999999999,487.99999999999955,204.00000000000418,129.00000000000134,481.9999999999993,-702.0000000000026,-580.9999999999982,-1275.9999999999993,325.99999999999295,300.00000000001137,1757.0000000000086,-1575.9999999999995,798.9999999999924,-876.9999999999944,-876.9999999999944,-2520.9999999999955,-1740.9999999999995,960.0000000000053,,-4282.999999999961
2017.05.25,-106.99999999999044,215.99999999999397,-195.9999999999962,-588.9999999999986,1052.9999999999927,484.00000000000665,226.99999999999943,146.99999999998602,576.9999999999982,-700.0000000000006,-546.000000000002,-1275.9999999999993,314.0000000000032,360.00000000001364,1741.0000000000148,-1510.9999999999957,807.9999999999927,-895.0000000000014,-876.9999999999944,-2564.000000000011,-1786.0000000000014,966.0000000000002,,-4153.999999999989
2017.05.25,-62.99999999999084,198.00000000000927,-248.00000000000378,-612.9999999999995,1038.0000000000057,482.00000000000466,263.99999999999756,168.99999999999693,631.9999999999908,-663.0000000000025,-509.9999999999993,-1215.9999999999948,336.9999999999984,378.0000000000143,1711.000000000018,-1466.9999999999961,879.9999999999955,-807.0000000000022,-792.9999999999993,-2418.000000000009,-1763.0000000000052,966.0000000000002,,-3505.999999999972
2017.05.25,-63.99999999999739,187.00000000000384,-252.0000000000078,-603.9999999999992,1004.9999999999892,469.0000000000083,268.0000000000016,177.99999999998929,659.9999999999966,-658.9999999999985,-497.000000000003,-1205.999999999996,353.0000000000033,388.00000000000523,1635.0000000000086,-1446.9999999999982,926.9999999999925,-781.0000000000094,-761.999999999996,-2391.999999999994,-1756.0000000000002,984.9999999999915,,-3365.0000000000095
2017.05.25,-34.000000000000696,144.99999999999514,-346.0000000000019,-561.9999999999976,984.9999999999915,456.00000000000085,248.99999999998812,190.00000000000128,655.9999999999917,-619.0000000000028,-488.999999999995,-1202.000000000003,351.0000000000013,414.99999999999204,1578.999999999997,-1402.9999999999986,940.9999999999883,-669.0000000000085,-706.0000000000066,-2344.0000000000127,-1757.000000000005,980.0000000000031,,-3184.0000000000814
2017.05.25,-39.999999999995595,158.0000000000137,-321.0000000000157,-619.9999999999903,995.9999999999969,391.000000000008,259.0000000000092,181.9999999999933,685.9999999999928,-643.0000000000047,-414.9999999999987,-1156.0000000000014,359.99999999999363,408.00000000001546,1578.0000000000127,-1278.9999999999857,958.999999999989,-724.0000000000135,-570.0000000000039,-2252.0000000000095,-1731.9999999999993,1015.9999999999947,,-2758.999999999999
2017.05.25,-46.999999999997044,168.99999999999693,-269.00000000000813,-628.0000000000001,1001.0000000000074,373.00000000000114,243.99999999999977,184.99999999999073,683.9999999999975,-641.9999999999982,-414.00000000000324,-1158.0000000000034,351.99999999999676,438.0000000000166,1636.9999999999995,-1259.9999999999945,948.9999999999981,-730.9999999999927,-548.9999999999995,-2251.000000000003,-1734.0000000000089,1015.9999999999947,,-2635.00000000001
