date,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,AUDNZD,empty,sum
2017.05.16,-306.9999999999906,504.9999999999999,-608.0000000000041,-705.0000000000001,350.00000000000585,227.99999999998377,-85.00000000000173,-1107.99999999999,-125.99999999999278,-102.99999999999754,-175.00000000000293,-372.0000000000057,984.0000000000089,-607.9999999999864,-527.9999999999951,-1271.9999999999914,38.0000000000047,-29.999999999996696,-129.99999999998568,-890.9999999999911,-65.99999999998829,,-5008.999999999916
2017.05.16,-350.9999999999902,483.99999999999557,-546.999999999997,-731.9999999999993,367.0000000000062,202.9999999999976,-80.99999999999774,-1057.9999999999927,-127.99999999999478,-109.00000000000354,-197.00000000000273,-329.999999999997,954.0000000000077,-539.0000000000006,-492.0000000000035,-1207.9999999999984,46.0000000000127,-51.000000000001044,-202.9999999999976,-855.9999999999945,-51.000000000001044,,-4878.999999999952
2017.05.16,-358.9999999999982,513.9999999999923,-496.9999999999999,-753.9999999999881,295.0000000000008,226.99999999999943,-107.00000000001265,-1033.9999999999918,-129.9999999999968,-131.99999999999878,-209.9999999999991,-389.000000000006,713.9999999999986,-635.9999999999922,-553.9999999999878,-1181.999999999988,-5.999999999994898,-86.0000000000083,-208.99999999999253,-884.0000000000003,-31.999999999987594,,-5450.999999999951
2017.05.16,-299.99999999998914,520.9999999999936,-388.00000000000523,-754.9999999999945,258.0000000000027,278.00000000000045,-70.0000000000145,-930.9999999999974,-117.00000000000044,-12.999999999996348,-174.00000000000747,-387.000000000004,641.9999999999959,-670.9999999999993,-425.99999999999307,-1052.9999999999973,19.00000000001345,139.00000000000023,-147.99999999999258,-668.9999999999969,96.99999999999153,,-4147.99999999999
2017.05.16,-280.9999999999979,512.0000000000014,-313.99999999999295,-687.9999999999998,143.9999999999997,300.99999999999574,-72.0000000000054,-867.999999999995,-84.99999999999064,56.99999999999594,-143.9999999999997,-383.0,592.000000000013,-562.9999999999802,-234.00000000000088,-984.9999999999994,-95.00000000000064,259.9999999999936,-78.00000000000028,-545.0000000000017,99.00000000000463,,-3369.999999999961
2017.05.16,-284.9999999999797,543.999999999989,-319.9999999999932,-689.9999999999907,173.9999999999964,307.99999999999716,-72.0000000000054,-881.9999999999908,-81.9999999999932,107.00000000000153,-38.0000000000047,-375.9999999999986,640.0000000000148,-516.9999999999897,-89.99999999999008,-1007.9999999999956,-97.9999999999981,373.00000000000114,163.00000000000205,-498.9999999999952,76.99999999999375,,-2570.99999999993
2017.05.16,-311.99999999997897,543.999999999989,-353.9999999999992,-732.9999999999836,146.00000000000168,258.0000000000027,-92.00000000000318,-900.9999999999962,-115.99999999999389,90.0000000000012,-75.00000000000284,-361.0000000000002,675.0000000000114,-574.9999999999922,-127.99999999999478,-1039.999999999992,-12.999999999996348,346.0000000000019,111.00000000001664,-536.0000000000014,65.00000000000395,,-3000.999999999906
2017.05.16,-317.9999999999961,551.9999999999969,-358.99999999999466,-736.9999999999877,146.99999999999713,259.9999999999936,-101.00000000001774,-918.9999999999969,-107.99999999999699,136.99999999999824,-20.0000000000089,-382.00000000000455,733.0000000000041,-628.9999999999907,-28.000000000005798,-1056.999999999988,-12.999999999996348,468.9999999999861,255.00000000000523,-477.99999999999443,-4.000000000004,,-2600.0000000000023
2017.05.16,-286.99999999999284,550.000000000006,-358.99999999999466,-756.0000000000011,161.00000000000003,326.9999999999884,-97.00000000001374,-927.9999999999973,-109.99999999999899,139.00000000000023,35.999999999991594,-419.9999999999982,668.0000000000064,-646.9999999999976,-73.99999999999629,-1081.9999999999936,-7.999999999985796,451.0000000000014,356.00000000000074,-494.99999999999034,-9.999999999998899,,-2584.999999999965
2017.05.16,-342.9999999999822,595.9999999999966,-391.00000000000534,-802.9999999999982,195.9999999999962,287.9999999999994,-104.00000000001519,-980.9999999999945,-123.99999999999079,32.999999999994145,-42.0000000000087,-390.99999999999693,745.0000000000045,-644.0000000000001,-275.9999999999874,-1155.9999999999918,4.000000000004,268.0000000000016,203.00000000001984,-650.9999999999962,-34.000000000000696,,-3606.999999999952
2017.05.16,-328.9999999999793,590.999999999986,-378.0000000000001,-859.9999999999941,273.000000000001,295.0000000000008,-151.9999999999966,-955.9999999999889,-152.99999999999204,-14.999999999998348,-77.00000000000485,-434.000000000001,713.9999999999986,-698.999999999983,-377.0000000000051,-1117.999999999995,-25.999999999992696,187.99999999998818,155.00000000001623,-658.9999999999918,-65.99999999998829,,-4082.99999999992
2017.05.16,-419.9999999999982,594.0000000000057,-331.00000000000307,-887.9999999999999,312.9999999999966,231.0000000000034,-221.00000000000452,-911.0000000000014,-154.99999999999403,-36.0000000000027,-113.00000000000753,-461.0000000000003,556.0000000000116,-714.999999999999,-436.9999999999985,-1120.999999999995,-170.00000000000347,160.00000000000458,99.00000000000463,-614.9999999999949,-62.99999999999084,,-4703.999999999967
2017.05.16,-431.99999999998795,734.9999999999968,-218.9999999999941,-834.0000000000014,312.9999999999966,279.99999999999136,-232.00000000000998,-890.0000000000006,-105.99999999999498,0.0,-53.999999999998494,-497.000000000003,614.0000000000043,-550.9999999999903,-309.0000000000037,-1158.9999999999918,-273.9999999999965,326.0000000000041,323.0000000000066,-597.999999999999,-69.9999999999923,,-3633.999999999964
2017.05.16,-511.99999999997914,797.0000000000033,-218.00000000000352,-784.9999999999912,273.9999999999965,231.99999999998778,-277.00000000001614,-1107.99999999999,-66.99999999999484,60.99999999999994,-53.00000000000304,-585.0000000000022,594.9999999999989,-439.99999999999596,-151.9999999999966,-1400.9999999999964,-590.999999999986,509.00000000000387,381.0000000000091,-569.0000000000026,-75.99999999998718,,-3984.9999999999463
2017.05.16,-510.99999999999477,926.0000000000045,-322.00000000000273,-736.0000000000033,273.000000000001,378.999999999996,-226.00000000001506,-1180.9999999999973,59.000000000009045,175.99999999999838,148.99999999999915,-617.0000000000009,805.0000000000068,-312.00000000000114,-68.00000000000139,-1471.999999999994,-634.9999999999856,702.9999999999869,777.0000000000055,-595.9999999999894,-127.99999999999478,,-2556.999999999973
2017.05.16,-633.9999999999791,960.0000000000053,-423.0000000000018,-748.9999999999997,258.0000000000027,326.0000000000041,-287.000000000015,-1301.0000000000018,85.00000000000173,207.00000000000162,175.99999999999838,-578.0000000000007,903.9999999999964,-280.9999999999979,-21.999999999988695,-1693.9999999999884,-695.9999999999856,763.0000000000026,862.0000000000072,-646.0000000000008,-140.99999999999113,,-2910.99999999993
2017.05.16,-749.999999999984,1048.0000000000045,-480.000000000004,-719.9999999999873,141.99999999999767,224.99999999998633,-293.0000000000099,-1539.0000000000014,118.00000000000699,249.99999999999466,234.99999999999633,-900.9999999999962,739.0000000000043,-532.9999999999835,-95.00000000000064,-1855.9999999999945,-946.9999999999867,943.9999999999893,1105.0000000000005,-646.9999999999914,-144.99999999999514,,-4099.9999999999545
2017.05.16,-205.99999999999508,978.9999999999966,-500.0,-561.9999999999958,80.99999999999774,966.9999999999845,-188.00000000001037,-1545.9999999999923,276.00000000000955,414.00000000000324,344.99999999999534,-951.0000000000018,503.0000000000143,-693.9999999999947,-333.9999999999899,-1782.999999999987,-987.0000000000045,1133.9999999999907,1197.0000000000036,-540.9999999999968,-131.99999999999878,,-2527.999999999971
2017.05.16,-68.99999999998573,1018.9999999999922,-423.0000000000018,-593.9999999999834,111.00000000000554,1054.9999999999836,-204.00000000000418,-1472.999999999999,262.00000000000665,434.9999999999965,363.99999999999767,-1031.9999999999995,329.00000000000773,-809.9999999999997,-475.0000000000032,-1775.9999999999964,-1008.9999999999932,1187.0000000000048,1277.000000000017,-521.9999999999914,-113.00000000000753,,-2460.999999999954
2017.05.16,-196.99999999998053,1080.9999999999986,-490.99999999999966,-497.99999999999847,46.00000000000159,990.9999999999864,-219.00000000001364,-1631.0000000000002,304.00000000000426,442.9999999999934,391.9999999999924,-990.9999999999974,501.0000000000048,-628.9999999999907,-313.99999999999204,-1952.9999999999886,-1234.9999999999861,1234.9999999999861,1371.0000000000111,-506.9999999999908,-126.99999999998823,,-2427.9999999999477
2017.05.16,-127.99999999999478,1185.9999999999982,-480.99999999999454,-489.99999999999045,41.9999999999976,1119.0000000000034,-202.9999999999976,-1641.999999999996,403.0000000000089,595.9999999999966,509.9999999999993,-1039.9999999999966,593.0000000000177,-578.9999999999961,-137.9999999999937,-1943.9999999999884,-1265.9999999999893,1495.0000000000018,1624.0000000000032,-494.99999999999034,-113.00000000000753,,-950.9999999999083
2017.05.16,-123.99999999999079,1205.999999999996,-551.9999999999925,-621.9999999999892,97.9999999999981,1130.9999999999932,-215.00000000000963,-1777.9999999999916,363.0000000000022,563.9999999999978,520.9999999999936,-1094.0000000000061,658.0000000000155,-766.9999999999843,-251.00000000000122,-2125.9999999999905,-1224.000000000003,1444.9999999999852,1646.9999999999984,-575.9999999999934,-153.00000000000313,,-1848.9999999999754
2017.05.16,-68.99999999998573,1184.9999999999916,-569.0000000000026,-787.0000000000043,116.00000000000499,1183.0000000000007,-236.99999999999832,-1728.999999999999,196.00000000000728,426.00000000000415,400.00000000000034,-1107.999999999998,581.9999999999936,-1103.9999999999939,-571.9999999999948,-2067.9999999999977,-1096.9999999999925,1248.999999999989,1436.9999999999993,-664.0000000000015,-184.00000000000637,,-3413.999999999984
2017.05.16,-22.999999999995246,1200.9999999999854,-519.999999999996,-853.9999999999992,187.9999999999993,1170.9999999999886,-289.0000000000059,-1619.9999999999905,160.00000000000458,420.9999999999936,419.9999999999982,-1129.0000000000023,531.0000000000059,-1139.9999999999854,-604.0000000000045,-2023.9999999999868,-854.9999999999835,1238.0000000000057,1491.00000000002,-667.9999999999922,-218.99999999999142,,-3123.9999999999327
2017.05.16,-204.99999999998852,1231.0000000000043,-460.9999999999985,-956.0000000000013,190.99999999999673,1174.9999999999927,-280.0000000000136,-1683.9999999999975,186.00000000000838,446.00000000000193,424.9999999999976,-1207.0000000000025,445.99999999999795,-1136.999999999988,-536.9999999999875,-2103.999999999999,-1161.9999999999964,1280.9999999999989,1492.0000000000045,-604.9999999999898,-171.99999999999437,,-3636.9999999999536
